"N","a","t","s","H","rho_Psi","w_Psi"
-6.44,0.0015964066806122474,0.00006184473675948498,245792932.09897152,9309.729036268081,1.566,-1
-6.43,0.0016124508344866836,0.00006292738086352202,238528653.13323864,9164.314159297812,1.566,-1
-6.42,0.0016286562347882806,0.00006402720423884941,231479066.0564928,9021.22747754911,1.566,-1
-6.41,0.0016450245020705747,0.00006514446958519142,224637825.76450354,8880.430456647922,1.566,-1
-6.4,0.001661557273173934,0.00006627944048731745,217998774.67921045,8741.885226494613,1.566,-1
-6.39,0.0016782562013892477,0.00006743239220527115,211555937.20648742,8605.554569293983,1.566,-1
-6.38,0.0016951229566232505,0.0000686036082097332,205303514.35770437,8471.401907810174,1.566,-1
-6.37,0.0017121592255655228,0.00006979337213997965,199235878.53024623,8339.391293842156,1.566,-1
-6.36,0.0017293667118571557,0.00007100196763528659,193347568.44229054,8209.487396915336,1.566,-1
-6.35,0.0017467471362611197,0.00007222967897377631,187633284.21728536,8081.655493185244,1.566,-1
-6.34,0.0017643022368343355,0.00007347680202288621,182087882.6137024,7955.861454549101,1.566,-1
-6.33,0.0017820337691014916,0.0000747436426922178,176706372.39577252,7832.071737961354,1.566,-1
-6.32,0.0017999435062305911,0.00007603050722054442,171483909.84103686,7710.253374949089,1.566,-1
-6.31,0.001818033239210273,0.00007733770184663945,166415794.38066927,7590.373961323492,1.566,-1
-6.3,0.0018363047770289071,0.00007866553324238275,161497464.36864743,7472.4016470837105,1.566,-1
-6.29,0.0018547599468555032,0.00008001431939432902,156724492.97596323,7356.3051265091535,1.566,-1
-6.28,0.0018734005942224233,0.00008138439034993534,152092584.20617807,7242.053628436728,1.566,-1
-6.27,0.0018922285832099397,0.00008277607673901265,147597569.02873588,7129.616906719504,1.566,-1
-6.26,0.0019112457966326377,0.00008418970919137189,143235401.62655437,7018.965230863127,1.566,-1
-6.25,0.0019304541362277093,0.00008562561860620175,139002155.7545164,6910.069376836627,1.566,-1
-6.24,0.0019498555228451206,0.00008708414673584454,134894021.2055845,6802.900618054373,1.566,-1
-6.23,0.0019694518966397014,0.00008856564957434935,130907300.38135722,6697.430716525666,1.566,-1
-6.22,0.0019892452172651635,0.00009007048407609373,127038404.96398105,6593.631914168837,1.566,-1
-6.21,0.0020092374640700602,0.00009159900719545518,123283852.68642204,6491.476924286782,1.566,-1
-6.2,0.002029430636295734,0.00009315157603449977,119640264.19819051,6390.9389232006115,1.566,-1
-6.19,0.002049826753276235,0.00009472855790893153,116104360.02369748,6291.9915420385,1.566,-1
-6.18,0.0020704278546402606,0.00009633033668215101,112672957.61050518,6194.608858676803,1.566,-1
-6.17,0.0020912360005151103,0.00009795729771987958,109342968.46481514,6098.76538983037,1.566,-1
-6.16,0.002112253271732714,0.00009960982638783859,106111395.37161523,6004.436083289222,1.566,-1
-6.15,0.002133481770037708,0.00010128830811782346,102975329.69698384,5911.596310298927,1.566,-1
-6.14,0.002154923618297615,0.00010299313775553665,99931948.77012303,5820.2218580816925,1.566,-1
-6.13,0.0021765809607151255,0.00010472472907438784,96978513.34276423,5730.28892249559,1.566,-1
-6.12,0.0021984559630425313,0.00010648349810355969,94112365.12365995,5641.77410082932,1.566,-1
-6.11,0.002220550812798294,0.00010826986087223484,91330924.38594219,5554.654384729771,1.566,-1
-6.1,0.0022428677194858034,0.00011008423342961636,88631687.64519413,5468.907153259937,1.566,-1
-6.09,0.002265408914814322,0.00011192704030771343,86012225.40614514,5384.510166084631,1.566,-1
-6.08,0.0022881766529221693,0.00011379872735203706,83470179.97596107,5301.4415567816395,1.566,-1
-6.07,0.002311173210602129,0.00011569974368579606,81003263.34216154,5219.679826275796,1.566,-1
-6.06,0.002334400887529135,0.00011763053843219916,78609255.11325426,5139.203836393673,1.566,-1
-6.05,0.002357862006490233,0.00011959156071626749,76286000.52023284,5059.992803536675,1.566,-1
-6.04,0.0023815589136168707,0.00012158326712564435,74031408.47713913,4982.026292470107,1.566,-1
-6.03,0.0024054939786195095,0.00012360613786444727,71843449.69894484,4905.284210226097,1.566,-1
-6.02,0.0024296695950245975,0.00012566065777305368,69720154.87505792,4829.7468001182415,1.566,-1
-6.01,0.002454088180413917,0.00012774731169184095,67659612.89681022,4755.394635865752,1.566,-1
-6,0.0024787521766663585,0.00012986658445845678,65659969.13733051,4682.208615825015,1.566,-1
-5.99,0.0025036640502021,0.0001320189640790172,63719423.782255284,4610.1699573266515,1.566,-1
-5.98,0.0025288262922292556,0.00013420496737406314,61836230.20977423,4539.260191115894,1.566,-1
-5.97,0.0025542414189929983,0.00013642512179720947,60008693.418552734,4469.461155894392,1.566,-1
-5.96,0.00257991197202718,0.00013867995480207102,58235168.50211626,4400.754992961593,1.566,-1
-5.95,0.0026058405184084983,0.00014096999384226262,56514059.168323494,4333.124140953655,1.566,-1
-5.94,0.0026320296510131984,0.00014329576637139908,54843816.30259565,4266.551330678113,1.566,-1
-5.93,0.002658481988776367,0.0001456578057793643,53222936.57360881,4201.01958004256,1.566,-1
-5.92,0.0026852001769538205,0.0001480566787601113,51649961.08019421,4136.512189075405,1.566,-1
-5.91,0.0027121868873866434,0.000150492963487044,50123474.03822875,4073.012735037039,1.566,-1
-5.9,0.0027394448187683684,0.00015296723814171623,48642101.5063337,4010.5050676197643,1.566,-1
-5.89,0.002766976696914851,0.00015548008090568183,47204510.1492347,3948.9733042346684,1.566,-1
-5.88,0.0027947852750368437,0.00015803206996049468,45809406.03767004,3888.401825383873,1.566,-1
-5.87,0.0028228733340153363,0.00016062378806333403,44455533.48376695,3828.775270116585,1.566,-1
-5.86,0.0028512436826796323,0.00016325585293844368,43141673.91083779,3770.0785315672615,1.566,-1
-5.85,0.002879899158088243,0.00016592889828373976,41866644.756578736,3712.2967525744266,1.566,-1
-5.84,0.002908842625812584,0.00016864355787318922,40629298.4086839,3655.4153213785485,1.566,-1
-5.83,0.0029380769802235503,0.0001714004654807589,39428521.171916805,3599.4198673975798,1.566,-1
-5.82,0.002967605144780944,0.00017420025488041582,38263232.26570945,3544.296257078588,1.566,-1
-5.81,0.0029974300723258312,0.0001770435632107353,37132382.851386905,3490.030589824089,1.566,-1
-5.8,0.0030275547453758153,0.0001799310634446288,36034955.08814164,3436.60919399174,1.566,-1
-5.79,0.0030579821764233073,0.0001828634500003417,34969961.21690814,3384.0186229658934,1.566,-1
-5.78,0.0030887154082367687,0.00018584141757500434,33936442.67131306,3332.2456512997323,1.566,-1
-5.77,0.0031197575141649948,0.000188865660865747,32933469.21490076,3281.277270926689,1.566,-1
-5.76,0.0031511115984444414,0.00019193687456970003,31960138.10385774,3231.100687439768,1.566,-1
-5.75,0.003182780796509667,0.00019505575570984414,31015573.27448223,3181.70331643753,1.566,-1
-5.74,0.00321476827530687,0.0001982230371591183,30098924.55466776,3133.0727799355527,1.566,-1
-5.73,0.0032470772336105863,0.00020143947966268672,29209366.898690846,3085.1969028420326,1.566,-1
-5.72,0.003279710902343573,0.00020470584468247716,28346099.644614175,3038.0637094963836,1.566,-1
-5.71,0.0033126725448998926,0.0002080228936804173,27508345.79363678,2991.6614202696965,1.566,-1
-5.7,0.003345965457471272,0.00021139138811843486,26695351.310742706,2945.9784482258083,1.566,-1
-5.69,0.0033795929693767124,0.00021481209093558872,25906384.446018573,2901.0033958419044,1.566,-1
-5.68,0.0034135584433954303,0.00021828580005453185,25140735.076029267,2856.7250517875764,1.566,-1
-5.67,0.0034478652761031265,0.00022181334858250768,24397714.064658914,2813.132387761165,1.566,-1
-5.66,0.003482516898211663,0.00022539557114774475,23676652.642841864,2770.214555382358,1.566,-1
-5.65,0.0035175167749121284,0.00022903330237847167,22976901.80662537,2727.9608831400465,1.566,-1
-5.64,0.003552868406221362,0.000232727376902917,22297831.733022235,2686.3608733943156,1.566,-1
-5.63,0.0035885753273319477,0.0002364786301781829,21638831.21312762,2645.4041994316167,1.566,-1
-5.62,0.0036246411089657558,0.00024028793090164613,20999307.101989746,2605.0807025721642,1.566,-1
-5.61,0.0036610693577310053,0.0002441561910218595,20378683.784739416,2565.380389328512,1.566,-1
-5.6,0.003697863716482932,0.0002480843253483248,19776402.658497777,2526.2934286144164,1.566,-1
-5.59,0.0037350278646880674,0.000252073248690544,19191921.62959601,2487.8101490030213,1.566,-1
-5.58,0.0037725655187922052,0.00025612387585801895,18624714.625654455,2449.921036033499,1.566,-1
-5.57,0.003810480432592037,0.0002602371220413302,18074271.12208194,2412.61672956519,1.566,-1
-5.56,0.0038487763976105425,0.00026441393310378187,17540095.682569202,2375.888021178382,1.566,-1
-5.55,0.0038874572434761303,0.0002686553067710401,17021707.513162754,2339.725851620922,1.566,-1
-5.54,0.003926526838305624,0.00027296224572109134,16518640.02951788,2304.1213082997238,1.566,-1
-5.53,0.003965989089091065,0.00027733575263192155,16030440.436941223,2269.0656228163944,1.566,-1
-5.52,0.00400584794209042,0.00028177683018151703,15556669.322845006,2234.550168546192,1.566,-1
-5.51,0.004046107383222199,0.00028628648116735196,15096900.261246031,2200.566458259452,1.566,-1
-5.5,0.004086771438464067,0.0002908657357830553,14650719.428953517,2167.1061417847322,1.566,-1
-5.49,0.004127844174255436,0.0002955156849322557,14217725.233100291,2134.161003712944,1.566,-1
-5.48,0.0041693296979041115,0.0003002374275852671,13797527.9496821,2101.7229611416483,1.566,-1
-5.47,0.004211232157997035,0.0003050320627124035,13389749.372779699,2069.784061458819,1.566,-1
-5.46,0.004253555744815125,0.000309900689283979,12994022.474147998,2038.336480165372,1.566,-1
-5.45,0.00429630469075234,0.00031484440628120957,12609991.07286586,2007.372518735691,1.566,-1
-5.44,0.004339483270738895,0.0003198643362916255,12237309.514749235,1976.8846025154887,1.566,-1
-5.43,0.004383095802668776,0.00032496167126598114,11875642.361239057,1946.865278656344,1.566,-1
-5.42,0.004427146647831511,0.0003301376156979555,11524664.087483902,1917.30721408619,1.566,-1
-5.41,0.004471640211348332,0.00033539337408122776,11184058.789345646,1888.2031935151222,1.566,-1
-5.4,0.004516580942612666,0.000340730150909477,10853519.899064418,1859.5461174759148,1.566,-1
-5.39,0.004561973335735096,0.0003461491506563189,10532749.90932692,1831.3290003985512,1.566,-1
-5.38,0.004607821929992752,0.0003516515891532534,10221460.105489764,1803.5449687181804,1.566,-1
-5.37,0.004654131310283272,0.00035723876658019224,9919370.305716805,1776.1872590159162,1.566,-1
-5.36,0.004700906107583276,0.00036291201143379137,9626208.608796572,1749.249216191825,1.566,-1
-5.35,0.004748150999411478,0.00036867265221070673,9341711.149412833,1722.7242916695664,1.566,-1
-5.34,0.004795870710296421,0.0003745220174075942,9065621.860647984,1696.6060416320743,1.566,-1
-5.33,0.004844070012248967,0.00038046143552110975,8797692.243505552,1670.888125287765,1.566,-1
-5.32,0.004892753725239476,0.00038649223503834247,8537681.143244319,1645.5643031666523,1.566,-1
-5.31,0.004941926717679822,0.00039261577371930403,8285354.532322769,1620.6284354458865,1.566,-1
-5.3,0.004991593906910217,0.0003988335062370006,8040485.29975852,1596.07448030416,1.566,-1
-5.29,0.005041760259690979,0.000405146906939158,7802853.046713094,1571.8964923044452,1.566,-1
-5.28,0.00509243079269919,0.00041155745017350205,7572243.888118091,1548.0886208045886,1.566,-1
-5.27,0.005143610573030383,0.00041806661028775857,7348450.260164191,1524.6451083952159,1.566,-1
-5.26,0.005195304718705231,0.00042467586162965343,7131270.733479712,1501.5602893644918,1.566,-1
-5.25,0.005247518399181385,0.0004313866785824828,6920509.831830581,1478.8285881892343,1.566,-1
-5.24,0.005300256835870402,0.0004382005746412289,6715977.856178524,1456.4445180518985,1.566,-1
-5.23,0.005353525302659903,0.0004451191687111848,6517490.713939134,1434.40267938299,1.566,-1
-5.22,0.00540732912644096,0.0004521440969802766,6324869.75328611,1412.697758428436,1.566,-1
-5.21,0.005461673687640779,0.00045927699563643023,6137941.6023525605,1391.3245258414572,1.566,-1
-5.2,0.0055165644207607716,0.00046651950086757174,5956538.013184616,1370.2778352985226,1.566,-1
-5.19,0.005572006814919993,0.0004738732488616271,5780495.710306915,1349.5526221389446,1.566,-1
-5.18,0.005628006414404065,0.0004813398760151061,5609656.243763657,1329.143902027678,1.566,-1
-5.17,0.005684568819219595,0.0004889210699975405,5443865.846502943,1309.0467696409407,1.566,-1
-5.16,0.005741699685654202,0.0004966186316955925,5282975.295976049,1289.2563973742092,1.566,-1
-5.15,0.005799404726842141,0.0005044343768786141,5126839.779827065,1269.7680340722193,1.566,-1
-5.14,0.0058576897133356225,0.0005123701213159577,4975318.765551993,1250.5770037805719,1.566,-1
-5.13,0.005916560473681857,0.0005204276807769754,4828275.874010008,1231.6787045185415,1.566,-1
-5.12,0.005976022895005943,0.0005286088710310196,4685578.756673032,1213.0686070727368,1.566,-1
-5.11,0.006036082923599565,0.0005369155084646347,4547098.976503116,1194.7422538112257,1.566,-1
-5.1,0.006096746565515638,0.0005453494754669217,4412711.892350442,1176.6952575177606,1.566,-1
-5.09,0.006158019887168897,0.0005539127745566498,4282296.546767872,1158.9233002457538,1.566,-1
-5.08,0.006219909015942573,0.0005626074207698079,4155735.5571410814,1141.422132191654,1.566,-1
-5.07,0.006282420140801118,0.0005714354291423854,4032915.0100362836,1124.187570587366,1.566,-1
-5.06,0.006345559512909116,0.0005803988147103713,3913724.3586704484,1107.2154986113915,1.566,-1
-5.05,0.006409333446256383,0.0005894995925097549,3798056.3234117366,1090.5018643183585,1.566,-1
-5.04,0.006473748318289405,0.0005987397789838876,3685806.795220588,1074.0426795865967,1.566,-1
-5.03,0.006538810570549064,0.0006081214741099572,3576874.7419445603,1057.8340190834688,1.566,-1
-5.02,0.006604526709314811,0.0006176469038005748,3471162.1173825716,1041.8720192481126,1.566,-1
-5.01,0.006670903306255274,0.000627318304200554,3368573.773036699,1026.1528772913152,1.566,-1
-5,0.006737946999085467,0.0006371379114547089,3269017.3724721107,1010.6728502122018,1.566,-1
-4.99,0.006805664492230543,0.000647107961707853,3172403.3082080395,995.4282538314394,1.566,-1
-4.98,0.006874062557496249,0.0006572306911048002,3078644.6210650033,980.4154618406803,1.566,-1
-4.97,0.0069431480347461145,0.0006675083385633369,2987656.921895672,965.6309048679512,1.566,-1
-4.96,0.007012927832585425,0.0006779432470772581,2899358.3156289393,951.0710695586997,1.566,-1
-4.95,0.0070834089290521185,0.0006885378900594899,2813669.32755883,936.7324976722414,1.566,-1
-4.94,0.007154598372314579,0.0006992947489991003,2730512.8318119007,922.6117851933273,1.566,-1
-4.93,0.0072265032813764625,0.0007102163053851575,2649813.981928748,908.7055814585602,1.566,-1
-4.92,0.007299130846788583,0.0007213050407067295,2571500.143497141,895.0105882974207,1.566,-1
-4.91,0.007372488331368012,0.0007325634364528843,2495500.828776148,881.5235591876215,1.566,-1
-4.9,0.007446583070924338,0.0007439939790802038,2421747.6332524135,868.2412984245623,1.566,-1
-4.89,0.00752142247499327,0.0007555992828434748,2350174.1740714754,855.1606603046306,1.566,-1
-4.88,0.007597014027577567,0.0007673820953684871,2280716.0302887172,842.2785483220975,1.566,-1
-4.87,0.007673365287895489,0.000779345170379396,2213310.68488617,829.5919143793908,1.566,-1
-4.86,0.007750483891136692,0.0007914912616003568,2147897.468502973,817.0977580104993,1.566,-1
-4.85,0.007828377549225773,0.0008038231227555248,2084417.504828858,804.7931256172798,1.566,-1
-4.84,0.007907054051593441,0.0008163435075690552,2022813.6576114912,792.6751097184512,1.566,-1
-4.83,0.007986521265955502,0.0008290551780832981,1963030.479229993,780.7408482110511,1.566,-1
-4.82,0.008066787139099614,0.0008419610511500965,1905014.1607883342,768.9875236441322,1.566,-1
-4.81,0.008147859697679989,0.0008550641782191211,1848712.4836836983,757.4123625044983,1.566,-1
-4.8,0.00822974704902003,0.0008683676150867147,1794074.7726062145,746.0126345142676,1.566,-1
-4.79,0.008312457381923119,0.0008818744175492202,1741051.8499277562,734.7856519400476,1.566,-1
-4.78,0.00839599896749147,0.0008955876414029802,1689595.9914387586,723.7287689135433,1.566,-1
-4.77,0.008480380159953269,0.0009095103424443377,1639660.8833932069,712.8393807633769,1.566,-1
-4.76,0.00856560939749806,0.0009236455897125396,1591201.5808231388,702.1149233579447,1.566,-1
-4.75,0.008651695203120634,0.0009379966373805363,1544174.4670851405,691.5528724591127,1.566,-1
-4.74,0.00873864618547329,0.0009525668735588231,1498537.2146024224,681.150743086561,1.566,-1
-4.73,0.008826471039726723,0.0009673596892220126,1454248.7467671433,670.9060888926016,1.566,-1
-4.72,0.008915178548439553,0.0009823784753447173,1411269.2009686898,660.8165015472883,1.566,-1
-4.71,0.00900477758243656,0.00099762662290155,1369559.8927146369,650.8796101336333,1.566,-1
-4.7,0.009095277101695816,0.0010131075228671227,1329083.2808120933,641.0930805527673,1.566,-1
-4.69,0.009186686156244664,0.0010288245864865906,1289802.9335780938,631.4546149388732,1.566,-1
-4.68,0.009279013887064744,0.0010447814436830975,1251683.4960486242,621.9619510837106,1.566,-1
-4.67,0.009372269527006058,0.0010609818556578945,1214690.6581567691,612.6128618705914,1.566,-1
-4.66,0.009466462401710323,0.0010774295852969719,1178791.1238513344,603.4051547176203,1.566,-1
-4.65,0.009561601930543505,0.0010941283954863203,1143952.5811281537,594.3366710300602,1.566,-1
-4.64,0.009657697627537777,0.0011110820491119304,1110143.6729471043,585.4052856616589,1.566,-1
-4.63,0.009754759102342903,0.0011282943090597927,1077333.9690086532,576.6089063847824,1.566,-1
-4.62,0.009852796061187257,0.0011457689682812314,1045493.9383645344,567.9454733692098,1.566,-1
-4.61,0.00995181830784842,0.0011635100749214458,1014594.9228379016,559.412958669442,1.566,-1
-4.6,0.010051835744633586,0.001181521803707188,984609.111229035,551.0093657203723,1.566,-1
-4.59,0.010152858373369763,0.0011998083301931976,955509.5142833833,542.7327288411878,1.566,-1
-4.58,0.010254896296404022,0.0012183738299342134,927269.9403994138,534.5811127473537,1.566,-1
-4.57,0.010357959717613696,0.0012372224784849754,899864.9720544025,526.5526120705439,1.566,-1
-4.56,0.010462058943426803,0.0012563584514002223,873269.9429269481,518.6453508863884,1.566,-1
-4.55,0.010567204383852655,0.001275785967690531,847460.9156956173,510.8574822499023,1.566,-1
-4.54,0.010673406553522925,0.0012955095405957479,822414.6604937407,503.18718773845995,1.566,-1
-4.53,0.010780676072743084,0.0013155338032701679,798108.6340009634,495.63267700220155,1.566,-1
-4.52,0.01088902366855445,0.0013358633891596232,774520.959152736,488.19218732173,1.566,-1
-4.51,0.010998460175806881,0.0013565029317099454,751630.4054494791,480.86398317298676,1.566,-1
-4.5,0.011108996538242306,0.001377457064366967,729416.3698477013,473.64635579918286,1.566,-1
-4.49,0.011220643809589084,0.0013987304205765195,707858.8582158685,466.53762278965957,1.566,-1
-4.48,0.011333413154667387,0.0014203276952538958,686938.4673383363,459.53612766557256,1.566,-1
-4.47,0.01144731585050571,0.0014422539183841171,666636.3674511462,452.64023947227855,1.566,-1
-4.46,0.011562363287468536,0.0014645142314381847,646934.285293967,445.84835237831004,1.566,-1
-4.45,0.011678566970395442,0.001487113775929271,627814.4876629265,439.1588852808333,1.566,-1
-4.44,0.011795938519751562,0.0015100576933705482,609259.7654495321,432.5702814174778,1.566,-1
-4.43,0.011914489672789647,0.0015333511252751894,591253.4181513101,426.0810079844267,1.566,-1
-4.42,0.012034232284723775,0.0015569992131520983,573779.2388402274,419.6895557606723,1.566,-1
-4.41,0.012155178329914935,0.0015810071839007223,556821.4995753614,413.3944387383226,1.566,-1
-4.4,0.012277339903068436,0.0016053806410617267,540364.9372466919,407.19419375886673,1.566,-1
-4.39,0.012400729220443406,0.001630125289888188,524394.7398372721,401.08738015529616,1.566,-1
-4.38,0.012525358621074385,0.001655246835633182,508896.5330914127,395.07257939997976,1.566,-1
-4.37,0.012651240568005305,0.001680750983549785,493856.367576882,389.1483947582053,1.566,-1
-4.36,0.01277838764953576,0.001706643438891073,479260.70612947544,383.3134509472866,1.566,-1
-4.35,0.012906812580479873,0.0017329299068646943,465096.41166865354,377.56639380114336,1.566,-1
-4.34,0.013036528203437736,0.0017596162095835986,451350.7353732831,371.9058899402672,1.566,-1
-4.33,0.013167547490079751,0.0017867085864394499,438011.30520683725,366.3306264469811,1.566,-1
-4.32,0.013299883542443767,0.0018142133681958261,425066.11478172767,360.8393105459028,1.566,-1
-4.31,0.013433549594245314,0.0018421368856163058,412503.5125527451,355.430669289529,1.566,-1
-4.3,0.013568559012200934,0.0018704854694644672,400312.1913298825,350.10344924885584,1.566,-1
-4.29,0.013704925297364945,0.0018992654505038888,388481.17810110026,344.8564162089457,1.566,-1
-4.28,0.013842662086479501,0.0019284831595395224,376999.8241558753,339.68835486936814,1.566,-1
