"N","a","t","phi","phidot","H","w_phi"
-4.55,0.010567204383852655,0.001275785662050211,7.482517932967591e-7,0.0011646437813239742,510.85784802390566,-0.9999994952292303
-4.54,0.010673406553522925,0.0012955093748741125,7.713981838957335e-7,0.001182438828203065,503.18755908809317,-0.9999994796861994
-4.53,0.010780676072743084,0.001315533794330948,7.952570258574063e-7,0.0012005039142505365,495.6330540119852,-0.9999994636662237
-4.52,0.01088902366855445,0.001335863435735663,8.198497441849089e-7,0.001218843087506898,488.1925700774635,-0.9999994471547384
-4.51,0.010998460175806881,0.0013565028294089637,8.451978939462712e-7,0.0012374604094531484,480.8643717617679,-0.9999994301367794
-4.5,0.011108996538242306,0.0013774566997542513,8.71324907777664e-7,0.001256360115412069,473.6467503094259,-0.9999994125968236
-4.49,0.011220643809589084,0.0013987299058584016,8.982556059694294e-7,0.0012755465613455428,466.53802331111666,-0.9999993945188187
-4.48,0.011333413154667387,0.0014203273094875693,9.260148400364863e-7,0.001295024105615422,459.53653428935377,-0.99999937588628
-4.47,0.01144731585050571,0.0014422537724079099,9.546274614937538e-7,0.0013147971065835594,452.6406522908714,-0.9999993566822822
-4.46,0.011562363287468536,0.0014645141790314144,9.84118536677235e-7,0.0013348699428960334,445.84877148560133,-0.9999993368894308
-4.45,0.011678566970395442,0.00148711363659959,0.0000010145154651047622,0.0013552471927926247,439.15931077213025,-0.9999993164896689
-4.44,0.011795938519751562,0.0015100573784838903,0.000001045847053609777,0.0013759335474914406,432.5707133895284,-0.9999992954643417
-4.43,0.011914489672789647,0.001533350639465199,0.0000010781421273263073,0.0013969336994730781,426.0814465354431,-0.999999273794293
-4.42,0.012034232284723775,0.0015569986543244004,0.000001111429511388381,0.0014182523412181352,419.69000099035134,-0.9999992514598554
-4.41,0.012155178329914935,0.0015810066908668445,0.000001145738372598994,0.0014398941947881918,413.39489074786934,-0.9999992284408075
-4.4,0.012277339903068436,0.0016053802690900688,0.0000011811007356432311,0.0014618642081404912,407.19465265101746,-0.9999992047161472
-4.39,0.012400729220443406,0.0016301250248001047,0.0000012175500249716393,0.0014841674329651177,401.08784603434003,-0.9999991802641961
-4.38,0.012525358621074385,0.0016552465943918218,0.0000012551196737051557,0.0015068089214795915,395.0730523717839,-0.9999991550626939
-4.37,0.012651240568005305,0.0016807506142600894,0.0000012938431149647173,0.0015297937259014336,389.14887493023804,-0.9999991290887874
-4.36,0.01277838764953576,0.001706642767632524,0.0000013337543090203741,0.0015531269403977971,383.31393842864117,-0.999999102318968
-4.35,0.012906812580479873,0.0017329290190617682,0.0000013748906666777237,0.0015768139111255325,377.5668887025632,-0.9999990747288096
-4.34,0.013036528203437736,0.001759615437192329,0.0000014172909618911677,0.0016008600774783902,371.90639237417076,-0.9999990462931209
-4.33,0.013167547490079751,0.001786708090823923,0.00000146099397130359,0.00162527087898914,366.3311365274867,-0.999999016986036
-4.32,0.013299883542443767,0.0018142130487562669,0.0000015060384715578753,0.0016500517551905512,360.8398283888545,-0.9999989867809999
-4.31,0.013433549594245314,0.001842136444679424,0.0000015524640325167815,0.0016752082037394954,355.43119501252363,-0.9999989556506806
-4.3,0.013568559012200934,0.0018704847214298817,0.0000016003143289654207,0.0017007459991993817,350.10398297126767,-0.9999989235666723
-4.29,0.013704925297364945,0.0018992644133535243,0.0000016496343336920354,0.0017266709980986287,344.85695805195496,-0.9999988904997031
-4.28,0.013842662086479501,0.0019284820548051513,0.0000017004690196854227,0.00175298905697364,339.68890495598714,-0.999998856419718
-4.27,0.013981783153338308,0.001958144180134973,0.0000017528633597074757,0.0017797060323567113,334.59862700452635,-0.9999988212958609
-4.26,0.014122302410163962,0.0019882574118767716,0.0000018068634962445485,0.001806827859767553,329.58494584843146,-0.9999987850963523
-4.25,0.014264233908999256,0.0020188287068332615,0.0000018625203779136947,0.0018343607741289109,324.64670118282555,-0.9999987477881622
-4.24,0.01440759184311235,0.002049865100604504,0.000001919886162851669,0.0018623110809405051,319.7827504662181,-0.999998709337278
-4.23,0.014552390548416123,0.0020813736287905614,0.000001979013009195226,0.0018906850857020568,314.99196864410635,-0.9999986697087772
-4.22,0.014698644504901784,0.002113361327050146,0.0000020399530745558618,0.0019194890939658493,310.27324787698313,-0.9999986288668077
-4.21,0.014846368338086832,0.002145835348603322,0.00000210276021046744,0.0019487295165834147,305.62549727267645,-0.9999985867744153
-4.2,0.014995576820477703,0.0021788032021103918,0.0000021674937997140975,0.0019784130827635946,301.04764262295174,-0.9999985433931975
-4.19,0.01514628487304698,0.002212272462841139,0.000002234214332025873,0.002008546581373807,296.53862614430506,-0.999998498683634
-4.18,0.015298507566725518,0.0022462507060653494,0.0000023029822971328057,0.002039136801281471,292.09740622287916,-0.9999984526051479
-4.17,0.015452260123909515,0.0022807455075013654,0.0000023738581877690266,0.0020701905317558663,287.7229571634337,-0.9999984051160821
-4.16,0.01560755791998283,0.00231576459619047,0.000002446904896190205,0.0021017146993929582,283.41426894230455,-0.999998356173462
-4.15,0.015764416484854486,0.002351316073317969,0.000002522191580314963,0.0021337165640955345,279.1703469642848,-0.9999983057326445
-4.14,0.015922851504511698,0.002387408095191255,0.0000025997883906700036,0.0021662034351342453,274.99021182336526,-0.9999982537477103
-4.13,0.016082878822588433,0.0024240488181177214,0.0000026797654777820293,0.0021991826217797423,270.87289906726915,-0.9999982001715134
-4.12,0.01624451444194987,0.002461246399917676,0.000002762193009295731,0.0022326614346579424,266.81745896572033,-0.9999981449556521
-4.11,0.016407774526292645,0.002499009194047943,0.000002847144476188295,0.0022666473596138935,262.8229562823835,-0.9999980880501481
-4.1,0.016572675401761255,0.0025373459379169124,0.000002934700362124107,0.0023011482263602307,258.8884700504158,-0.9999980294031083
-4.09,0.016739233558580632,0.002576265413405954,0.0000030249420195010883,0.0023361719044379904,255.01309335157177,-0.9999979689611801
-4.08,0.01690746565270528,0.0026157764023964367,0.0000031179508007171573,0.0023717262633882103,251.19593309880312,-0.9999979066695857
-4.07,0.017077388507484793,0.0026558876954477593,0.0000032138082104720654,0.0024078191805241658,247.43610982229575,-0.999997842472078
-4.06,0.01724901911534628,0.00269660836485189,0.0000033126010054662967,0.0024444587854757327,243.73275745888915,-0.9999977763104628
-4.05,0.017422374639493515,0.0027379477933302822,0.0000034144220280769637,0.002481653485880817,240.08502314482215,-0.999997708124485
-4.04,0.017597472415623393,0.002779915376435065,0.0000035193644182519864,0.0025194117008665398,236.49206701175106,-0.9999976378522554
-4.03,0.01777432995365944,0.0028225205111791075,0.0000036275213388377665,0.002557741850868391,232.9530619859872,-0.9999975654302341
-4.02,0.017952964939502866,0.0028657727802822333,0.000003738989625514067,0.0025966525226324925,229.46719359090116,-0.9999974907928757
-4.01,0.018133395236801075,0.0029096821307697585,0.000003853873668214065,0.002636152629148682,226.03365975244245,-0.9999974138722544
-4,0.01831563888873418,0.0029542585519427653,0.000003972278778772834,0.002676251121264192,222.65167060772393,-0.9999973345985529
-3.99,0.018499714119819242,0.002999512033542783,0.000004094310274914939,0.002716956950220799,219.32044831662137,-0.9999972529000931
-3.98,0.018685639337732773,0.0030454527289461267,0.000004220076896441301,0.002758279213798017,216.0392268763391,-0.9999971687029953
-3.97,0.018873433135151486,0.0030920911970814054,0.000004349696295718591,0.002800227372939162,212.80725193889356,-0.9999970819306637
-3.96,0.019063114291611637,0.003139438058493571,0.000004483287545730244,0.0028428109437613914,209.623780631468,-0.999996992504338
-3.95,0.01925470177538692,0.003187503933775396,0.000004620969719364869,0.0028860394424247257,206.48808137959122,-0.9999969003431587
-3.94,0.01944821474538539,0.0032362995839427464,0.000004762864993319389,0.002929922510834661,203.3994337330951,-0.9999968053638477
-3.93,0.019643672553065292,0.0032858362134984133,0.0000049091058714991065,0.002974470188008893,200.35712819480568,-0.9999967074800405
-3.92,0.019841094744370288,0.0033361251140902382,0.000005059826984197032,0.0030196925909939222,197.36046605192402,-0.9999966066028895
-3.91,0.020040501061684014,0.003387177577365345,0.000005215162961664731,0.0030655998368356095,194.40875921005312,-0.999996502641178
-3.9,0.02024191144580439,0.003439005012384005,0.000005375251177899227,0.003112202147715042,191.50133002982815,-0.9999963955010264
-3.89,0.020445346037937653,0.003491619304041929,0.000005540240744183884,0.0031595101718660205,188.6375111661083,-0.9999962850850662
-3.88,0.020650825181712566,0.003545032457462782,0.0000057102838787976005,0.0032075346651662335,185.8166454096887,-0.9999961712930714
-3.87,0.02085836942521472,0.0035992564777702317,0.000005885532800019274,0.0032562863834933696,183.03808553149202,-0.9999960540221431
-3.86,0.021067999523041434,0.003654303466067843,0.0000060661420986329685,0.003305776168663384,180.30119412919964,-0.9999959331664403
-3.85,0.02127973643837717,0.003710186023781506,0.000006252279436052288,0.0033560153104402594,177.6053434762835,-0.999995808616201
-3.84,0.021493601345089923,0.003766916914478381,0.000006444116911120864,0.003407015243747682,174.9499153733994,-0.9999956802583648
