"N","a","t","H_A","rho_f","P_obs_f","w_f","m_eff","sigma","kF_over_m"
-6.677496769682732,0.0012589254117941673,0.000050458125927615046,11670.787856756357,74863130.5953555,-8802.0974895827,-0.000117575867046746,11026.954903653423,6788.243766266985,0.0033464502064837697
-6.644602696925674,0.0013010252169108315,0.000053353715028803855,11060.46345767109,67829093.38691169,-8395.688810180949,-0.00012377710494065048,11027.021736385937,6150.357767817984,0.0032381429780855204
-6.6117086241686165,0.0013445328842997609,0.00005640892253698519,10483.157015483297,61456003.18120454,-8006.213930803204,-0.00013027553886309014,11027.091949430369,5572.413345677381,0.0031333401322641567
-6.5788145514115595,0.0013894954943731376,0.00005963221145094225,9937.010803029907,55681752.744975306,-7633.256786480536,-0.00013708722175900538,11027.165713758293,5048.7778550850335,0.0030319282655160177
-6.5459204786545016,0.0014359617019622146,0.00006303247994510702,9420.275916512986,50450070.98438545,-7276.360803303382,-0.00014422895074925568,11027.243208988808,4574.347943039444,0.0029337976438673177
-6.513026405897444,0.0014839817889675652,0.0000666190833981494,8931.305668942588,45709974.52313477,-6935.040029927762,-0.00015171830879970837,11027.324623825893,4144.499811755459,0.0028388420841306476
-6.480132333140386,0.0015336077187700116,0.00007040185753484412,8468.549395304572,41415270.81641583,-6608.788340775752,-0.0001595737082119047,11027.410156517924,3755.044155730332,0.0027469588390038662
-6.447238260383328,0.0015848931924611134,0.0000743911427375032,8030.546643423119,37524107.95774592,-6297.08701493049,-0.00016781443604259257,11027.500015340422,3402.1853332578935,0.0026580484858870603
-6.41434418762627,0.0016378937069540642,0.00007859780958608451,7615.921726139257,33998566.79083379,-5999.410948066093,-0.00017646070156356026,11027.594419103189,3082.4843744957825,0.0025720148192972477
-6.381450114869212,0.0016926666150378759,0.00008303328568905057,7223.378611973887,30804291.350984264,-5715.233715195963,-0.00018553368587761226,11027.693597683143,2792.825465578615,0.0024887647467644125
-6.348556042112155,0.0017492711874398422,0.00008770958387016185,6851.696132893078,27910154.034136992,-5444.031668490601,-0.00019505559381119823,11027.797792584062,2530.3855821448424,0.0024082081880962155
-6.315661969355097,0.0018077686769634343,0.00009263933177965368,6499.7234891508215,25287952.230121195,-5185.287225993268,-0.00020504970820914975,11027.907257524665,2292.6069763370283,0.0023302579779023785
-6.282767896598039,0.001868222384771037,0.00009783580300167291,6166.37603245604,22912133.463382445,-4938.491482972635,-0.0002155404467622013,11028.022259056415,2077.172249143333,0.0022548297712732582
