"N","a","t","H_A","rho_f","P_obs_f","w_f","m_eff","sigma","kF_over_m"
-21.940346528957548,2.9609329396270833e-10,4.545941639360064e-18,1.0998821635543669e+17,1.1547688853020188e+32,3.849229583831359e+31,0.3333333304027004,12182.181219597021,8.333984640523228e+19,15082.510924639299
-21.90745245620049,3.059949687207196e-10,4.855067628843989e-18,1.0298517987020763e+17,1.0124001865119095e+32,3.3746672566857442e+31,0.3333333302034161,12182.181219597021,7.803353223123652e+19,14594.456763702316
-21.874558383443436,3.1622776601683795e-10,5.185214318433662e-18,9.64280322498904e+16,8.875837847000152e+31,2.9586125859969843e+31,0.3333333299905804,12182.181219597021,7.3065075279695086e+19,14122.19552114597
-21.841664310686376,3.2680275894101256e-10,5.537811124736677e-18,9.028838339796222e+16,7.781556990756621e+31,2.5938523024715692e+31,0.3333333297632718,12182.181219597021,6.841296391394979e+19,13665.21615477261
-21.80877023792932,3.3773139087910095e-10,5.9143846652987104e-18,8.45396508377983e+16,6.822187408737161e+31,2.2740624435672314e+31,0.33333332952050604,12182.181219597021,6.405705616026793e+19,13223.024159171615
-21.77587616517226,3.4902548789595806e-10,6.3165653683083685e-18,7.915694462008314e+16,5.981096212026705e+31,1.9936987129866062e+31,0.33333332926123216,12182.181219597021,5.997849250032021e+19,12795.141030606383
-21.742982092415204,3.606972715326291e-10,6.746094531764721e-18,7.411695955825792e+16,5.243701140876196e+31,1.7479003574871785e+31,0.33333332898432755,12182.181219597021,5.6159614216230584e+19,12381.103749217024
-21.710088019658144,3.72759372031494e-10,7.204831862671166e-18,6.939787432542222e+16,4.597217747528213e+31,1.5324058944898565e+31,0.3333333286885933,12182.181219597021,5.258388693466131e+19,11980.464277978424
-21.677193946901088,3.852248420036752e-10,7.694763528897618e-18,6.497925697581589e+16,4.0304377482684776e+31,1.3434792294294994e+31,0.333333328372749,12182.181219597021,4.923582903890666e+19,11592.78907787151
-21.64429987414403,3.9810717055349725e-10,8.218010758572663e-18,6.08419764818228e+16,3.5335347019237787e+31,1.1778448819209241e+31,0.33333332803542715,12182.181219597021,4.6100944639045255e+19,11217.658638743032
-21.611405801386972,4.1142029787528424e-10,8.776839024237961e-18,5.696811990348366e+16,3.097893645793994e+31,1.032631197736268e+31,0.33333332767516727,12182.181219597021,4.3165660809935815e+19,10854.667025346262
-21.578511728629913,4.2517863033828903e-10,9.373667851528937e-18,5.334091483189142e+16,2.715961735363332e+31,9.053205620420943e+30,0.33333332729040954,12182.181219597021,4.041726882531935e+19,10503.421438071317
-21.545617655872856,4.393970560760791e-10,1.0011081294849825e-17,4.9944656770677016e+16,2.38111729828501e+31,7.93705750727641e+30,0.33333332687948813,12182.181219597021,3.784386913359266e+19,10163.541787889792
-21.512723583115797,4.540909610972476e-10,1.0691839125398947e-17,4.6764641141173416e+16,2.08755503238755e+31,6.958516630736066e+30,0.3333333264406239,12182.181219597021,3.543431983701772e+19,9834.66028505374
-21.47982951035874,4.692762459348837e-10,1.1418888779984317e-17,4.3787099616864664e+16,1.8301853573448119e+31,6.100617723088472e+30,0.3333333259719168,12182.181219597021,3.317818845130072e+19,9516.421041103917
-21.44693543760168,4.849693428528198e-10,1.2195378122363627e-17,4.099914051147087e+16,1.6045461750383464e+31,5.348487123978465e+30,0.3333333254713373,12182.181219597021,3.1065706736676758e+19,9208.479683756608
-21.414041364844625,5.011872336272723e-10,1.30246690723606e-17,3.8388692962571e+16,1.4067255087740207e+31,4.6890849111294094e+30,0.33333332493671824,12182.181219597021,2.9087728404935156e+19,8910.50298425234
-21.38114729208757,5.179474679231211e-10,1.391035216176685e-17,3.594445466909859e+16,1.2332936801249403e+31,4.110978823153099e+30,0.33333332436574487,12182.181219597021,2.723568951927194e+19,8622.168496763165
-21.34825321933051,5.352681822847105e-10,1.485626208005103e-17,3.3655842956432416e+16,1.08124384752949e+31,3.604146054876712e+30,0.33333332375594504,12182.181219597021,2.550157141551502e+19,8343.164209468363
-21.315359146573453,5.531681197617227e-10,1.5866494277182532e-17,3.1512948957211548e+16,9.479398757436725e+30,3.159799488850745e+30,0.3333333231046786,12182.181219597021,2.3877865984184332e+19,8073.188206920966
-21.282465073816393,5.716666501913615e-10,1.6945422695454034e-17,2.950649470949419e+16,8.310706323442122e+30,2.7702353503594933e+30,0.3333333224091258,12182.181219597021,2.2357543163070624e+19,7811.948343339737
-21.249571001059337,5.907837911587945e-10,1.809771870707513e-17,2.7627792986510656e+16,7.286099189066849e+30,2.4286996446816057e+30,0.33333332166627505,12182.181219597021,2.0934020499587543e+19,7559.161926473083
-21.216676928302277,6.105402296585328e-10,1.9328371339530066e-17,2.5868709684087736e+16,6.387813421730374e+30,2.1292710609819333e+30,0.3333333208729102,12182.181219597021,1.9601134651112776e+19,7314.555411692797
-21.18378285554522,6.309573444801932e-10,2.0642708876267992e-17,2.4221628602895556e+16,5.600275161690002e+30,1.8667583127030107e+30,0.3333333200255962,12182.181219597021,1.8353114699925064e+19,7077.864105986603
-21.15088878278816,6.520572293428614e-10,2.204642192624889e-17,2.2679418473036576e+16,4.9098306131891893e+30,1.6366101346145998e+30,0.3333333191206645,12182.181219597021,1.7184557167200276e+19,6848.831881529196
-21.117994710031105,6.738627168030945e-10,2.3545588062227926e-17,2.1235402078205144e+16,4.304509324352594e+30,1.434836376112131e+30,0.3333333181541971,12182.181219597021,1.6090402617886116e+19,6627.21089852181
