x4,phi,phidot,KE,PE,rho,P,w,w_avg,rho_drift
2.410000000000000e1,2.100676291803478e-3,-7.071067811823891e-1,2.499999999970596e-1,4.868291164548169e-12,2.500000000019278e-1,2.499999999921913e-1,9.999999999610537e-1,3.332511533787631e-1,7.711387084441412e-12
2.415000000000000e1,-3.325465870075196e-2,-7.071063488097794e-1,2.499996942635487e-1,3.057383999680416e-7,2.500000000019487e-1,2.499993885251487e-1,9.999975540928003e-1,3.346315832413886e-1,7.794653811288299e-12
2.420000000000000e1,-6.860984979464281e-2,-7.070989468336052e-1,2.499944603065968e-1,5.539695363249380e-6,2.500000000019600e-1,2.499889206112336e-1,9.999556824370944e-1,3.360062630658174e-1,7.840172955297930e-12
2.425000000000000e1,-1.039641262714691e-1,-7.070654762752550e-1,2.499707938701766e-1,2.920613180849029e-5,2.500000000019851e-1,2.499415877383681e-1,9.997663509455339e-1,3.373750357537050e-1,7.940315072119120e-12
2.430000000000000e1,-1.393154310944826e-1,-7.069735846918795e-1,2.499058247260431e-1,9.417527592123170e-5,2.500000000019643e-1,2.498116494501219e-1,9.992465977926360e-1,3.387374461212264e-1,7.857270389877158e-12
2.435000000000000e1,-1.746597585489379e-1,-7.067776814758397e-1,2.497673455161818e-1,2.326544857537061e-4,2.500000000019355e-1,2.495346910304281e-1,9.981387641139847e-1,3.400925903405942e-1,7.742029239921067e-12
2.440000000000000e1,-2.099904931799324e-1,-7.064189770081585e-1,2.495138855386266e-1,4.861144633177862e-4,2.500000000019444e-1,2.490277710753088e-1,9.961110842934878e-1,3.414389680739202e-1,7.777556376709072e-12
2.445000000000000e1,-2.452977516463448e-1,-7.058255635551098e-1,2.490948630839442e-1,9.051369180179127e-4,2.500000000019621e-1,2.481897261659263e-1,9.927589046559135e-1,3.427743382710589e-1,7.848388605680157e-12
2.450000000000000e1,-2.805677301310736e-1,-7.049125608674228e-1,2.484508592343340e-1,1.549140767638523e-3,2.500000000019726e-1,2.469017184666955e-1,9.876068738589896e-1,3.440955802118474e-1,7.890355036010988e-12
2.455000000000000e1,-3.157820612190177e-1,-7.035823543200427e-1,2.475140646552670e-1,2.485935346674156e-3,2.500000000019412e-1,2.450281293085929e-1,9.801125172267611e-1,3.453985621167987e-1,7.764899834228345e-12
2.460000000000000e1,-3.509171856613055e-1,-7.017249579721753e-1,2.462089583205256e-1,3.791041681380153e-3,2.500000000019058e-1,2.424179166391454e-1,9.696716665491899e-1,3.466780205106425e-1,7.623013331681250e-12
2.465000000000000e1,-3.859437461659768e-1,-6.992185389231070e-1,2.444532825868823e-1,5.546717415022587e-3,2.500000000019049e-1,2.389065651718597e-1,9.556262606801574e-1,3.479274544723139e-1,7.619460618002449e-12
2.470000000000000e1,-4.208260122576900e-1,-6.959301425191246e-1,2.421593816333445e-1,7.840618368557553e-3,2.500000000019020e-1,2.343187632647870e-1,9.372750530520169e-1,3.491390399022608e-1,7.608136343151273e-12
2.475000000000000e1,-4.555213472828554e-1,-6.917166599872394e-1,2.392359688519511e-1,1.076403114992555e-2,2.500000000018767e-1,2.284719377020255e-1,9.138877508012418e-1,3.503035699265525e-1,7.506661958700533e-12
2.480000000000000e1,-4.899797307343369e-1,-6.864260805253992e-1,2.355903820127309e-1,1.440961798912507e-2,2.500000000018560e-1,2.211807640236058e-1,8.847230560878553e-1,3.514104284618711e-1,7.423839321063497e-12
2.485000000000000e1,-5.241433511413477e-1,-6.798990683070468e-1,2.311313715423952e-1,1.886862845944848e-2,2.500000000018436e-1,2.122627430829467e-1,8.490509723255254e-1,3.524476046907339e-1,7.374545418770140e-12
2.490000000000000e1,-5.579462867023723e-1,-6.719709007665305e-1,2.257724457384912e-1,2.422755426333749e-2,2.500000000018287e-1,2.015448914751537e-1,8.061795658947178e-1,3.534017566273190e-1,7.314815420045306e-12
2.495000000000000e1,-5.913142924932557e-1,-6.624737974292025e-1,2.194357661401340e-1,3.056423386168151e-2,2.500000000018155e-1,1.888715322784525e-1,7.554861291083237e-1,3.542583319597322e-1,7.262190848678074e-12
2.500000000000000e1,-6.241647142970678e-1,-6.512396579959747e-1,2.120565460733571e-1,3.794345392845239e-2,2.500000000018094e-1,1.741130921449047e-1,6.964523685745779e-1,3.550017537934956e-1,7.237765942136321e-12
2.505000000000000e1,-6.564065496957570e-1,-6.381032140568997e-1,2.035878558948728e-1,4.641214410693902e-2,2.500000000018118e-1,1.571757117879338e-1,6.287028471471787e-1,3.556156776539096e-1,7.247313860148097e-12
2.510000000000000e1,-6.879406768420872e-1,-6.229055805476857e-1,1.940056811387247e-1,5.599431886309994e-2,2.500000000018247e-1,1.380113622756248e-1,5.520454490984700e-1,3.560833240094254e-1,7.298606163885779e-12
2.515000000000000e1,-7.186602700996699e-1,-6.054981710005329e-1,1.833140175424953e-1,6.668598245935714e-2,2.500000000018525e-1,1.166280350831382e-1,4.665121403290959e-1,3.563878875694738e-1,7.409850510953220e-12
2.520000000000000e1,-7.484514193190372e-1,-5.857469152489193e-1,1.715497243618123e-1,7.845027564008394e-2,2.500000000018963e-1,9.309944872172837e-2,3.723977948840889e-1,3.565130206647856e-1,7.585043704239069e-12
2.525000000000000e1,-7.771939657626338e-1,-5.635366904182861e-1,1.587868007237976e-1,9.121319927814994e-2,2.500000000019476e-1,6.757360144564770e-2,2.702944057804851e-1,3.564433831987806e-1,7.790212919189798e-12
2.530000000000000e1,-8.047625625117171e-1,-5.387758471316666e-1,1.451397067262225e-1,1.048602932757891e-1,2.500000000020115e-1,4.027941345043343e-2,1.611176538004374e-1,3.561652461367088e-1,8.046008304063434e-12
2.535000000000000e1,-8.310279605733621e-1,-5.114006847157723e-1,1.307653301638804e-1,1.192346698382103e-1,2.500000000020907e-1,1.153066032567010e-2,4.612264130229470e-2,3.556671295714517e-1,8.362643910686529e-12
2.540000000000000e1,-8.558585139492110e-1,-4.813797040682546e-1,1.158632097444202e-1,1.341367902577603e-1,2.500000000021805e-1,-1.827358051334010e-2,-7.309432205272290e-2,3.549404504967536e-1,8.721912081455230e-12
2.545000000000000e1,-8.791218878432545e-1,-4.487174473050850e-1,1.006736737579959e-1,1.493263262442658e-1,2.500000000022617e-1,-4.865265248626995e-2,-1.946106099433192e-1,3.539801500714200e-1,9.046763338460551e-12
2.550000000000000e1,-9.006869443199464e-1,-4.134577220270568e-1,8.547364395190149e-2,1.645263560504301e-1,2.500000000023316e-1,-7.905271209852857e-2,-3.162108483911652e-1,3.527852659944815e-1,9.326317496061165e-12
2.555000000000000e1,-9.204257695539345e-1,-3.756860075548114e-1,7.056998813623688e-2,1.794300118661548e-1,2.500000000023916e-1,-1.088600237299179e-1,-4.354400949155058e-1,3.513594132789279e-1,9.566569758590049e-12
2.560000000000000e1,-9.382157969323714e-1,-3.355308528496410e-1,5.629047660700372e-2,1.937095233954301e-1,2.500000000024338e-1,-1.374190467884264e-1,-5.496761871483542e-1,3.497111368056645e-1,9.735323658333073e-12
2.565000000000000e1,-9.539419713588732e-1,-2.931641023312411e-1,4.297259544784119e-2,2.070274045546062e-1,2.500000000024474e-1,-1.640548091067651e-1,-6.562192364206361e-1,3.478541020130912e-1,9.789724586539705e-12
2.570000000000000e1,-9.674988928801826e-1,-2.487998265896307e-1,3.095067685551514e-2,2.190493231469209e-1,2.500000000024361e-1,-1.880986462914057e-1,-7.523945851582915e-1,3.458070961516077e-1,9.744205442530074e-12
2.575000000000000e1,-9.787928729038666e-1,-2.026918888996328e-1,2.054200091285054e-2,2.294579990895573e-1,2.500000000024078e-1,-2.089159981767067e-1,-8.356639926987784e-1,3.435938216174714e-1,9.631184738623233e-12
2.580000000000000e1,-9.877438343951457e-1,-1.551301428858396e-1,1.203268061589050e-2,2.379673193864767e-1,2.500000000023672e-1,-2.259346387705862e-1,-9.037385550737875e-1,3.412424745331618e-1,9.468648087818110e-12
2.585000000000000e1,-9.942869889662075e-1,-1.064353276996585e-1,5.664239491266848e-3,2.443357605110512e-1,2.500000000023181e-1,-2.386715210197844e-1,-9.546860840702854e-1,3.387851151635192e-1,9.272360657064382e-12
2.590000000000000e1,-9.983742289081922e-1,-5.695279961513161e-2,1.621810692000668e-3,2.483781893102761e-1,2.500000000022768e-1,-2.467563786182755e-1,-9.870255144641128e-1,3.362568508499466e-1,9.107159471000159e-12
2.595000000000000e1,-9.999751809005485e-1,-7.045307338441664e-3,2.481817774654998e-5,2.499751818245148e-1,2.500000000022613e-1,-2.499503636467682e-1,-9.998014545780294e-1,3.336948656180178e-1,9.045209026226075e-12
2.600000000000000e1,-9.990778800119831e-1,4.291492319138424e-2,9.208453162612043e-4,2.490791546859888e-1,2.500000000022500e-1,-2.481583093697275e-1,-9.926332374699766e-1,3.311373421340909e-1,8.999911926821369e-12
2.605000000000000e1,-9.956890370537788e-1,9.255448532078601e-2,4.283166376497797e-3,2.457168336257430e-1,2.500000000022408e-1,-2.414336672492451e-1,-9.657346689883246e-1,3.286223300508600e-1,8.963052522403814e-12
2.610000000000000e1,-9.898338885003389e-1,1.415071359535370e-1,1.001213476288640e-2,2.399878652393464e-1,2.500000000022328e-1,-2.299757304764600e-1,-9.199029218976241e-1,3.261866190824810e-1,8.931078099294609e-12
2.615000000000000e1,-9.815556350380737e-1,1.894218509366074e-1,1.794031880612515e-2,2.320596811960989e-1,2.500000000022241e-1,-2.141193623899737e-1,-8.564774495522754e-1,3.238646749050291e-1,8.896217096321379e-12
