a,z,N,t,phi,phidot,H,KE,PE,rho_phi,P_phi,w_phi,Omega_phi,Omega_m,Omega_r,q_dec
5.799404726842141e-3,1.714314903168543e2,-5.150000000000000e0,5.044343995881194e-4,2.000021868573826e-1,8.609859396468378e-3,1.269769128615989e3,3.706483941347741e-5,9.904866665752358e0,9.904903730591771e0,-9.904829600912946e0,-9.999925158607451e-1,2.047761983141299e-6,9.539409056672605e-1,4.605704657075634e-2,5.230254516653923e-1
5.857689713335622e-3,1.697157683213228e2,-5.140000000000000e0,5.123701223545008e-4,2.000022557095129e-1,8.742584686952373e-3,1.250578115120609e3,3.821639350426706e-5,9.904863255934961e0,9.904901472328465e0,-9.904825039541457e0,-9.999922833369699e-1,2.111092468706174e-6,9.543782140833476e-1,4.561967482418381e-2,5.228066707978247e-1
5.916560473681857e-3,1.680171180448872e2,-5.130000000000000e0,5.204276156320644e-4,2.000023266957149e-1,8.877328276814606e-3,1.231679832910128e3,3.940347866716609e-5,9.904859740432739e0,9.904899143911406e0,-9.904820336954073e0,-9.999920436385885e-1,2.176372060761046e-6,9.548115639593632e-1,4.518625966857602e-2,5.225898653021706e-1
5.976022895005943e-3,1.663353696211041e2,-5.120000000000000e0,5.286087302450997e-4,2.000023998817593e-1,9.014120799811020e-3,1.213069752775016e3,4.062718689679283e-5,9.904856115988707e0,9.904896743175604e0,-9.904815488801811e0,-9.999917965450928e-1,2.243660539301408e-6,9.552409873067629e-1,4.475676903269761e-2,5.223750190531478e-1
6.036082923599565e-3,1.646703548737297e2,-5.110000000000000e0,5.369153449002707e-4,2.000024753353992e-1,9.152993348311584e-3,1.194743417087264e3,4.188864361711805e-5,9.904852379247721e0,9.904894267891338e0,-9.904810490604104e0,-9.999915418292242e-1,2.313019513399247e-6,9.556665159459298e-1,4.433117103455683e-2,5.221621160173542e-1
6.096746565515638e-3,1.630219072999017e2,-5.100000000000000e0,5.453493669686769e-4,2.000025531265295e-1,9.293977486083977e-3,1.176696438634603e3,4.318900875591792e-5,9.904848526748591e0,9.904891715757346e0,-9.904805337739836e0,-9.999912792567562e-1,2.384512477072084e-6,9.560881815058284e-1,4.390943398169457e-2,5.219511402533241e-1
6.158019887168897e-3,1.613898620534891e2,-5.090000000000000e0,5.539127324737798e-4,2.000026333271286e-1,9.437105248283255e-3,1.158924499474493e3,4.452947773358767e-5,9.904844554926955e0,9.904889084404688e0,-9.904800025449221e0,-9.999910085862943e-1,2.458204866858782e-6,9.565060154236968e-1,4.349152637143629e-2,5.217420759115721e-1
6.219909015942573e-3,1.597740559286073e2,-5.080000000000000e0,5.626074068367356e-4,2.000027160114101e-1,9.582409153646930e-3,1.141423349807482e3,4.591128259394824e-5,9.904840460107790e0,9.904886371390385e0,-9.904794548825196e0,-9.999907295690484e-1,2.534164121149584e-6,9.569200489447683e-1,4.307741689111052e-2,5.215349072346127e-1
6.282420140801118e-3,1.581743273432971e2,-5.070000000000000e0,5.714353853074046e-4,2.000028012558870e-1,9.729922211624739e-3,1.124188806869639e3,4.733569312213423e-5,9.904836238502199e0,9.904883574195321e0,-9.904788902809077e0,-9.999904419486071e-1,2.612459741326933e-6,9.573303131220257e-1,4.266707441823302e-2,5.213296185569598e-1
6.345559512909110e-3,1.565905163233670e2,-5.060000000000000e0,5.803986931506652e-4,2.000028891393659e-1,9.879677925561995e-3,1.107216753843696e3,4.880401795641848e-5,9.904831886207736e0,9.904880690225692e0,-9.904783082189780e0,-9.999901454607113e-1,2.693163354772408e-6,9.577368388159874e-1,4.226046802065783e-2,5.211261943051066e-1
