potential,A,n,w_classical,w_quantum,sigma_over_n,x_kF_over_m,n_roots,rho_over_A
mass,1,0.8130716446,0,0.2157684682,0.6021740198,1.81898845,1,1.388199952
mass,1,0.9654893846,0,0.2240230736,0.5814542382,1.92620647,1,1.711909739
mass,1,1.146479228,0,0.2319699633,0.5607257007,2.039744323,1,2.11404563
mass,1,1.361397279,0,0.2395816304,0.5400625028,2.159974525,1,2.614137838
mass,1,1.61660369,0,0.2468365867,0.5195350473,2.287291546,1,3.236662294
mass,1,1.919650885,0,0.2537192649,0.4992092884,2.422113112,1,4.01230407
mass,1,2.279507057,0,0.2602197564,0.4791461417,2.564881568,1,4.979544872
mass,1,2.70682157,0,0.2663334167,0.4594010565,2.716065334,1,6.186657894
mass,1,3.214240109,0,0.2720603722,0.4400237428,2.876160439,1,7.694214749
mass,1,3.81677891,0,0.2774049617,0.4210580404,3.045692152,1,9.578236117
mass,1,4.532269136,0,0.2823751436,0.4025419139,3.225216701,1,11.93415164
mass,1,5.381884571,0,0.2869818961,0.3845075558,3.415323103,1,14.88177718
mass,1,6.390768215,0,0.2912386319,0.3669815798,3.616635091,1,18.57157106
mass,1,7.588776354,0,0.2951606447,0.349985286,3.829813164,1,23.19249839
mass,1,9.011362111,0,0.2987646,0.3335349794,4.055556755,1,28.98191696
mass,1,10.70062462,0,0.3020680791,0.3176423288,4.294606522,1,36.23800502
mass,1,12.70655489,0,0.305089178,0.3023147492,4.547746782,1,45.3353848
mass,1,15.08851519,0,0.3078461654,0.2875557966,4.81580808,1,56.74476411
mass,1,17.9169958,0,0.3103571955,0.273365566,5.099669919,1,71.05762992
mass,1,21.27570106,0,0.3126400749,0.2597410825,5.400263643,1,89.01729416
mass,1,25.26402644,0,0.3147120772,0.2466766801,5.718575491,1,111.5579262
mass,1,30,0,0.3165898018,0.2341643626,6.055649837,1,139.8536279
lambda-mass,10000,0.001,-0.9995716122,-0.9995716122,0.9999999987,6.49629515e-05,1,0.7003
lambda-mass,10000,0.001187459175,-0.9994913478,-0.9994913478,0.9999999986,6.879211217e-05,1,0.7003562378
lambda-mass,10000,0.001410059293,-0.9993960538,-0.9993960538,0.9999999984,7.284697797e-05,1,0.7004230178
lambda-mass,10000,0.001674387845,-0.9992829198,-0.9992829198,0.9999999982,7.714085281e-05,1,0.7005023164
lambda-mass,10000,0.00198826721,-0.999148611,-0.999148611,0.999999998,8.168782478e-05,1,0.7005964802
lambda-mass,10000,0.002360986142,-0.9989891716,-0.9989891716,0.9999999978,8.650281239e-05,1,0.7007082958
lambda-mass,10000,0.002803574657,-0.99879991,-0.9987999099,0.9999999975,9.160161346e-05,1,0.7008410724
lambda-mass,10000,0.00332913045,-0.9985752626,-0.9985752626,0.9999999972,9.700095705e-05,1,0.7009987391
lambda-mass,10000,0.003953206499,-0.9983086342,-0.9983086342,0.9999999968,0.0001027185583,1,0.701185962
lambda-mass,10000,0.004694271329,-0.9979922088,-0.9979922088,0.9999999965,0.0001087731764,1,0.7014082814
lambda-mass,10000,0.005574255561,-0.9976167269,-0.9976167269,0.999999996,0.0001151846765,1,0.7016722767
lambda-mass,10000,0.006619200912,-0.9971712243,-0.9971712243,0.9999999955,0.0001219740945,1,0.7019857603
lambda-mass,10000,0.007860030856,-0.9966427246,-0.9966427246,0.999999995,0.0001291637063,1,0.7023580093
lambda-mass,10000,0.009333465758,-0.99601588,-0.9960158799,0.9999999944,0.0001367771009,1,0.7028000397
lambda-mass,10000,0.01108310955,-0.9952725508,-0.9952725508,0.9999999937,0.0001448392576,1,0.7033249329
lambda-mass,10000,0.01316074013,-0.9943913175,-0.9943913175,0.9999999929,0.0001533766282,1,0.7039482221
lambda-mass,10000,0.01562784162,-0.9933469136,-0.9933469135,0.9999999921,0.0001624172235,1,0.7046883525
lambda-mass,10000,0.01855742392,-0.9921095723,-0.9921095722,0.9999999911,0.0001719907054,1,0.7055672272
lambda-mass,10000,0.02203618331,-0.9906442776,-0.9906442775,0.99999999,0.0001821284844,1,0.7066108551
lambda-mass,10000,0.02616706806,-0.9889099116,-0.9889099114,0.9999999888,0.0001928638223,1,0.7078501205
lambda-mass,10000,0.03107232506,-0.9868582936,-0.9868582933,0.9999999875,0.0002042319413,1,0.7093216976
lambda-mass,10000,0.03689711749,-0.9844331097,-0.9844331093,0.999999986,0.0002162701399,1,0.7110691354
lambda-mass,10000,0.04381382071,-0.9815687385,-0.9815687381,0.9999999843,0.0002290179153,1,0.7131441464
lambda-mass,10000,0.05202712341,-0.9781889889,-0.9781889883,0.9999999824,0.0002425170925,1,0.7156081373
lambda-mass,10000,0.06178008506,-0.9742057789,-0.9742057781,0.9999999802,0.000256811962,1,0.7185340259
lambda-mass,10000,0.07336132885,-0.969517808,-0.9695178069,0.9999999778,0.0002719494249,1,0.7220083991
lambda-mass,10000,0.08711358306,-0.9640092983,-0.9640092968,0.9999999751,0.0002879791467,1,0.7261340756
