x,w_KS
1.5848931925e-02,5.022943750276548e-05
1.7782794100e-02,6.323241324882536e-05
1.9952623150e-02,7.960060987698740e-05
2.2387211386e-02,1.002044449148247e-04
2.5118864315e-02,1.261391692902083e-04
2.8183829313e-02,1.587827671094798e-04
3.1622776602e-02,1.998686631709867e-04
3.5481338923e-02,2.515769651262295e-04
3.9810717055e-02,3.166488699239986e-04
4.4668359215e-02,3.985299646329371e-04
5.0118723363e-02,5.015494804920572e-04
5.6234132519e-02,6.311441428915867e-04
6.3095734448e-02,7.941371145959349e-04
7.0794578438e-02,9.990846467217739e-04
7.9432823472e-02,1.256705378866629e-03
8.9125093813e-02,1.580409635203391e-03
1.0000000000e-01,1.986948285843952e-03
1.1220184543e-01,2.497202311848075e-03
1.2589254118e-01,3.137134333562403e-03
1.4125375446e-01,3.938920756854702e-03
1.5848931925e-01,4.942275886712846e-03
1.7782794100e-01,6.195964434424458e-03
1.9952623150e-01,7.759472198437294e-03
2.2387211386e-01,9.704760924367988e-03
2.5118864315e-01,1.211796600117379e-02
2.8183829313e-01,1.510079832790784e-02
3.1622776602e-01,1.877128063991426e-02
3.5481338923e-01,2.326328773165669e-02
3.9810717055e-01,2.872418905973491e-02
4.4668359215e-01,3.530975739695730e-02
5.0118723363e-01,4.317549122142882e-02
5.6234132519e-01,5.246372077739181e-02
6.3095734448e-01,6.328646029454907e-02
7.0794578438e-01,7.570501246250451e-02
7.9432823472e-01,8.970875149084959e-02
8.9125093813e-01,1.051969741163591e-01
1.0000000000e+00,1.219686070816407e-01
1.1220184543e+00,1.397241958613142e-01
1.2589254118e+00,1.580825658451124e-01
1.4125375446e+00,1.766111339129240e-01
1.5848931925e+00,1.948651399236782e-01
1.7782794100e+00,2.124285212158839e-01
1.9952623150e+00,2.289488317476353e-01
2.2387211386e+00,2.441605796075322e-01
2.5118864315e+00,2.578946963485653e-01
2.8183829313e+00,2.700752098648546e-01
3.1622776602e+00,2.807065007579371e-01
3.5481338923e+00,2.898553821503914e-01
3.9810717055e+00,2.976318771498380e-01
4.4668359215e+00,3.041715095585041e-01
5.0118723363e+00,3.096207001114249e-01
5.6234132519e+00,3.141258216965704e-01
6.3095734448e+00,3.178257567404035e-01
7.0794578438e+00,3.208474145545214e-01
7.9432823472e+00,3.233035296607255e-01
8.9125093813e+00,3.252920819771704e-01
1.0000000000e+01,3.268967788723830e-01
1.1220184543e+01,3.281881643059134e-01
1.2589254118e+01,3.292250408447192e-01
1.4125375446e+01,3.300559919855670e-01
1.5848931925e+01,3.307208708761604e-01
1.7782794100e+01,3.312521785982241e-01
1.9952623150e+01,3.316762943328869e-01
2.2387211386e+01,3.320145451471118e-01
2.5118864315e+01,3.322841186131102e-01
2.8183829313e+01,3.324988300850227e-01
3.1622776602e+01,3.326697605461670e-01
3.5481338923e+01,3.328057821889243e-01
3.9810717055e+01,3.329139884601923e-01
4.4668359215e+01,3.330000439709657e-01
5.0118723363e+01,3.330684679230980e-01
5.6234132519e+01,3.331228628515075e-01
6.3095734448e+01,3.331660986895653e-01
7.0794578438e+01,3.332004605297057e-01
7.9432823472e+01,3.332277670092116e-01
8.9125093813e+01,3.332494650105165e-01
1.0000000000e+02,3.332667053168190e-01
1.1220184543e+02,3.332804029891897e-01
1.2589254118e+02,3.332912855091081e-01
1.4125375446e+02,3.332999311385741e-01
1.5848931925e+02,3.333067994679891e-01
1.7782794100e+02,3.333122557313889e-01
1.9952623150e+02,3.333165901532555e-01
2.2387211386e+02,3.333200333373106e-01
2.5118864315e+02,3.333227685039087e-01
2.8183829313e+02,3.333249412193702e-01
3.1622776602e+02,3.333266671299676e-01
3.5481338923e+02,3.333280381089352e-01
3.9810717055e+02,3.333291271415923e-01
4.4668359215e+02,3.333299922072697e-01
5.0118723363e+02,3.333306793638243e-01
5.6234132519e+02,3.333312251983947e-01
6.3095734448e+02,3.333316587745173e-01
7.0794578438e+02,3.333320031790401e-01
7.9432823472e+02,3.333322767510518e-01
8.9125093813e+02,3.333324940581633e-01
