a,z,N,t,phi,phidot,H,KE,PE,rho_phi,P_phi,w_phi,Omega_phi,Omega_m,Omega_r,q_dec
2.253726555394387e-1,3.437095519003666e0,-1.490000000000000e0,1.293869731682809e-1,3.097606371740380e-3,4.774702617860405e-2,5.194183696815239e0,1.139889254450150e-3,2.218764476124337e0,2.219904365378787e0,-2.217624586869886e0,-9.989730285031844e-1,2.742700596481211e-2,9.713661815663568e-1,1.206812468831139e-3,4.595051474172505e-1
2.276376883838127e-1,3.392945680918758e0,-1.480000000000000e0,1.313263175841916e-1,3.190891277564124e-3,4.845543849208527e-2,5.118955955173607e0,1.173964759730129e-3,2.218660989920180e0,2.219834954679910e0,-2.217487025160450e0,-9.989422954555653e-1,2.823817630740784e-2,9.705680009903553e-1,1.193822702236790e-3,4.582844483611166e-1
2.299254851867239e-1,3.349235141062739e0,-1.470000000000000e0,1.332941502871159e-1,3.286950479526366e-3,4.917394763133014e-2,5.044880195218780e0,1.209038562824400e-3,2.218554431077132e0,2.219763469639956e0,-2.217345392514308e0,-9.989106600055723e-1,2.907259048959679e-2,9.697464659962102e-1,1.180943514192994e-3,4.570290909260446e-1
2.322362747297588e-1,3.305959528345206e0,-1.460000000000000e0,1.352908646919291e-1,3.385864399042105e-3,4.990267910315994e-2,4.971939672064535e0,1.245138690836478e-3,2.218444710833151e0,2.219689849523987e0,-2.217199572142314e0,-9.988780966934605e-1,2.993086999011075e-2,9.689009564843223e-1,1.168173525567007e-3,4.557381510906320e-1
2.345702880937976e-1,3.263114515168818e0,-1.450000000000000e0,1.373168585361749e-1,3.487715664224446e-3,5.064175914284984e-2,4.900117894966953e0,1.282293884541208e-3,2.218331738009514e0,2.219614031894055e0,-2.217049444124973e0,-9.988445794033415e-1,3.081365024358530e-2,9.680308383873019e-1,1.155511369112785e-3,4.544106844084033e-1
2.369277586821217e-1,3.220695816996555e0,-1.440000000000000e0,1.393725338763211e-1,3.592589163272991e-3,5.139131467638362e-2,4.829398623509755e0,1.320533612083541e-3,2.218215418953529e0,2.219535952565613e0,-2.216894885341446e0,-9.988100813500613e-1,3.172158079165610e-2,9.671354635188479e-1,1.142955689496047e-3,4.530457258081484e-1
2.393089222437546e-1,3.178699191923245e0,-1.430000000000000e0,1.414582970832409e-1,3.700572098014531e-3,5.215147328207299e-2,4.759765863843113e0,1.359888082745386e-3,2.218095657481193e0,2.219455545563939e0,-2.216735769398448e0,-9.987745750659764e-1,3.265532542464519e-2,9.662141694320263e-1,1.130505143328511e-3,4.516422894097025e-1
2.417140168970364e-1,3.137120440251393e0,-1.420000000000000e0,1.435745588354965e-1,3.811754038233551e-3,5.292236315021938e-2,4.691203864975001e0,1.400388260701849e-3,2.217972354819087e0,2.219372743079789e0,-2.216571966558386e0,-9.987380323876931e-1,3.361556231291814e-2,9.652662792878701e-1,1.118158399211632e-3,4.501993683565915e-1
2.441432831534371e-1,3.095955404071177e0,-1.410000000000000e0,1.457217341047513e-1,3.926226978230326e-3,5.370411303602232e-2,4.623697115113981e0,1.442065878492931e-3,2.217845409543928e0,2.219287475422421e0,-2.216403343665435e0,-9.987004244430133e-1,3.460298412693059e-2,9.642911017352793e-1,1.105914137790103e-3,4.487159346670542e-1
2.465969639416064e-1,3.055199966844676e0,-1.400000000000000e0,1.479002421425039e-1,4.044085392687212e-3,5.449685221375904e-2,4.557230338062717e0,1.484953450604147e-3,2.217714717523015e0,2.219199670973619e0,-2.216229764072410e0,-9.986617216377355e-1,3.561829814501009e-2,9.632879308031745e-1,1.093771051815375e-3,4.471909391049549e-1
