a,z,N,t,s,H,K_Psi,U_Psi,rho_Psi,P_Psi,w_Psi,Omega_Psi,Omega_m,Omega_r,q_dec
3.080741103275108e-2,3.145972207586379e1,-3.480000000000000e0,4.438559015691632e-3,3.420065331193946e4,1.496227229723149e2,3.600345549224314e4,3.610053428926715e4,3.610053428926715e4,-9.707879702401260e1,-2.689123552746864e-3,5.375232655008414e-1,4.583112706873494e-1,4.165463811809259e-3,4.999145321957936e-1
3.111703066106086e-2,3.113674244475316e1,-3.470000000000000e0,4.505897525476232e-3,3.318987125358854e4,1.473952962014450e2,3.494081637452438e4,3.503644985655875e4,3.503644985655875e4,-9.563348203436908e1,-2.729542588529865e-3,5.375657501870217e-1,4.583102423122237e-1,4.124007500754500e-3,4.998610408364714e-1
3.142976201836771e-2,3.081697651466769e1,-3.460000000000000e0,4.574253631455905e-3,3.220896231963336e4,1.452011069115334e2,3.390956179134434e4,3.400377147632592e4,3.400377147632592e4,-9.420968498157890e1,-2.770565760541244e-3,5.376083182885427e-1,4.583087223122598e-1,4.082959399197431e-3,4.998072609007502e-1
3.174563637806794e-2,3.050039230874794e1,-3.450000000000000e0,4.643642673876344e-3,3.125704362578790e4,1.430396583984891e2,3.290876450508571e4,3.300157159059097e4,3.300157159059097e4,-9.280708550525742e1,-2.812201996213903e-3,5.376509764873766e-1,4.583067080046576e-1,4.042315507965698e-3,4.997531830299664e-1
3.206468532786077e-2,3.018695816830946e1,-3.440000000000000e0,4.714080223460567e-3,3.033325838096899e4,1.409104613990800e2,3.193752467747604e4,3.202895004549064e4,3.202895004549064e4,-9.142536801459937e1,-2.854460351798815e-3,5.376937315117905e-1,4.583041966218557e-1,4.002071866353815e-3,4.996987977761600e-1
3.238694077290704e-2,2.987664274967704e1,-3.430000000000000e0,4.785582084849019e-3,2.943677511609513e4,1.388130339789869e2,3.099496905985258e4,3.108503328146990e4,3.108503328146990e4,-9.006422161732553e1,-2.897350014130828e-3,5.377365901372624e-1,4.583011853109696e-1,3.962224551768096e-3,4.996440956003352e-1
3.271243493901982e-2,2.956941502105020e1,-3.420000000000000e0,4.858164300093823e-3,2.856678693570777e4,1.367469014225864e2,3.008025020738899e4,3.016897354743872e4,3.016897354743872e4,-8.872334004973163e1,-2.940880302414683e-3,5.377795591876438e-1,4.582976711329837e-1,3.922769679372589e-3,4.995890668707019e-1
3.304120037588693e-2,2.926524425940009e1,-3.410000000000000e0,4.931843152203129e-3,2.772251079171123e4,1.347115961244031e2,2.919254571654483e4,2.927994813815263e4,2.927994813815263e4,-8.740242160779962e1,-2.985060670032791e-3,5.378226455363294e-1,4.582936510619325e-1,3.883703401738065e-3,4.995337018609034e-1
3.337326996032608e-2,2.896410004739701e1,-3.400000000000000e0,5.006635168735884e-3,2.690318677857619e4,1.327066574822033e2,2.833105748505017e4,2.841715865412945e4,2.841715865412945e4,-8.610116907928023e1,-3.029900706373656e-3,5.378658561074412e-1,4.582891219840648e-1,3.845021908493992e-3,4.994779907482156e-1
3.370867689957240e-2,2.866595227036886e1,-3.390000000000000e0,5.082557125449696e-3,2.610807744937372e4,1.307316317917075e2,2.749501099376062e4,2.757983028343746e4,2.757983028343746e4,-8.481928967683780e1,-3.075410138682955e-3,5.379091978770216e-1,4.582840806969947e-1,3.806721425983538e-3,4.994219236117288e-1
3.404745473459934e-2,2.837077111328943e1,-3.380000000000000e0,5.159626050003768e-3,2.533646715220338e4,1.287860721431401e2,2.668365460992484e4,2.676721110489731e4,2.676721110489731e4,-8.355649497247214e1,-3.121598833925043e-3,5.379526778760042e-1,4.582785239070887e-1,3.768798216907144e-3,4.993654904305067e-1
3.438963734347271e-2,2.807852705779708e1,-3.370000000000000e0,5.237859225714836e-3,2.458766138569080e4,1.268695383186125e2,2.589625891047275e4,2.597857141130475e4,2.597857141130475e4,-8.231250083200575e1,-3.168476800698428e-3,5.379963031879983e-1,4.582724482319899e-1,3.731248580011915e-3,4.993086810817369e-1
3.473525894473856e-2,2.778919087924267e1,-3.360000000000000e0,5.317274195369411e-3,2.386098617403005e4,1.249815966917193e2,2.513211602582503e4,2.521320305317642e4,2.521320305317642e4,-8.108702735139377e1,-3.216054191146456e-3,5.380400809517055e-1,4.582658501985493e-1,3.694068849745249e-3,4.992514853388483e-1
3.508435410084502e-2,2.750273364376728e1,-3.350000000000000e0,5.397888765091861e-3,2.315578746047727e4,1.231218201286379e2,2.439053900307505e4,2.447041880186898e4,2.447041880186898e4,-7.987979879393242e1,-3.264341302888996e-3,5.380840183633466e-1,4.582587262407412e-1,3.657255395912135e-3,4.991938928696042e-1
3.543695772159864e-2,2.721912670540861e1,-3.340000000000000e0,5.479721008268977e-3,2.247143051858520e4,1.212897878904703e2,2.367086118779720e4,2.374955173132529e4,2.374955173132529e4,-7.869054352808598e1,-3.313348580987974e-3,5.381281226772506e-1,4.582510726993990e-1,3.620804623350251e-3,4.991358932341816e-1
3.579310506765530e-2,2.693834170323651e1,-3.330000000000000e0,5.562789269532440e-3,2.180729938090672e4,1.194850855371543e2,2.297243562419646e4,2.304995461816285e4,2.304995461816285e4,-7.751899396639419e1,-3.363086619932454e-3,5.381724012071256e-1,4.582428858212718e-1,3.584712971602527e-3,4.990774758832264e-1
3.615283175404643e-2,2.666035055851675e1,-3.320000000000000e0,5.647112168799758e-3,2.116279628458233e4,1.177073048328253e2,2.229463447298483e4,2.237099935949008e4,2.237099935949008e4,-7.636488650524552e1,-3.413566165646031e-3,5.382168613273414e-1,4.582341617580662e-1,3.548976914592532e-3,4.990186301558857e-1
3.651617375374040e-2,2.638512547190322e1,-3.310000000000000e0,5.732708605374391e-3,2.053734113331336e4,1.159560436526101e2,2.163684844646181e4,2.171207640792739e4,2.171207640792739e4,-7.522796146557812e1,-3.464798117517320e-3,5.382615104742241e-1,4.582248965654732e-1,3.513592960302702e-3,4.989593452778165e-1
3.688316740124001e-2,2.611263892065788e1,-3.300000000000000e0,5.819597762106094e-3,1.993037097523600e4,1.142309058908274e2,2.099848626028935e4,2.107259422332378e4,2.107259422332378e4,-7.410796303443203e1,-3.516793530452311e-3,5.383063561473664e-1,4.582150862021782e-1,3.478557650455382e-3,4.988996103591770e-1
3.725384939621581e-2,2.584286365589857e1,-3.290000000000000e0,5.907799109610192e-3,1.934133949631647e4,1.125315013707165e2,2.037897410156334e4,2.045197874077093e4,2.045197874077093e4,-7.300463920758921e1,-3.569563616945048e-3,5.383514059120961e-1,4.582047265277158e-1,3.443867560188091e-3,4.988394143925812e-1
3.762825680717622e-2,2.557577269987395e1,-3.280000000000000e0,5.997332410557262e-3,1.876971652852293e4,1.108574457552291e2,1.977775511239912e4,1.984967285413176e4,1.984967285413176e4,-7.191774173264275e1,-3.623119749183834e-3,5.383966673995592e-1,4.581938133026910e-1,3.409519297749822e-3,4.987787462510496e-1
3.800642707517431e-2,2.531133934326589e1,-3.270000000000000e0,6.088217724014590e-3,1.821498757251397e4,1.092083604591269e2,1.919428888875844e4,1.926513591481135e4,1.926513591481135e4,-7.084702605291022e1,-3.677473461188629e-3,5.384421483063447e-1,4.581823421894522e-1,3.375509504202933e-3,4.987175946859284e-1
3.838839801755208e-2,2.504953714251834e1,-3.260000000000000e0,6.180475409852511e-3,1.767665333478296e4,1.075838725629592e2,1.862805099445477e4,1.869784324570761e4,1.869784324570761e4,-6.979225125284211e1,-3.732636450937465e-3,5.384878563987657e-1,4.581703087481409e-1,3.341834853093461e-3,4.986559483247750e-1
3.877420783172201e-2,2.479033991719306e1,-3.250000000000000e0,6.274126133221051e-3,1.715422927817552e4,1.059836147278605e2,1.807853248919891e4,1.814728566920257e4,1.814728566920257e4,-6.875318000365951e1,-3.788620582544699e-3,5.385337995131819e-1,4.581577084366642e-1,3.308492050153865e-3,4.985937956692295e-1
3.916389509898707e-2,2.453372174735153e1,-3.240000000000000e0,6.369190869091835e-3,1.664724518577322e4,1.044072251117619e2,1.754523947067840e4,1.761296904918833e4,1.761296904918833e4,-6.772957850992680e1,-3.845437888454595e-3,5.385799855573946e-1,4.581445366096048e-1,3.275477833000508e-3,4.985311250928615e-1
3.955749878839872e-2,2.427965697096289e1,-3.230000000000000e0,6.465690906863069e-3,1.615524473766656e4,1.028543472868671e2,1.702769263016993e4,1.709441384662691e4,1.709441384662691e4,-6.672121645698644e1,-3.903100571661433e-3,5.386264225120533e-1,4.581307885171129e-1,3.242788970833822e-3,4.984679248389887e-1
3.995505826065390e-2,2.402812018133782e1,-3.220000000000000e0,6.563647855031423e-3,1.567778510023639e4,1.013246301583747e2,1.652542682128468e4,1.659115468824378e4,1.659115468824378e4,-6.572786695910327e1,-3.961621007950500e-3,5.386731184320772e-1,4.581164593037816e-1,3.210422264141122e-3,4.984041830184724e-1
4.035661327203115e-2,2.377908622458770e1,-3.210000000000000e0,6.663083645933648e-3,1.521443652757352e4,9.981772788442611e1,1.603799064145815e4,1.610273994796658e4,1.610273994796658e4,-6.474930650842725e1,-4.021011748165493e-3,5.387200814480934e-1,4.581015440075046e-1,3.178374544402042e-3,4.983398876074880e-1
4.076220397836621e-2,2.353253019710935e1,-3.200000000000000e0,6.764020540557983e-3,1.476478197471364e4,9.833329979732481e1,1.556494602584530e4,1.562873134077008e4,1.562873134077008e4,-6.378531492478396e1,-4.081285520494582e-3,5.387673197684734e-1,4.580860375577340e-1,3.146642673792595e-3,4.982750264452660e-1
4.117187093906774e-2,2.328842744309455e1,-3.190000000000000e0,6.866481133425363e-3,1.432841672230523e4,9.687101032595299e1,1.510586785321970e4,1.516870352852592e4,1.516870352852592e4,-6.283567530622167e1,-4.142455232779452e-3,5.388148416815276e-1,4.580699347735813e-1,3.115223544891131e-3,4.982095872318111e-1
4.158565512117316e-2,2.304675355206450e1,-3.180000000000000e0,6.970488357539556e-3,1.390494801207963e4,9.543052891882945e1,1.466034356321371e4,1.472224373719333e4,1.472224373719333e4,-6.190017397962038e1,-4.204533974888625e-3,5.388626555526337e-1,4.580532303669452e-1,3.084114080421068e-3,4.981435575256064e-1
4.200359790344555e-2,2.280748435642867e1,-3.170000000000000e0,7.076065489412890e-3,1.349399469361213e4,9.401152996925943e1,1.422797278541458e4,1.428895138586782e4,1.428895138586782e4,-6.097860045323978e1,-4.267535021047708e-3,5.389107698302111e-1,4.580359189368528e-1,3.053311232936035e-3,4.980769247412626e-1
4.242574108051139e-2,2.257059592906813e1,-3.160000000000000e0,7.183236154163134e-3,1.309518688117475e4,9.261369274099029e1,1.380836697905559e4,1.386843772642473e4,1.386843772642473e4,-6.007074736913637e1,-4.331471832236589e-3,5.389591930458320e-1,4.580179949696202e-1,3.022811984547846e-3,4.980096761471695e-1
4.285212686704019e-2,2.233606458094271e1,-3.150000000000000e0,7.292024330685161e-3,1.270816562081396e4,9.123670129513678e1,1.340114908344296e4,1.346032549389949e4,1.346032549389949e4,-5.917641045652999e1,-4.396358058603389e-3,5.390079338157531e-1,4.579994528375996e-1,2.992613346647304e-3,4.979417988631007e-1
4.328279790196590e-2,2.210386685872218e1,-3.140000000000000e0,7.402454356897640e-3,1.233258256726802e4,8.988024441820890e1,1.300595317871378e4,1.306424856719961e4,1.306424856719961e4,-5.829538848583434e1,-4.462207541901519e-3,5.390570008424617e-1,4.579802867979108e-1,2.962712359627535e-3,4.978732798578029e-1
4.371779725275094e-2,2.187397954244081e1,-3.130000000000000e0,7.514550935066093e-3,1.196809967043254e4,8.854401555122389e1,1.262242415661907e4,1.267985163984245e4,1.267985163984245e4,-5.742748322337684e1,-4.529034317951264e-3,5.391064029162389e-1,4.579604909911514e-1,2.933106092609766e-3,4.978041059465528e-1
4.415716841969286e-2,2.164637964317540e1,-3.120000000000000e0,7.628339137203274e-3,1.161438887109275e4,8.722771271988766e1,1.225021740103642e4,1.230678990042321e4,1.230678990042321e4,-5.657249938679342e1,-4.596852619126013e-3,5.391561489167400e-1,4.579400594400884e-1,2.903791643171597e-3,4.977342637886872e-1
4.460095534027454e-2,2.142104440074634e1,-3.110000000000000e0,7.743844410543825e-3,1.127113180565129e4,8.593103846583499e1,1.188899847792745e4,1.194472872252855e4,1.194472872252855e4,-5.573024460110355e1,-4.665676876863034e-3,5.392062478146620e-1,4.579189860482609e-1,2.874766137077183e-3,4.976637398851056e-1
4.504920239355780e-2,2.119795128144164e1,-3.100000000000000e0,7.861092583115237e-3,1.093801951969035e4,8.465369977912964e1,1.153844283457109e4,1.159334336392679e4,1.159334336392679e4,-5.490052935570202e1,-4.735521724175573e-3,5.392567086758741e-1,4.578972645961310e-1,2.846026727994885e-3,4.975925205757343e-1
