x4,phi,phidot,KE,PE,rho,P,w,w_avg,rho_drift
4.870000000000000e1,-8.848917557965487e-1,4.398060129623427e-1,9.671466451891617e-2,1.532853340043429e-1,2.499999985232590e-1,-5.657066948542672e-2,-2.262826792783505e-1,3.226885786055348e-1,-5.906963806978638e-9
4.875000000000000e1,-8.620569932294266e-1,4.731488011933309e-1,1.119348940353431e-1,1.380651044918415e-1,2.499999985271846e-1,-2.613021045649838e-2,-1.045208424417532e-1,3.221879731291599e-1,-5.891261700696759e-9
4.880000000000000e1,-8.376207943622490e-1,5.038578040124029e-1,1.269363433321005e-1,1.230636551964034e-1,2.499999985285039e-1,3.872688135697133e-3,1.549075263396686e-2,3.218122528237982e-1,-5.885984588616111e-9
4.885000000000000e1,-8.117153708245045e-1,5.319185608574367e-1,1.414686776923233e-1,1.085313208354508e-1,2.499999985277741e-1,3.293735685687252e-2,1.317494282033498e-1,3.215582178571603e-1,-5.888903698014758e-9
4.890000000000000e1,-7.844727194440612e-1,5.573535572883380e-1,1.553214939109824e-1,9.467850461336705e-2,2.499999985243494e-1,6.064298929761530e-2,2.425719586222670e-1,3.214207970755199e-1,-5.902602406848700e-9
4.895000000000000e1,-7.560228650670497e-1,5.802185255250579e-1,1.683267686812361e-1,8.167322983819203e-2,2.499999985194282e-1,8.665353884304411e-2,3.466141574249251e-1,3.213933938691339e-1,-5.922287327209119e-9
4.900000000000000e1,-7.264923008150763e-1,6.005982799321576e-1,1.803591469287332e-1,6.964085158355850e-2,2.499999985122917e-1,1.107182953451747e-1,4.428731840161632e-1,3.214682410904108e-1,-5.950833159573676e-9
4.905000000000000e1,-6.960026441104668e-1,6.186022821876526e-1,1.913343917638861e-1,5.866560674027352e-2,2.499999985041596e-1,1.326687850236125e-1,5.306751432696715e-1,3.216367486567233e-1,-5.983361694994471e-9
4.910000000000000e1,-6.646695174619434e-1,6.343601131790062e-1,2.012063765962408e-1,4.879362190025383e-2,2.499999984964946e-1,1.524127546959869e-1,6.096510224504023e-1,3.218898304634477e-1,-6.014021614042520e-9
4.915000000000000e1,-6.326016547424302e-1,6.480170047592853e-1,2.099630192285978e-1,4.003697925928396e-2,2.499999984878817e-1,1.699260399693138e-1,6.797041639884276e-1,3.222182005171160e-1,-6.048473166764268e-9
4.920000000000000e1,-5.999002267116290e-1,6.597295569288955e-1,2.176215441427984e-1,3.237845434465886e-2,2.499999984874572e-1,1.852430897981395e-1,7.409723636755676e-1,3.226126314757694e-1,-6.050171141858129e-9
4.925000000000000e1,-5.666583739600048e-1,6.696617370075011e-1,2.242234210059518e-1,2.577657748740132e-2,2.499999984933531e-1,1.984468435185505e-1,7.937873788580311e-1,3.230641718207348e-1,-6.026587673346739e-9
4.930000000000000e1,-5.329609313761121e-1,6.779812292739981e-1,2.298292736239408e-1,2.017072488161676e-2,2.499999985055575e-1,2.096585487423240e-1,8.386341999824584e-1,3.235643205201258e-1,-5.977769945708644e-9
4.935000000000000e1,-4.988843254292108e-1,6.848561772625115e-1,2.345139917673103e-1,1.548600675833749e-2,2.499999985256478e-1,2.190279850089728e-1,8.761119452026814e-1,3.241051601878791e-1,-5.897408894561806e-9
4.940000000000000e1,-4.644966240820687e-1,6.904523379880488e-1,2.383622155165814e-1,1.163778303706149e-2,2.499999985536429e-1,2.267244324795199e-1,9.068977351648715e-1,3.246794513619640e-1,-5.785428358606737e-9
4.945000000000000e1,-4.298577186583543e-1,6.949306480977762e-1,2.414643028327976e-1,8.535695750799236e-3,2.499999985835968e-1,2.329286070819984e-1,9.317144336067266e-1,3.252806916380246e-1,-5.665612645699980e-9
4.950000000000000e1,-3.950196173935279e-1,6.984451866126234e-1,2.439128393511712e-1,6.087159263831420e-3,2.499999986150026e-1,2.378256800873398e-1,9.513027256195663e-1,3.259031440501206e-1,-5.539989578196014e-9
4.955000000000000e1,-3.600268314823129e-1,7.011415073336195e-1,2.457997066530300e-1,4.200291989599834e-3,2.499999986426298e-1,2.415994146634301e-1,9.663976639007580e-1,3.265418393586070e-1,-5.429480753882387e-9
4.960000000000000e1,-3.249168359715835e-1,7.031553061425294e-1,2.472136922781971e-1,2.786306386694342e-3,2.499999986648915e-1,2.444273858915028e-1,9.777095487874047e-1,3.271925568656489e-1,-5.340434094947000e-9
4.965000000000000e1,-2.897205897356370e-1,7.046113834988087e-1,2.482386008780526e-1,1.761397805280624e-3,2.499999986833333e-1,2.464772030727720e-1,9.859088174835415e-1,3.278517881106335e-1,-5.266666991410318e-9
4.970000000000000e1,-2.544631008223128e-1,7.056228603004523e-1,2.489518104892958e-1,1.048188206433439e-3,2.499999986957292e-1,2.479036222828624e-1,9.916144943047847e-1,3.285166873739973e-1,-5.217083098862929e-9
4.975000000000000e1,-2.191640255376671e-1,7.062906052780416e-1,2.494232095520111e-1,5.767891522677064e-4,2.499999987042788e-1,2.488464203997434e-1,9.953856867579430e-1,3.291850124022961e-1,-5.182884676990795e-9
4.980000000000000e1,-1.838382917232977e-1,7.067028336727176e-1,2.497144475605244e-1,2.855511488451563e-4,2.499999987093695e-1,2.494288964116792e-1,9.977155907974454e-1,3.298550582119099e-1,-5.162521965473843e-9
4.985000000000000e1,-1.484967385991796e-1,7.069348399365898e-1,2.498784339580859e-1,1.215647525653690e-4,2.499999987106513e-1,2.497568692055205e-1,9.990274819744615e-1,3.305255862742711e-1,-5.157394955546124e-9
4.990000000000000e1,-1.131467673234578e-1,7.070488309681260e-1,2.499590246866968e-1,4.097402331686346e-5,2.499999987100137e-1,2.499180506633799e-1,9.996722078117736e-1,3.311957508620655e-1,-5.159945359878293e-9
