a,z,N,t,phi,phidot,H,KE,PE,rho_phi,P_phi,w_phi,w_cpl,Omega_phi_test,Omega_DE_cpl
5.502322005640721e-2,1.717414536944307e1,-2.900000000000000e0,1.559642406022784e-2,8.151379434467994e-4,1.042873627301615e-1,4.254535665377121e1,5.437927012606134e-3,9.983710522909766e0,9.989148449922371e0,-9.978272595897160e0,-9.989112331166431e-1,-1.427986067966156e0,1.839513058736263e-3,3.839135738779773e-5
5.557621261148309e-2,1.699330960155031e1,-2.890000000000000e0,1.583324190456058e-2,8.400217073904956e-4,1.058636801085476e-1,4.191091834018540e1,5.603559383062449e-3,9.983213670681554e0,9.988817230064617e0,-9.977610111298491e0,-9.988780334540115e-1,-1.427654272433110e0,1.895564025031765e-3,4.007351636441875e-5
5.613476283413373e-2,1.681427317961220e1,-2.880000000000000e0,1.607364461087142e-2,8.656639508153421e-4,1.074636896169634e-1,4.128595260864655e1,5.774222293045519e-3,9.982701699819534e0,9.988475922112579e0,-9.976927477526489e0,-9.988438231541887e-1,-1.427319142299520e0,1.953319802502713e-3,4.182893858277843e-5
5.669892657984690e-2,1.663701819983732e1,-2.870000000000000e0,1.631768637630405e-2,8.920877536398811e-4,1.090877425431981e-1,4.067031781589319e1,5.950067786585540e-3,9.982174151876738e0,9.988124219663323e0,-9.976224084090152e0,-9.988085715284013e-1,-1.426980644052092e0,2.012832090798962e-3,4.366079108591499e-5
5.726876026546733e-2,1.646152693658000e1,-2.860000000000000e0,1.656542221554290e-2,9.193168929668753e-4,1.107361951655409e-1,4.006387444400776e1,6.131252459870383e-3,9.981630554657020e0,9.987761807116890e0,-9.975499302197150e0,-9.987722469601746e-1,-1.426638743840720e0,2.074154148643212e-3,4.557237653277670e-5
5.784432087483848e-2,1.628778184056763e1,-2.850000000000000e0,1.681690797498202e-2,9.473758701655501e-4,1.124094088172867e-1,3.946648506840346e1,6.317937595325945e-3,9.981070421685647e0,9.987388359280972e0,-9.974752484090322e0,-9.987348168774365e-1,-1.426293407475097e0,2.137340840286484e-3,4.756713893503434e-5
5.842566596450083e-2,1.611576553714588e1,-2.840000000000000e0,1.707220034360492e-2,9.762899273191574e-4,1.141077499447071e-1,3.887801432629819e1,6.510289298721905e-3,9.980493251892876e0,9.987003541191598e0,-9.973982962594153e0,-9.986962477239804e-1,-1.425944600421299e0,2.202448683360463e-3,4.964866963269665e-5
5.901285366944784e-2,1.594546082454102e1,-2.830000000000000e0,1.733135686702892e-2,1.006085074077175e-3,1.158315901707153e-1,3.829832888566706e1,6.708478640738278e-3,9.979898529090590e0,9.986607007731328e0,-9.973190050449853e0,-9.986565049299438e-1,-1.425592287798331e0,2.269535898079018e-3,5.182071351825694e-5
5.960594270893934e-2,1.577685067213988e1,-2.820000000000000e0,1.759443595942226e-2,1.036788107539682e-3,1.175813063547159e-1,3.772729741466727e1,6.912681802040771e-3,9.979285721588848e0,9.986198403390889e0,-9.972373039786808e0,-9.986155528815264e-1,-1.425236434374636e0,2.338662457898885e-3,5.408717551947560e-5
6.020499239237357e-2,1.560991821878669e1,-2.810000000000000e0,1.786149691707877e-2,1.068426637642721e-3,1.193572806551813e-1,3.716479055152734e1,7.123080222699854e-3,9.978654281703470e0,9.985777361926170e0,-9.971531201480770e0,-9.985733548897539e-1,-1.424877004564576e0,2.409890141625995e-3,5.645212735130829e-5
6.081006262521797e-2,1.544464677109705e1,-2.800000000000000e0,1.813259993133986e-2,1.101029110488920e-3,1.211599005907725e-1,3.661068087489402e1,7.339860755582937e-3,9.978003645305535e0,9.985343506061117e0,-9.970663784549952e0,-9.985298731583692e-1,-1.424513962424869e0,2.483282587040053e-3,5.891981454789784e-5
6.142121391500013e-2,1.528101980178843e1,-2.790000000000000e0,1.840780610262647e-2,1.134624835490853e-3,1.229895591029925e-1,3.606484287462918e1,7.563215824174244e-3,9.977333231295759e0,9.984896447119933e0,-9.969770015471585e0,-9.984850687507419e-1,-1.424147271651000e0,2.558905346051178e-3,6.149466378598130e-5
6.203850737735829e-2,1.511902094802755e1,-2.780000000000000e0,1.868717745388481e-2,1.169244010583728e-3,1.248466546178039e-1,3.552715292305080e1,7.793343584628609e-3,9.976642441118434e0,9.984435784703063e0,-9.968849097533806e0,-9.984389015558458e-1,-1.423776895573585e0,2.636825941457214e-3,6.418129051150137e-5
6.266200474215318e-2,1.495863400979402e1,-2.770000000000000e0,1.897077694431661e-2,1.204917748455643e-3,1.267315911072732e-1,3.499748924661037e1,8.030448092290539e-3,9.975930658256118e0,9.983961106348408e0,-9.967900210163828e0,-9.983913302532431e-1,-1.423402797154708e0,2.717113925331400e-3,6.698450688167985e-5
6.329176835964073e-2,1.479984294826039e1,-2.760000000000000e0,1.925866848340741e-2,1.241678103872832e-3,1.286447781515771e-1,3.447573189800064e1,8.274739472834247e-3,9.975197247703653e0,9.983471987176488e0,-9.966922508230818e0,-9.983423122770387e-1,-1.423024938984216e0,2.799840939083326e-3,6.990933003528266e-5
6.392786120670757e-2,1.464263188418817e1,-2.750000000000000e0,1.955091694520284e-2,1.279558102002727e-3,1.305866310007226e-1,3.396176272868640e1,8.526434098059438e-3,9.974441555423459e0,9.982967989521518e0,-9.965915121325400e0,-9.982918037787943e-1,-1.422643283275975e0,2.885080775238171e-3,7.296099070430838e-5
6.457034689316847e-2,1.448698509633994e1,-2.740000000000000e0,1.984758818298882e-2,1.318591768249981e-3,1.325575706364576e-1,3.345546536185275e1,8.785754766519719e-3,9.973662907771972e0,9.982448662538491e0,-9.964877153005453e0,-9.982397595893501e-1,-1.422257791864099e0,2.972909440976402e-3,7.614494218083776e-5
6.521928966812750e-2,1.433288701990720e1,-2.730000000000000e0,2.014874904396972e-2,1.358814158196693e-3,1.345580238337413e-1,3.295672516576370e1,9.052930889020849e-3,9.972860610925355e0,9.981913541814377e0,-9.963807680036334e0,-9.981861331795555e-1,-1.421868426199123e0,3.063405223488328e-3,7.946686965332273e-5
6.587475442640298e-2,1.418032224495389e1,-2.720000000000000e0,2.045446738409315e-2,1.400261388093763e-3,1.365884232222488e-1,3.246542922752518e1,9.328198679170081e-3,9.972033950295677e0,9.981362148974847e0,-9.962705751616506e0,-9.981308766198551e-1,-1.421475147344158e0,3.156648757189104e-3,8.293269992714102e-5
6.653680671501686e-2,1.402927551487540e1,-2.710000000000000e0,2.076481208337666e-2,1.442970667432064e-3,1.386492073472838e-1,3.198146632724639e1,9.611801349015046e-3,9.971182189907159e0,9.980793991256174e0,-9.961570388558144e0,-9.980739405387115e-1,-1.421077915970990e0,3.252723092833106e-3,8.654861154481477e-5
6.720551273974976e-2,1.387973172487284e1,-2.700000000000000e0,2.107985306117428e-2,1.486980331335484e-3,1.407408207304561e-1,3.150472691259278e1,9.903989309941194e-3,9.970304571777609e0,9.980208561087551e0,-9.960400582467667e0,-9.980152740798309e-1,-1.420676692356150e0,3.351713768590797e-3,9.032104532188996e-5
6.788093937176141e-2,1.373167592044257e1,-2.690000000000000e0,2.139966129180751e-2,1.532329874444799e-3,1.428637139299974e-1,3.103510307372555e1,1.020502037893607e-2,9.969400315271868e0,9.979605335650804e0,-9.959195294892931e0,-9.979548248581573e-1,-1.420271436376943e0,3.453708883128301e-3,9.425671531507891e-5
6.856315415427794e-2,1.358509329588079e1,-2.680000000000000e0,2.172430882024564e-2,1.579059985043216e-3,1.450183436008663e-1,3.057248851862113e1,1.051515999036946e-2,9.968468616452268e0,9.978983776442638e0,-9.957953456461899e0,-9.978925389145952e-1,-1.419862107507433e0,3.558799170749301e-3,9.836262023991316e-5
6.925222530934599e-2,1.343996919280288e1,-2.670000000000000e0,2.205386877841783e-2,1.627212581879442e-3,1.472051725537535e-1,3.011677854876517e1,1.083468141329017e-2,9.967508647377288e0,9.978343328790578e0,-9.956673965963999e0,-9.978283606694454e-1,-1.419448664814392e0,3.667078078634583e-3,1.026460553558082e-4
6.994822174465536e-2,1.329628909867760e1,-2.660000000000000e0,2.238841540141834e-2,1.676830850623197e-3,1.494246698139119e-1,2.966787003521496e1,1.116386597449829e-2,9.966519555409590e0,9.977683421384089e0,-9.955355689435091e0,-9.977622328745022e-1,-1.419031066953207e0,3.778641846253203e-3,1.071146248371291e-4
7.065121306042957e-2,1.315403864537581e1,-2.650000000000000e0,2.272802404399312e-2,1.727959281555552e-3,1.516773106793473e-1,2.922566139502508e1,1.150300328745961e-2,9.965500462501650e0,9.977003465789110e0,-9.953997459214190e0,-9.976940965637822e-1,-1.418609272163742e0,3.893589586988933e-3,1.117762546495471e-4
