x4,phi,phidot,KE,PE,rho,P,w,w_avg,rho_drift
7.355000000000000e1,-2.738822861108569e-1,9.617632210875177e-1,4.624942467183187e-1,3.750575332265464e-2,5.000000000409733e-1,4.249884933956640e-1,8.499769867216752e-1,-3.578387006676565e-3,8.194667167060743e-11
7.359999999999999e1,-2.254718777430506e-1,9.742496766336765e-1,4.745812162104115e-1,2.541878382648858e-2,5.000000000369001e-1,4.491624323839229e-1,8.983248647015493e-1,-2.982103506188631e-3,7.380029920511788e-11
7.365000000000001e1,-1.764979071065979e-1,9.843010153699925e-1,4.844242444291991e-1,1.557575560650463e-2,5.000000000357037e-1,4.688484888226944e-1,9.376969775784304e-1,-2.356853659178185e-3,7.140732449784082e-11
7.370000000000000e1,-1.270827836191715e-1,9.918921141791067e-1,4.919249830853490e-1,8.075016946198579e-3,5.000000000315477e-1,4.838499661391505e-1,9.676999322172437e-1,-1.708919257172105e-3,6.309530675707720e-11
7.375000000000000e1,-7.735001935748320e-2,9.970039992720405e-1,4.970084872822215e-1,2.991512747301513e-3,5.000000000295231e-1,4.940169745349200e-1,9.880339490115004e-1,-1.044800030140588e-3,5.904610134166433e-11
7.380000000000000e1,-2.742392033060063e-2,9.996238935956717e-1,4.996239643236854e-1,3.760357031495653e-4,5.000000000268350e-1,4.992479286205358e-1,9.984958571874823e-1,-3.711484697546965e-4,5.366995736721947e-11
7.384999999999999e1,2.257072421554806e-2,9.997452487777844e-1,4.997452812268770e-1,2.547187958071637e-4,5.000000000226842e-1,4.994905624310698e-1,9.989811248168174e-1,3.052967837807455e-4,4.536837572288732e-11
7.390000000000001e1,7.250895370414370e-2,9.973677614981199e-1,4.973712258378853e-1,2.628774183634827e-3,5.000000000215201e-1,4.947424516542505e-1,9.894849032659132e-1,9.777783245505768e-4,4.304023804024837e-11
7.395000000000000e1,1.222659485711855e-1,9.924973742306956e-1,4.925255189274128e-1,7.474481090005894e-3,5.000000000174186e-1,4.850510378374069e-1,9.701020756410181e-1,1.639587459864207e-3,3.483724420050294e-11
7.400000000000000e1,1.717173422408773e-1,9.851462604122877e-1,4.852565772021575e-1,1.474342281313530e-2,5.000000000152928e-1,4.705131543890222e-1,9.410263087492626e-1,2.284131111712330e-3,3.058553410539844e-11
7.405000000000000e1,2.207395319833003e-1,9.753327939965840e-1,4.756370295225915e-1,2.436297049010322e-2,5.000000000126947e-1,4.512740590324883e-1,9.025481180420614e-1,2.904997473821646e-3,2.538946830554778e-11
7.409999999999999e1,2.692099878548498e-1,9.630815035375483e-1,4.637629912280723e-1,3.623700878040419e-2,5.000000000084764e-1,4.275259824476681e-1,8.550519648808406e-1,3.496019770709352e-3,1.695288354142122e-11
7.415000000000001e1,3.170075589577598e-1,9.484230108861291e-1,4.497531037891553e-1,5.024689621817879e-2,5.000000000073340e-1,3.995062075709765e-1,7.990124151302330e-1,4.051337484960879e-3,1.466804455674264e-11
7.420000000000000e1,3.640127762575898e-1,9.313939546334964e-1,4.337473493639117e-1,6.625265063937907e-2,5.000000000032908e-1,3.674946987245327e-1,7.349893974442279e-1,4.565454445070195e-3,6.581624134582853e-12
7.425000000000000e1,4.101081511906901e-1,9.120368985567826e-1,4.159056521645375e-1,8.409434783652296e-2,5.000000000010605e-1,3.318113043280145e-1,6.636226086546215e-1,5.033293198339095e-3,2.120970066243899e-12
7.430000000000000e1,4.551784693255599e-1,8.904002252131034e-1,3.964062805297726e-1,1.035937194687799e-1,4.999999999985525e-1,2.928125610609927e-1,5.856251221236809e-1,5.450245131172726e-3,-2.895017559012558e-12
7.434999999999999e1,4.991110783391650e-1,8.665380150158849e-1,3.754440657338350e-1,1.245559342604421e-1,4.999999999942770e-1,2.508881314733930e-1,5.017762629525292e-1,5.812215842273534e-3,-1.144595529467551e-11
7.440000000000001e1,5.417961695889562e-1,8.405099110688854e-1,3.532284553025128e-1,1.467715446906325e-1,4.999999999931453e-1,2.064569106118804e-1,4.129138212294216e-1,6.115665322279452e-3,-1.370936697497882e-11
7.445000000000000e1,5.831270525759563e-1,8.123809700703271e-1,3.299814202662028e-1,1.700185797229611e-1,4.999999999891639e-1,1.599628405432418e-1,3.199256810934170e-1,6.357642545811432e-3,-2.167221957449783e-11
7.450000000000000e1,6.230004216183878e-1,7.822214997281545e-1,3.059352373184816e-1,1.940647626683445e-1,4.999999999868261e-1,1.118704746501371e-1,2.237409493061694e-1,6.535814138196644e-3,-2.634781282040422e-11
7.455000000000000e1,6.613166140586852e-1,7.501068830098628e-1,2.813301679693860e-1,2.186698320150220e-1,4.999999999844080e-1,6.266033595436402e-2,1.253206719126360e-1,6.648486838713879e-3,-3.118394431567140e-11
