a,z,N,t,s,H,K_Psi,U_Psi,rho_Psi,P_Psi,w_Psi,Omega_Psi,Omega_m,Omega_r,q_dec
6.117518384526950e-1,6.346497666918367e-1,-4.914285714285714e-1,3.856858718592026e-1,4.367914719368714e0,1.314636138677291e0,-2.663608888057629e0,1.251882001249541e0,1.251882001249541e0,-3.915490889307170e0,-3.127683667788978e0,2.414521113920990e-1,7.582008586080449e-1,3.470299998561735e-4,-6.326052230314213e-1
6.121889601478958e-1,6.334825766188510e-1,-4.907142857142857e-1,3.862292766751920e-1,4.358564923324776e0,1.314290291333236e0,-2.649242122896386e0,1.257574329485074e0,1.257574329485074e0,-3.906816452381460e0,-3.106628658666358e0,2.426776660022820e-1,7.569761119565747e-1,3.462220411433687e-4,-6.306909770108557e-1
6.126263941844161e-1,6.323162199553789e-1,-4.900000000000000e-1,3.867728248558595e-1,4.349235141104209e0,1.313942743790811e0,-2.634943167557202e0,1.263235944504686e0,1.263235944504686e0,-3.898179112061888e0,-3.085867789797859e0,2.438991789114019e-1,7.557554041833191e-1,3.454169052788622e-4,-6.287882217886216e-1
6.130641407854365e-1,6.311506961063400e-1,-4.892857142857143e-1,3.873165171787645e-1,4.339925329853250e0,1.313593508199163e0,-2.620711718393914e0,1.268866991297375e0,1.268866991297375e0,-3.889578709691289e0,-3.065395140994504e0,2.451166756523628e-1,7.545387097719659e-1,3.446145756714421e-4,-6.268968924943820e-1
6.135022001742971e-1,6.299860044770795e-1,-4.885714285714285e-1,3.878603544165670e-1,4.330635446826916e0,1.313242596640603e0,-2.606547473114222e0,1.274467614192554e0,1.274467614192554e0,-3.881015087306776e0,-3.045204949963059e0,2.463301815533706e-1,7.533260034107663e-1,3.438150358630964e-4,-6.250169247695034e-1
6.139405725744977e-1,6.288221444733666e-1,-4.878571428571429e-1,3.884043373377331e-1,4.321365449377711e0,1.312890021131874e0,-2.592450130756760e0,1.280037956869717e0,1.280037956869717e0,-3.872488087626478e0,-3.025291607052416e0,2.475397217409165e-1,7.521172599895563e-1,3.430182695272542e-4,-6.231482547575637e-1
6.143792582096976e-1,6.276591155013955e-1,-4.871428571428572e-1,3.889484667064700e-1,4.312115294956923e0,1.312535793624449e0,-2.578419391687525e0,1.285578162360431e0,1.285578162360431e0,-3.863997554047955e0,-3.005649650234668e0,2.487453211416137e-1,7.509124545979187e-1,3.422242604675525e-4,-6.212908190999685e-1
6.148182573037161e-1,6.264969169677841e-1,-4.864285714285714e-1,3.894927432859954e-1,4.302884941062431e0,1.312179926008874e0,-2.564454957515473e0,1.291088373082210e0,1.291088373082210e0,-3.855543330597683e0,-2.986273760171320e0,2.499470044886475e-1,7.497115625187381e-1,3.414329926145118e-4,-6.194445549104990e-1
6.152575700805322e-1,6.253355482795737e-1,-4.857142857142857e-1,3.900371678327257e-1,4.293674345332079e0,1.311822430108049e0,-2.550556531228736e0,1.296568730785303e0,1.296568730785303e0,-3.847125262014039e0,-2.967158755775269e0,2.511447963155384e-1,7.485145592344336e-1,3.406444500279917e-4,-6.176093998075558e-1
6.156971967642851e-1,6.241750088442293e-1,-4.850000000000000e-1,3.905817411006084e-1,4.284483465474254e0,1.311463317682892e0,-2.536723817083970e0,1.302019376596949e0,1.302019376596949e0,-3.838743193680919e0,-2.948299589606825e0,2.523387209640644e-1,7.473214204190424e-1,3.398586168932024e-4,-6.157852918819469e-1
6.161371375792742e-1,6.230152980696391e-1,-4.842857142857143e-1,3.911264638404622e-1,4.275312259278556e0,1.311102600431883e0,-2.522956520617409e0,1.307440451017546e0,1.307440451017546e0,-3.830396971634955e0,-2.929691343612522e0,2.535288025851608e-1,7.461321219373193e-1,3.390754775199205e-4,-6.139721696965302e-1
6.165773927499593e-1,6.218564153641133e-1,-4.835714285714286e-1,3.916713367991763e-1,4.266160684629259e0,1.310740289990423e0,-2.509254348659879e0,1.312832093915295e0,1.312832093915295e0,-3.822086442575173e0,-2.911329225031711e0,2.547150651395872e-1,7.449466398440708e-1,3.382950163418130e-4,-6.121699722869336e-1
6.170179625009600e-1,6.206983601363860e-1,-4.828571428571429e-1,3.922163607195818e-1,4.257028699506842e0,1.310376397931097e0,-2.495617009333709e0,1.318194444527988e0,1.318194444527988e0,-3.813811453861697e0,-2.893208562434297e0,2.558975323996141e-1,7.437649503824706e-1,3.375172179153014e-4,-6.103786391575998e-1
6.174588470570570e-1,6.195411317956123e-1,-4.821428571428572e-1,3.927615363413895e-1,4.247916261973634e0,1.310010935765107e0,-2.482044212026012e0,1.323527641474079e0,1.323527641474079e0,-3.805571853500090e0,-2.875324801876926e0,2.570762279520293e-1,7.425870299810529e-1,3.367420669178319e-4,-6.085981102716951e-1
6.179000466431915e-1,6.183847297513694e-1,-4.814285714285714e-1,3.933068644007657e-1,4.238823330180622e0,1.309643914942130e0,-2.468535667393691e0,1.328831822751263e0,1.328831822751263e0,-3.797367490144954e0,-2.857673503244935e0,2.582511751993181e-1,7.414128552525351e-1,3.359695481469782e-4,-6.068283260493614e-1
6.183415614844653e-1,6.172291534136563e-1,-4.807142857142857e-1,3.938523456295889e-1,4.229749862379361e0,1.309275346849789e0,-2.455091087375887e0,1.334107125732158e0,1.334107125732158e0,-3.789198213108045e0,-2.840250336740038e0,2.594223973604103e-1,7.402424029930699e-1,3.351996465197445e-4,-6.050692273679601e-1
6.187833918061408e-1,6.160744021928934e-1,-4.800000000000000e-1,3.943979807566430e-1,4.220695816903233e0,1.308905242815410e0,-2.441710185160900e0,1.339353687177848e0,1.339353687177848e0,-3.781063872338748e0,-2.823051079439537e0,2.605899174739854e-1,7.390756501789439e-1,3.344323470707131e-4,-6.033207555504558e-1
6.192255378336420e-1,6.149204754999220e-1,-4.792857142857143e-1,3.949437705069860e-1,4.211661152177576e0,1.308533614105625e0,-2.428392675196082e0,1.344571643234558e0,1.344571643234558e0,-3.772964318430641e0,-2.806071612037153e0,2.617537583993234e-1,7.379125739657253e-1,3.336676349513081e-4,-6.015828523650835e-1
6.196679997925535e-1,6.137673727460033e-1,-4.785714285714286e-1,3.954897156021178e-1,4.202645826717184e0,1.308160471926905e0,-2.415138273178971e0,1.349761129437686e0,1.349761129437686e0,-3.764899402616657e0,-2.789307915679216e0,2.629139428182017e-1,7.367531516863698e-1,3.329054954285901e-4,-5.998554600201502e-1
6.201107779086212e-1,6.126150933428200e-1,-4.778571428571429e-1,3.960358167598156e-1,4.193649799129108e0,1.307785827425707e0,-2.401946696056248e0,1.354922280712768e0,1.354922280712768e0,-3.756868976769016e0,-2.772756068925728e0,2.640704932363313e-1,7.355973608497844e-1,3.321459138842620e-4,-5.981385211609298e-1
6.205538724077523e-1,6.114636367024748e-1,-4.771428571428571e-1,3.965820746956237e-1,4.184673028091068e0,1.307409691690402e0,-2.388817661987045e0,1.360055231390389e0,1.360055231390389e0,-3.748872893377433e0,-2.756412244776963e0,2.652234319867753e-1,7.344451791374119e-1,3.313888758127848e-4,-5.964319788572701e-1
6.209972835160155e-1,6.103130022374890e-1,-4.764285714285714e-1,3.971284901201859e-1,4.175715472389284e0,1.307032075748845e0,-2.375750890393314e0,1.365160115187023e0,1.365160115187023e0,-3.740911005580337e0,-2.740272707914443e0,2.663727812284636e-1,7.332965844047148e-1,3.306343668217108e-4,-5.947357766140241e-1
6.214410114596407e-1,6.091631893608049e-1,-4.757142857142857e-1,3.976750637407708e-1,4.166777090896979e0,1.306652990570300e0,-2.362746101923149e0,1.370237065219951e0,1.370237065219951e0,-3.732983167143100e0,-2.724333811933398e0,2.675185629495800e-1,7.321515546777904e-1,3.298823726298198e-4,-5.930498583587458e-1
6.218850564650201e-1,6.080141974857827e-1,-4.750000000000000e-1,3.982217962610740e-1,4.157857842577137e0,1.306272447065576e0,-2.349803018449771e0,1.375286214008202e0,1.375286214008202e0,-3.725089232457973e0,-2.708591996717097e0,2.686607989689286e-1,7.310100681520052e-1,3.291328790661728e-4,-5.913741684387585e-1
6.223294187587070e-1,6.068660260262027e-1,-4.742857142857143e-1,3.987686883816310e-1,4.148957686477299e0,1.305890456087739e0,-2.336921363058959e0,1.380307693478015e0,1.380307693478015e0,-3.717229056536973e0,-2.693043785889889e0,2.697995109379265e-1,7.298721031900045e-1,3.283858720688865e-4,-5.897086516152370e-1
6.227740985674171e-1,6.057186743962621e-1,-4.735714285714286e-1,3.993157408009391e-1,4.140076581715239e0,1.305507028433469e0,-2.324100860023457e0,1.385301634973341e0,1.385301634973341e0,-3.709402494996797e0,-2.677685784344131e0,2.709347203432999e-1,7.287376383190166e-1,3.276413376835967e-4,-5.880532530539182e-1
6.232190961180276e-1,6.045721420105783e-1,-4.728571428571429e-1,3.998629542121547e-1,4.131214487521152e0,1.305122174840359e0,-2.311341234859005e0,1.390268169234566e0,1.390268169234566e0,-3.701609404093571e0,-2.662514675950288e0,2.720664485052267e-1,7.276066522327094e-1,3.268992620639717e-4,-5.864079183372271e-1
6.236644116375782e-1,6.034264282841852e-1,-4.721428571428571e-1,4.004103293058013e-1,4.122371363203308e0,1.304735905989711e0,-2.298642214269649e0,1.395207426420372e0,1.395207426420372e0,-3.693849640690021e0,-2.647527221215547e0,2.731947165816259e-1,7.264791237869047e-1,3.261596314694651e-4,-5.847725934474463e-1
6.241100453532709e-1,6.022815326325355e-1,-4.714285714285714e-1,4.009578667699020e-1,4.113547168148013e0,1.304348232506864e0,-2.286003526142936e0,1.400119536110136e0,1.400119536110136e0,-3.686123062253072e0,-2.632720255081931e0,2.743195455696456e-1,7.253550319980900e-1,3.254224322643341e-4,-5.831472247629831e-1
6.245559974924695e-1,6.011374544714982e-1,-4.707142857142857e-1,4.015055672881580e-1,4.104741861839131e0,1.303959164960118e0,-2.273424899573016e0,1.405004627295491e0,1.405004627295491e0,-3.678429526868507e0,-2.618090684832232e0,2.754409563055973e-1,7.242343560434853e-1,3.246876509173559e-4,-5.815317590619906e-1
6.250022682827008e-1,5.999941932173602e-1,-4.700000000000000e-1,4.020534315412633e-1,4.095955403844039e0,1.303568713862059e0,-2.260906064835575e0,1.409862828390621e0,1.409862828390621e0,-3.670768893226196e0,-2.603635488011577e0,2.765589694675424e-1,7.231170752584573e-1,3.239552740003588e-4,-5.799261435134052e-1
6.254488579516539e-1,5.988517482868250e-1,-4.692857142857143e-1,4.026014602070230e-1,4.087187753814136e0,1.303176889669842e0,-2.248446753383749e0,1.414694267234383e0,1.414694267234383e0,-3.663141020618132e0,-2.589351710443618e0,2.776736055766979e-1,7.220031691351149e-1,3.232252881872859e-4,-5.783303256735105e-1
6.258957667271809e-1,5.977101190970122e-1,-4.685714285714286e-1,4.031496539594972e-1,4.078438871490532e0,1.302783702785100e0,-2.236046697851371e0,1.419499071089593e0,1.419499071089593e0,-3.655545768940964e0,-2.575236464321885e0,2.787848849984265e-1,7.208926173213200e-1,3.224976802534490e-4,-5.767442534844700e-1
6.263429948372963e-1,5.965693050654581e-1,-4.678571428571429e-1,4.036980134695843e-1,4.069708716700174e0,1.302389163554536e0,-2.223705632042621e0,1.424277366647582e0,1.424277366647582e0,-3.647982998690203e0,-2.561286926349681e0,2.798928279439605e-1,7.197853996189649e-1,3.217724370744560e-4,-5.751678752693228e-1
6.267905425101777e-1,5.954293056101148e-1,-4.671428571428571e-1,4.042465394053237e-1,4.060997249353241e0,1.301993282270413e0,-2.211423290923549e0,1.429029280032021e0,1.429029280032021e0,-3.640452570955570e0,-2.547500335944129e0,2.809974544720055e-1,7.186814959823692e-1,3.210495456251972e-4,-5.736011397275063e-1
6.272384099741659e-1,5.942901201493496e-1,-4.664285714285714e-1,4.047952324311220e-1,4.052304429449320e0,1.301596069170432e0,-2.199199410626023e0,1.433754936797926e0,1.433754936797926e0,-3.632954347423949e0,-2.533873993513564e0,2.820987844896492e-1,7.175808865173718e-1,3.203289929791442e-4,-5.720439959336749e-1
6.276865974577646e-1,5.931517481019459e-1,-4.657142857142857e-1,4.053440932081911e-1,4.043630217073913e0,1.301197534438284e0,-2.187033728437997e0,1.438454461935977e0,1.438454461935977e0,-3.625488190373974e0,-2.520405258776512e0,2.831968377540066e-1,7.164835514796861e-1,3.196107663073228e-4,-5.704963933329610e-1
6.281351051896409e-1,5.920141888871009e-1,-4.650000000000000e-1,4.058931223951751e-1,4.034974572391914e0,1.300797688204406e0,-2.174925982789654e0,1.443127979878397e0,1.443127979878397e0,-3.618053962668050e0,-2.507091549131298e0,2.842916338740724e-1,7.153894712730503e-1,3.188948528771985e-4,-5.689582817351855e-1
6.285839333986252e-1,5.908774419244283e-1,-4.642857142857143e-1,4.064423206470973e-1,4.026337455658342e0,1.300396540545535e0,-2.162875913263742e0,1.447775614495498e0,1.447775614495498e0,-3.610651527759240e0,-2.493930338105213e0,2.853831923112418e-1,7.142986264487060e-1,3.181812400521581e-4,-5.674296113154541e-1
6.290330823137117e-1,5.897415066339540e-1,-4.635714285714286e-1,4.069916886156771e-1,4.017718827215093e0,1.299994101485239e0,-2.150883260586275e0,1.452397489099817e0,1.452397489099817e0,-3.603280749686092e0,-2.480919153832587e0,2.864715323808880e-1,7.132109977038215e-1,3.174699152905220e-4,-5.659103326096305e-1
6.294825521640580e-1,5.886063824361194e-1,-4.628571428571429e-1,4.075412269495061e-1,4.009118647489141e0,1.299590380994337e0,-2.138947766619314e0,1.456993726449434e0,1.456993726449434e0,-3.595941493068748e0,-2.468055577584224e0,2.875566732538137e-1,7.121265658800416e-1,3.167608661446180e-4,-5.644003965103865e-1
6.299323431789853e-1,5.874720687517800e-1,-4.621428571428571e-1,4.080909362940698e-1,4.000536876992262e0,1.299185388991214e0,-2.127069174355922e0,1.461564448750450e0,1.461564448750450e0,-3.588633623106372e0,-2.455337242346336e0,2.886386339575689e-1,7.110453119621712e-1,3.160540802599160e-4,-5.628997542638560e-1
6.303824555879789e-1,5.863385650022039e-1,-4.614285714285714e-1,4.086408172932166e-1,3.991973476305342e0,1.298779135343181e0,-2.115247227893886e0,1.466109777667629e0,1.466109777667629e0,-3.581357005561514e0,-2.442761831422298e0,2.897174333789009e-1,7.099672170757254e-1,3.153495453736640e-4,-5.614083574607307e-1
