state,z,sigma,m,n
ground state,2.49329102905e-08,3.37337148757e-08,0.999999999663,0.0908748083148
ground state,2.75272001176e-08,3.90165686358e-08,0.99999999961,0.0954856347624
ground state,3.03914279354e-08,4.5125213918e-08,0.999999999549,0.100330406332
ground state,3.3553681014e-08,5.2188469769e-08,0.999999999478,0.105420992977
ground state,3.70449691268e-08,6.03552042565e-08,0.999999999396,0.110769866911
ground state,4.089952864e-08,6.97974468766e-08,0.999999999302,0.116390133167
ground state,4.51551582415e-08,8.07139826386e-08,0.999999999193,0.122295561698
ground state,4.98535896039e-08,9.33345023095e-08,0.999999999067,0.128500621122
ground state,5.50408966149e-08,1.0792439443e-07,0.999999998921,0.135020514166
ground state,6.07679471878e-08,1.24790278085e-07,0.999999998752,0.141871214914
ground state,6.70909020842e-08,1.44286390527e-07,0.999999998557,0.149069507945
ground state,7.40717656392e-08,1.66821961491e-07,0.999999998332,0.156633029454
ground state,8.177899379e-08,1.92869725395e-07,0.999999998071,0.164580310463
ground state,9.02881653704e-08,2.22975747163e-07,0.99999999777,0.17293082222
ground state,9.96827232539e-08,2.57770763216e-07,0.999999997422,0.181705023907
ground state,1.10054792614e-07,2.97983270472e-07,0.99999999702,0.190924412762
ground state,1.21506084323e-07,3.44454631478e-07,0.999999996555,0.200611576749
ground state,1.34148892355e-07,3.9815650545e-07,0.999999996018,0.210790249898
ground state,1.48107194964e-07,4.60210962066e-07,0.999999995398,0.221485370453
ground state,1.63517870442e-07,5.31913687659e-07,0.999999994681,0.232723141974
ground state,1.80532039382e-07,6.14760759708e-07,0.999999993852,0.244531097528
ground state,1.99316546597e-07,7.10479533987e-07,0.999999992895,0.256938167151
ground state,2.2005559724e-07,8.21064274155e-07,0.999999991789,0.269974748721
ground state,2.42952563165e-07,9.48817248431e-07,0.999999990512,0.283672782437
ground state,2.6823197723e-07,1.09639612885e-06,0.999999989036,0.298065829064
ground state,2.96141735125e-07,1.26686865399e-06,0.999999987331,0.313189152158
ground state,3.2695552629e-07,1.46377566509e-06,0.999999985362,0.32907980446
ground state,3.60975517774e-07,1.69120378899e-06,0.999999983088,0.345776718671
ground state,3.98535317359e-07,1.95386923994e-06,0.999999980461,0.363320802829
ground state,4.40003244991e-07,2.25721443029e-06,0.999999977428,0.381755040535
ground state,4.85785944606e-07,2.6075193388e-06,0.999999973925,0.401124596254
ground state,5.3633237178e-07,3.01202987836e-06,0.99999996988,0.421476925956
ground state,5.92138196285e-07,3.47910584493e-06,0.999999965209,0.442861893382
ground state,6.53750662738e-07,4.01839141572e-06,0.999999959816,0.465331892194
ground state,7.21773957012e-07,4.64101161665e-06,0.99999995359,0.488941974326
ground state,7.96875131016e-07,5.35979868963e-06,0.999999946402,0.513749984852
ground state,8.79790643957e-07,6.18955288301e-06,0.999999938104,0.539816703682
ground state,9.71333584232e-07,7.14734286977e-06,0.999999928527,0.567205994456
ground state,1.07240164275e-06,8.25285177472e-06,0.999999917471,0.595984960983
ground state,1.1839859159e-06,9.52877569317e-06,0.999999904712,0.626224111617
ground state,1.30718062447e-06,1.10012826092e-05,0.999999889987,0.657997531966
ground state,1.44319384382e-06,1.27005408087e-05,0.999999872995,0.691383066366
ground state,1.59335935053e-06,1.46613272371e-05,0.999999853387,0.726462508549
ground state,1.75914970175e-06,1.69237278116e-05,0.999999830763,0.763321801982
ground state,1.9421906754e-06,1.95339434849e-05,0.999999804661,0.802051250366
ground state,2.14427721295e-06,2.25452179148e-05,0.999999774548,0.842745738806
ground state,2.36739102097e-06,2.60189049399e-05,0.999999739811,0.885504966186
ground state,2.61372000427e-06,3.00256967716e-05,0.999999699743,0.930433689333
ground state,2.88567972092e-06,3.46470369016e-05,0.99999965353,0.977641979553
ground state,3.18593706982e-06,3.99767452748e-05,0.999999600233,1.02724549216
ground state,3.51743644289e-06,4.61228873491e-05,0.999999538771,1.07936574967
ground state,3.88342859843e-06,5.32099233193e-05,0.999999467901,1.13413043936
ground state,4.28750253885e-06,6.13811791224e-05,0.999999386188,1.19167372585
ground state,4.73362070519e-06,7.08016869613e-05,0.999999291983,1.25213657955
ground state,5.22615783373e-06,8.16614500696e-05,0.999999183385,1.3156671218
ground state,5.7699438557e-06,9.4179194467e-05,0.999999058208,1.38242098733
ground state,6.3703112606e-06,0.000108606679609,0.999998913933,1.45256170521
ground state,7.03314738788e-06,0.000125233650319,0.999998747663,1.52626109906
ground state,7.76495215949e-06,0.000144393524394,0.999998556065,1.60369970737
ground state,8.57290181962e-06,0.000166469923942,0.999998335301,1.6850672253
