state,z,sigma,m,n
ground state,1.71031866464,1.50130495163,0.984986950484,7.57231236794
ground state,1.74028831563,1.44271440889,0.985572855911,7.2869005865
ground state,1.77025796662,1.38723150738,0.986127684926,7.01630784192
ground state,1.8002276176,1.33465922632,0.986653407737,6.75960338342
ground state,1.83019726859,1.28481450339,0.987151854966,6.51592253838
ground state,1.86016691958,1.23752717338,0.987624728266,6.28446161288
ground state,1.89013657056,1.19263899114,0.988073610089,6.06447321018
ground state,1.92010622155,1.15000273198,0.98849997268,5.85526193127
ground state,1.95007587253,1.10948136313,0.988905186369,5.6561804247
ground state,1.98004552352,1.07094728071,0.989290527193,5.46662575603
ground state,2.01001517451,1.03428160665,0.989657183933,5.28603606981
ground state,2.03998482549,0.999373540911,0.990006264591,5.11388751923
ground state,2.06995447648,0.966119764407,0.990338802356,4.949691441
ground state,2.09992412747,0.934423888575,0.990655761114,4.79299175483
ground state,2.12989377845,0.904195947811,0.990958040522,4.64336256873
ground state,2.15986342944,0.875351931309,0.991246480687,4.50040597302
ground state,2.18983308042,0.847813351151,0.991521866488,4.36375000733
ground state,2.21980273141,0.821506843696,0.991784931563,4.23304678636
ground state,2.2497723824,0.796363801631,0.992036361984,4.10797077125
ground state,2.27974203338,0.772320034204,0.992276799658,3.98821717464
ground state,2.30971168437,0.749315453387,0.992506845466,3.87350048859
ground state,2.33968133536,0.727293783913,0.992727062161,3.76355312513
ground state,2.36965098634,0.706202295275,0.992937977047,3.65812416056
ground state,2.39962063733,0.685991553944,0.993140084461,3.55697817499
ground state,2.42959028832,0.666615194213,0.993333848058,3.4598941794
ground state,2.4595599393,0.648029706184,0.993519702938,3.36666462336
ground state,2.48952959029,0.630194239558,0.993698057604,3.27709447689
ground state,2.51949924127,0.61307042198,0.99386929578,3.19100038053
ground state,2.54946889226,0.596622190807,0.994033778092,3.10820985829
ground state,2.57943854325,0.580815637239,0.994191843628,3.02856058851
ground state,2.60940819423,0.565618861866,0.994343811381,2.95189972807
ground state,2.63937784522,0.551001840736,0.994489981593,2.87808328577
ground state,2.66934749621,0.536936301132,0.994630636989,2.80697554109
ground state,2.69931714719,0.523395606314,0.994766043937,2.73844850482
ground state,2.72928679818,0.510354648536,0.994896453515,2.67238141824
ground state,2.75925644917,0.497789749707,0.995022102503,2.60866028801
ground state,2.78922610015,0.485678569107,0.995143214309,2.54717745402
ground state,2.81919575114,0.474000017636,0.995259999824,2.48783118757
ground state,2.84916540212,0.462734178091,0.995372658219,2.43052531778
ground state,2.87913505311,0.451862231018,0.99548137769,2.37516888391
ground state,2.9091047041,0.441366385729,0.995586336143,2.3216758118
ground state,2.93907435508,0.431229816092,0.995687701839,2.26996461253
ground state,2.96904400607,0.42143660074,0.995785633993,2.21995810169
ground state,2.99901365706,0.411971667373,0.995880283326,2.17158313776
ground state,3.02898330804,0.402820740855,0.995971792591,2.1247703781
ground state,3.05895295903,0.393970294814,0.996060297052,2.0794540514
ground state,3.08892261002,0.385407506512,0.996145924935,2.03557174526
ground state,3.118892261,0.377120214725,0.996228797853,1.99306420789
ground state,3.14886191199,0.369096880426,0.996309031196,1.95187516287
ground state,3.17883156297,0.361326550075,0.996386734499,1.91195113605
ground state,3.20880121396,0.353798821309,0.996462011787,1.87324129372
ground state,3.23877086495,0.346503810886,0.996534961891,1.83569729126
