a,z,N,t,phi,phidot,H,KE,PE,rho_phi,P_phi,w_phi,Omega_phi,Omega_m,Omega_r,q_dec
3.534546819587802e-1,1.829217014351559e0,-1.040000000000000e0,2.512751161004463e-1,3.014833554660360e-1,1.174291114049993e-2,2.738594311518810e0,6.894798102683868e-5,2.101739758715484e0,2.101808706696511e0,-2.101670810734457e0,-9.999343917638108e-1,9.341498073869406e-2,9.058674085255208e-1,7.176107357851484e-4,3.602455274480314e-1
3.570069605691473e-1,1.801065834699080e0,-1.030000000000000e0,2.549515485538663e-1,3.015268366976963e-1,1.191109934346309e-2,2.701646881542700e0,7.093714378492342e-5,2.101733573266677e0,2.101804510410462e0,-2.101662636122892e0,-9.999324988185786e-1,9.598732680994450e-2,9.033042131105440e-1,7.084600795114308e-4,3.563829587117804e-1
3.605949401730785e-1,1.773194763964296e0,-1.020000000000000e0,2.586781867739117e-1,3.015715424831559e-1,1.208142939097795e-2,2.665302127801061e0,7.298046806459289e-5,2.101727212688167e0,2.101800193156232e0,-2.101654232220103e0,-9.999305543235723e-1,9.862278920258061e-2,9.006778393783282e-1,6.993714190911436e-4,3.524257752951356e-1
3.642189795715234e-1,1.745601015016916e0,-1.010000000000000e0,2.624555668955845e-1,3.016175044616815e-1,1.225391737473526e-2,2.629551629744949e0,7.507924551341932e-5,2.101720672399925e0,2.101795751645438e0,-2.101645593154411e0,-9.999285570489380e-1,1.013224891586359e-1,8.979871667879148e-1,6.903440534494178e-4,3.483722964552225e-1
3.678794411714423e-1,1.718281828459045e0,-1.000000000000000e0,2.662842245991559e-1,3.016647549301434e-1,1.242857902747057e-2,2.594387091857404e0,7.723478832104069e-5,2.101713947723383e0,2.101791182511703e0,-2.101636712935062e0,-9.999265057452296e-1,1.040875440040715e-1,8.952310786913544e-1,6.813773045739797e-4,3.442208474008959e-1
3.715766910220456e-1,1.691234472349263e0,-9.900000000000002e-1,2.701646948818787e-1,3.017133268502004e-1,1.260542970317650e-2,2.559800341489959e0,7.944842900086221e-5,2.101707033880146e0,2.101786482309147e0,-2.101627585451145e0,-9.999243991436145e-1,1.069190655553675e-1,8.924084639266026e-1,6.724705180299475e-4,3.399697616853439e-1
3.753110988513994e-1,1.664456241929418e0,-9.800000000000004e-1,2.740975117018165e-1,3.017632538502185e-1,1.278448434944754e-2,2.525783326720981e0,8.172152004063455e-5,2.101699925991445e0,2.101781647511486e0,-2.101618204471404e0,-9.999222359562064e-1,1.098181584479357e-1,8.895182184885869e-1,6.636230634773187e-4,3.356173837159595e-1
3.790830381033989e-1,1.637944459354152e0,-9.699999999999998e-1,2.780832077204575e-1,3.018145702311162e-1,1.296575748595643e-2,2.492328114235409e0,8.405543359231766e-5,2.101692619077009e0,2.101776674510601e0,-2.101608563643417e0,-9.999200148763553e-1,1.127859183857395e-1,8.865592472790708e-1,6.548343351897235e-4,3.311620713824270e-1
3.828928859751121e-1,1.611696473423117e0,-9.600000000000000e-1,2.821223139670194e-1,3.018673109689415e-1,1.314926317812930e-2,2.459426887225645e0,8.645156106385358e-5,2.101685108054405e0,2.101771559615469e0,-2.101598656493342e0,-9.999177345790334e-1,1.158234303118299e-1,8.835304659355973e-1,6.461037525728473e-4,3.266021988034202e-1
3.867410234545011e-1,1.585709659315847e0,-9.500000000000002e-1,2.862153594981609e-1,3.019215117165717e-1,1.333501501080535e-2,2.427071943313200e0,8.891131266920199e-5,2.101677387738475e0,2.101766299051144e0,-2.101588476425806e0,-9.999153937212626e-1,1.189317664997309e-1,8.804308027395882e-1,6.374307606808284e-4,3.219361591920247e-1
3.906278353585210e-1,1.559981418329272e0,-9.400000000000004e-1,2.903628711138114e-1,3.019772088087389e-1,1.352302606495704e-2,2.395255692490875e0,9.143611697675375e-5,2.101669452840297e0,2.101760888957273e0,-2.101578016723320e0,-9.999129909425406e-1,1.221119845658656e-1,8.772592006034055e-1,6.288148307288707e-4,3.171623678395885e-1
3.945537103716013e-1,1.534509177617854e0,-9.299999999999997e-1,2.945653729437745e-1,3.020344392595418e-1,1.371330888731373e-2,2.363970655085243e0,9.402742031943881e-5,2.101661297967195e0,2.101755325387515e0,-2.101567270546876e0,-9.999105248653981e-1,1.253651254036286e-1,8.740146191357714e-1,6.202554606000999e-4,3.122792652170618e-1
3.985190410845142e-1,1.509290389936297e0,-9.199999999999999e-1,2.988233861551470e-1,3.020932407668256e-1,1.390587546668433e-2,2.333209459739142e0,9.668668624746654e-5,2.101652917621768e0,2.101749604308015e0,-2.101556230935520e0,-9.999079940959196e-1,1.286922110398752e-1,8.706960367847801e-1,6.117521753447076e-4,3.072853201926968e-1
