a,z,N,t,phi,phidot,H,KE,PE,rho_phi,P_phi,w_phi,Omega_phi,Omega_m,Omega_r,q_dec
4.035661327203115e-2,2.377908622458770e1,-3.210000000000000e0,9.771514931591039e-3,5.000087384056860e-1,1.784217223937569e-3,6.779904210005813e1,1.591715551097743e-6,2.133875403216289e0,2.133876994931839e0,-2.133873811500738e0,-9.999985081468569e-1,1.547394363950045e-4,9.929559887858682e-1,6.889271777736820e-3,5.032125270805483e-1
4.076220397836621e-2,2.353253019710935e1,-3.200000000000000e0,9.920123787780346e-3,5.000090055656602e-1,1.811259766081691e-3,6.678751401077793e1,1.640330970113151e-6,2.133875257646720e0,2.133876897977690e0,-2.133873617315750e0,-9.999984625814434e-1,1.594621261359395e-4,9.930193800541658e-1,6.821157819698211e-3,5.031713860883853e-1
4.117187093906774e-2,2.328842744309455e1,-3.190000000000000e0,1.007098336284051e-2,5.000092808822887e-1,1.838711320117387e-3,6.579110444678879e1,1.690429659363913e-6,2.133875107632697e0,2.133876798062356e0,-2.133873417203037e0,-9.999984156258123e-1,1.643288184093317e-4,9.930819594289327e-1,6.753711752658023e-3,5.031303630392521e-1
4.158565512117316e-2,2.304675355206450e1,-3.180000000000000e0,1.022412768236017e-2,5.000095646043943e-1,1.866578065271119e-3,6.480958696747574e1,1.742056836875636e-6,2.133874953038633e0,2.133876695095470e0,-2.133873210981796e0,-9.999983672375813e-1,1.693439003323322e-4,9.931437290016053e-1,6.686927098062381e-3,5.030894481132804e-1
4.200359790344555e-2,2.280748435642867e1,-3.170000000000000e0,1.037959128501795e-2,5.000098569883529e-1,1.894866273876930e-3,6.384273853828654e1,1.795259097938120e-6,2.133874793724828e0,2.133876588983926e0,-2.133872998465730e0,-9.999983173730785e-1,1.745118925401576e-4,9.932046906694235e-1,6.620797438036286e-3,5.030486313206655e-1
4.242574108051139e-2,2.257059592906813e1,-3.160000000000000e0,1.053740922951153e-2,5.000101582982809e-1,1.923582312631972e-3,6.289033947918810e1,1.850084456735283e-6,2.133874629547363e0,2.133876479631820e0,-2.133872779462906e0,-9.999982659873011e-1,1.798374532429825e-4,9.932648461319146e-1,6.555316414842549e-3,5.030079024953176e-1
4.285212686704019e-2,2.233606458094271e1,-3.150000000000000e0,1.069761710649556e-2,5.000104688065063e-1,1.952732644754563e-3,6.195217341390989e1,1.906582390945074e-6,2.133874460357844e0,2.133876366940235e0,-2.133872553775453e0,-9.999982130338753e-1,1.853253824057200e-4,9.933241968872495e-1,6.490477730344698e-3,5.029672512883188e-1
4.328279790196590e-2,2.210386685872218e1,-3.140000000000000e0,1.086025104041549e-2,5.000107887934588e-1,1.982323830321894e-3,6.102802721996432e1,1.964803884131032e-6,2.133874286003461e0,2.133876250807345e0,-2.133872321199577e0,-9.999981584650157e-1,1.909806260544231e-4,9.933827442284717e-1,6.426275145473874e-3,5.029266671612014e-1
4.371779725275094e-2,2.187397954244081e1,-3.130000000000000e0,1.102534770342051e-2,5.000111185482662e-1,2.012362528783397e-3,6.011769097943029e1,2.024801473625754e-6,2.133874106326667e0,2.133876131128141e0,-2.133872081525193e0,-9.999981022314800e-1,1.968082807130652e-4,9.934404892395872e-1,6.362702479699631e-3,5.028861393790247e-1
4.415716841969286e-2,2.164637964317540e1,-3.120000000000000e0,1.119294432013364e-2,5.000114583688082e-1,2.042855499827672e-3,5.922095793048927e1,2.086629296588083e-6,2.133873921165141e0,2.133876007794437e0,-2.133871834535845e0,-9.999980442825274e-1,2.028135979746768e-4,9.934974327915206e-1,6.299753610504742e-3,5.028456570032598e-1
4.460095534027454e-2,2.142104440074634e1,-3.110000000000000e0,1.136307867584562e-2,5.000118085619786e-1,2.073809604865768e-3,5.833762441970185e1,2.150343138616757e-6,2.133873730351654e0,2.133875880694793e0,-2.133871580008516e0,-9.999979845658709e-1,2.090019892108460e-4,9.935535755379256e-1,6.237422472863709e-3,5.028052088844603e-1
4.504920239355780e-2,2.119795128144164e1,-3.100000000000000e0,1.153578912879093e-2,5.000121694441972e-1,2.105231809249067e-3,5.746748985501270e1,2.216000485337051e-6,2.133873533713783e0,2.133875749714269e0,-2.133871317713298e0,-9.999979230276311e-1,2.153790304237424e-4,9.936089179108507e-1,6.175703058725480e-3,5.027647836547313e-1
4.550195440462157e-2,2.097707797576342e1,-3.090000000000000e0,1.171111461240441e-2,5.000125413412997e-1,2.137129182684467e-3,5.661035665947362e1,2.283660571740788e-6,2.133873331073975e0,2.133875614734547e0,-2.133871047413403e0,-9.999978596122886e-1,2.219504672449894e-4,9.936634601162553e-1,6.114589416499712e-3,5.027243697199721e-1
4.595925664904420e-2,2.075840239619708e1,-3.080000000000000e0,1.188909465046466e-2,5.000129245892408e-1,2.169508901967463e-3,5.576603022567319e1,2.353384437858034e-6,2.133873122249163e0,2.133875475633601e0,-2.133870768864725e0,-9.999977942626317e-1,2.287222200857229e-4,9.937172021293671e-1,6.054075650547087e-3,5.026839552518965e-1
4.642115485743127e-2,2.054190267500242e1,-3.070000000000000e0,1.206976936157392e-2,5.000133195341151e-1,2.202378251797739e-3,5.493431887086135e1,2.425234981995832e-6,2.133872907050751e0,2.133875332285733e0,-2.133870481815769e0,-9.999977269197076e-1,2.357003894424594e-4,9.937701436898841e-1,5.994155920673386e-3,5.026435281798218e-1
4.688769521998849e-2,2.032755716202690e1,-3.060000000000000e0,1.225317946881650e-2,5.000137265325151e-1,2.235744626525619e-3,5.411503379275969e1,2.499277017519089e-6,2.133872685284426e0,2.133875184561443e0,-2.133870186007409e0,-9.999976575227685e-1,2.428912613633891e-4,9.938222842970091e-1,5.934824441627374e-3,5.026030761822193e-1
4.735892439114093e-2,2.011534442254061e1,-3.050000000000000e0,1.243936631230445e-2,5.000141459520828e-1,2.269615532417234e-3,5.330798902604492e1,2.575577332494783e-6,2.133872456749850e0,2.133875032327182e0,-2.133869881172517e0,-9.999975860092148e-1,2.503013130799221e-4,9.938736232043177e-1,5.876075482602511e-3,5.025625866780199e-1
4.783488949419837e-2,1.990524323509275e1,-3.040000000000000e0,1.262837185194579e-2,5.000145781714033e-1,2.303998588163325e-3,5.251300139949724e1,2.654204747129297e-6,2.133872221240723e0,2.133874875445470e0,-2.133869567035976e0,-9.999975123145433e-1,2.579372188084847e-4,9.939241594144491e-1,5.817903366742361e-3,5.025220468176581e-1
4.831563812606779e-2,1.969723258938950e1,-3.030000000000000e0,1.282023868391551e-2,5.000150235808347e-1,2.338901527848655e-3,5.172989049380083e1,2.735230178486386e-6,2.133871978544330e0,2.133874713774508e0,-2.133869243314151e0,-9.999974363722849e-1,2.658058557275864e-4,9.939738916736226e-1,5.760302470649888e-3,5.024814434738742e-1
4.880121836201296e-2,1.949129168419294e1,-3.020000000000000e0,1.301501004474055e-2,5.000154825824797e-1,2.374332201697985e-3,5.095847859998936e1,2.818726702010000e-6,2.133871728441552e0,2.133874547168253e0,-2.133868909714850e0,-9.999973581139476e-1,2.739143101355000e-4,9.940228184659642e-1,5.703267223900297e-3,5.024407632322223e-1
4.929167876046217e-2,1.928739992524093e1,-3.010000000000000e0,1.321272982264960e-2,5.000159555906696e-1,2.410298578125653e-3,5.019859067852340e1,2.904769617857273e-6,2.133871470706608e0,2.133874375476226e0,-2.133868565936990e0,-9.999972774689541e-1,2.822698837939006e-4,9.940709380076483e-1,5.646792108557753e-3,5.023999923813207e-1
4.978706836786394e-2,1.908553692318767e1,-3.000000000000000e0,1.341344257030222e-2,5.000164430325496e-1,2.446808746032406e-3,4.945005431899267e1,2.993436519830338e-6,2.133871205106733e0,2.133874198543253e0,-2.133868211670213e0,-9.999971943645768e-1,2.908801004630307e-4,9.941182482408414e-1,5.590871658695698e-3,5.023591169028085e-1
5.028743672359186e-2,1.888568249156473e1,-2.990000000000000e0,1.361719350817260e-2,5.000169453479828e-1,2.483870915426593e-3,4.871269970043151e1,3.084807362251071e-6,2.133870931402231e0,2.133874016209593e0,-2.133867846594868e0,-9.999971087258770e-1,2.997527126341969e-4,9.941647468274449e-1,5.535500459920874e-3,5.023181224610103e-1
5.079283386489848e-2,1.868781664476241e1,-2.980000000000000e0,1.382402854244994e-2,5.000174629905307e-1,2.521493420647123e-3,4.798635955223942e1,3.178964535183364e-6,2.133870649345940e0,2.133873828310475e0,-2.133867470381404e0,-9.999970204756317e-1,3.088957084653538e-4,9.942104311426336e-1,5.480673148900980e-3,5.022769943922958e-1
5.130331033191914e-2,1.849191959603111e1,-2.970000000000000e0,1.403399426860859e-2,5.000179964273553e-1,2.559684721019047e-3,4.727086911569648e1,3.275992935509177e-6,2.133870358683285e0,2.133873634676221e0,-2.133867082690350e0,-9.999969295342682e-1,3.183173189260151e-4,9.942552982681780e-1,5.426384412895948e-3,5.022357176941321e-1
5.181891717272583e-2,1.829797175550276e1,-2.960000000000000e0,1.424713798470444e-2,5.000185461398642e-1,2.598453403250933e-3,4.656606610606513e1,3.375980044433179e-6,2.133870059151929e0,2.133873435131973e0,-2.133866683171885e0,-9.999968358197925e-1,3.280260251575949e-4,9.942993449855495e-1,5.372628989292893e-3,5.021942770138106e-1
5.233970594843238e-2,1.810595372823165e1,-2.950000000000000e0,1.446350770418213e-2,5.000191126243222e-1,2.637808183744386e-3,4.587179067526874e1,3.479016007114429e-6,2.133869750481436e0,2.133873229497443e0,-2.133866271465429e0,-9.999967392477124e-1,3.380305660556739e-4,9.943425677687999e-1,5.319401665144482e-3,5.021526566368395e-1
