lam,z,sigma,m,n
-0.01,0.0106743288837,-0.000102997013689,1.00000102997,0.0342199652197
-0.01,0.0117850015854,-0.000115391520088,1.00000115392,0.0357596255407
-0.01,0.0130112406955,-0.000129080908369,1.00000129081,0.0373475546042
-0.01,0.0143650709937,-0.000144159806286,1.0000014416,0.0389818609927
-0.01,0.0158597684482,-0.000160720797901,1.00000160721,0.0406599786355
-0.01,0.0175099904025,-0.000178851884036,1.00000178852,0.0423785698157
-0.01,0.0193319193087,-0.000198633386811,1.00000198633,0.0441334205261
-0.01,0.0213434214164,-0.000220134247335,1.00000220134,0.0459193289863
-0.01,0.0235642219732,-0.000243407678571,1.00000243408,0.047729988684
-0.01,0.0260160986549,-0.000268486156042,1.00000268486,0.0495578679814
-0.01,0.0287230951224,-0.000295375759304,1.00000295376,0.0513940891742
-0.01,0.0317117567993,-0.000324049918899,1.0000032405,0.0532283109025
-0.01,0.0350113911824,-0.000354442678522,1.00000354443,0.0550486190055
-0.01,0.0386543552375,-0.000386441651578,1.00000386442,0.0568414322679
-0.01,0.0426763726994,-0.00041988093546,1.00000419881,0.0585914310091
-0.01,0.047116884387,-0.000454534344365,1.00000454534,0.0602815180428
-0.01,0.0559984813971,-0.000516984967026,1.00000516985,0.0630292950136
-0.01,0.0709946848899,-0.000603383837306,1.00000603384,0.0662038771702
-0.01,0.0859908883827,-0.000669054062246,1.00000669054,0.0680565607809
-0.01,0.100987091875,-0.00071753842683,1.00000717538,0.0689762296269
-0.01,0.115983295368,-0.000751966066215,1.00000751966,0.0692192648978
-0.01,0.130979498861,-0.000774997851119,1.00000774998,0.0689640300369
-0.01,0.145975702354,-0.000788853872152,1.00000788854,0.0683391450186
-0.01,0.160971905847,-0.000795366547218,1.00000795367,0.0674396987782
-0.01,0.175968109339,-0.000796038125961,1.00000796038,0.0663372479157
-0.01,0.190964312832,-0.000792094535672,1.00000792095,0.0650863316582
-0.01,0.205960516325,-0.000784532833466,1.00000784533,0.0637289007541
-0.01,0.220956719818,-0.000774161753255,1.00000774162,0.0622974299484
-0.01,0.235952923311,-0.000761635749595,1.00000761636,0.0608171636748
-0.01,0.250949126803,-0.000747483275666,1.00000747483,0.0593077708131
-0.01,0.265945330296,-0.000732130109075,1.0000073213,0.0577845848421
-0.01,0.280941533789,-0.000715918502604,1.00000715919,0.0562595460942
