a,z,N,t,phi,phidot,H,KE,PE,rho_phi,P_phi,w_phi,Omega_phi,Omega_m,Omega_r,q_dec
6.158019887168897e-3,1.613898620534891e2,-5.090000000000000e0,5.539126669442316e-4,1.370286498412367e-6,4.910756116710733e-3,1.158924928098866e3,1.205776281890594e-5,1.288533730001947e1,1.288534935778228e1,-1.288532524225665e1,-9.999981284538768e-1,3.197895988830530e-6,9.565053079029499e-1,4.349149420106126e-2,5.217409502655248e-1
6.219909015942573e-3,1.597740559286073e2,-5.080000000000000e0,5.626073380691325e-4,1.413312649027830e-6,4.986369612065942e-3,1.141423785004128e3,1.243194095406733e-5,1.288533619120659e1,1.288534862314754e1,-1.288532375926563e1,-9.999980703756930e-1,3.296712556299152e-6,9.569193192450333e-1,4.307738404241043e-2,5.215337469619130e-1
6.282420140801118e-3,1.581743273432971e2,-5.070000000000000e0,5.714353131513333e-4,1.457671059772299e-6,5.063132812232479e-3,1.124189248738432e3,1.281765693715258e-5,1.288533504806057e1,1.288534786571750e1,-1.288532223040363e1,-9.999980105066513e-1,3.398568578580601e-6,9.573295605542402e-1,4.266704087718113e-2,5.213284225958648e-1
6.345559512909110e-3,1.565905163233670e2,-5.060000000000000e0,5.803986175254730e-4,1.503402752354097e-6,5.141063158699843e-3,1.107217202486020e3,1.321526520087040e-5,1.288533386952426e1,1.288534708478946e1,-1.288532065425906e1,-9.999979487917379e-1,3.503557240611659e-6,9.577360626698187e-1,4.226043377294070e-2,5.211249615613893e-1
6.409333446256383e-3,1.550224644863950e2,-5.050000000000000e0,5.894993071130796e-4,1.550549996579637e-6,5.220178355178221e-3,1.090503594307346e3,1.362513102993560e-5,1.288533265450835e1,1.288534627963938e1,-1.288531902937732e1,-9.999978851742538e-1,3.611774577813061e-6,9.581388562377147e-1,4.185753198770754e-2,5.209233483434448e-1
6.473748318289405e-3,1.534700150258909e2,-5.040000000000000e0,5.987394692550520e-4,1.599156406401030e-6,5.300496374726396e-3,1.074044436086659e3,1.404763090924383e-5,1.288533140188889e1,1.288534544951980e1,-1.288531735425798e1,-9.999978195957626e-1,3.723319563149426e-6,9.585379717103989e-1,4.145830497003779e-2,5.207235675178514e-1
6.538810570549064e-3,1.519330126956148e2,-5.030000000000000e0,6.081212225561036e-4,1.649266881282995e-6,5.382035458497386e-3,1.057835802497320e3,1.448315283826158e-5,1.288533011050880e1,1.288534459366164e1,-1.288531562735596e1,-9.999977519960396e-1,3.838294196846588e-6,9.589334393467218e-1,4.106272235908132e-2,5.205256037511885e-1
6.604526709314811e-3,1.504113037940527e2,-5.020000000000000e0,6.176467177965370e-4,1.700927715719232e-6,5.464814123540713e-3,1.041873829984566e3,1.493209670242503e-5,1.288532877917506e1,1.288534371127176e1,-1.288531384707836e1,-9.999976823130160e-1,3.956803598844609e-6,9.593252892117951e-1,4.067075398460609e-2,5.203294418006608e-1
6.670903306255274e-3,1.489047361490467e2,-5.010000000000000e0,6.273181384908782e-4,1.754186653897309e-6,5.548851167609305e-3,1.026154715765372e3,1.539487464013958e-5,1.288532740665728e1,1.288534280153192e1,-1.288531201178264e1,-9.999976104827201e-1,4.078956104071844e-6,9.597135511769013e-1,4.028236986699464e-2,5.201350665139615e-1
6.737946999085467e-3,1.474131591025766e2,-5.000000000000000e0,6.371377008984891e-4,1.809092854142459e-6,5.634165669310544e-3,1.010674716845143e3,1.587191139461877e-5,1.288532599168862e1,1.288534186360001e1,-1.288531011977723e1,-9.999975364392250e-1,4.204863360626196e-6,9.600982549194296e-1,3.989754021720977e-2,5.199424628291023e-1
6.805664492230543e-3,1.459364234956948e2,-4.990000000000000e0,6.471076550283606e-4,1.865697017553078e-6,5.720776996703974e-3,9.954301490509220e2,1.636364472300867e-5,1.288532453296251e1,1.288534089660723e1,-1.288530816931778e1,-9.999974601145821e-1,4.334640430950149e-6,9.604794299228364e-1,3.951623543673272e-2,5.197516157742341e-1
6.874062557496249e-3,1.444743816536100e2,-4.980000000000000e0,6.572302849559401e-4,1.924051402075877e-6,5.808704810052839e-3,9.804173860808345e2,1.687052578516549e-5,1.288532302913223e1,1.288533989965802e1,-1.288530615860645e1,-9.999973814387643e-1,4.468405896093090e-6,9.608571054766307e-1,3.913842611747332e-2,5.195625104674439e-1
6.943148034746108e-3,1.430268873709197e2,-4.970000000000001e0,6.675079091024493e-4,1.984209829648113e-6,5.897969064256089e-3,9.656328585694756e2,1.739301954146092e-5,1.288532147881078e1,1.288533887183032e1,-1.288530408579124e1,-9.999973003396007e-1,4.606281963154219e-6,9.612313106763840e-1,3.876408304165294e-2,5.193751321165350e-1
7.012927832585425e-3,1.415937958969891e2,-4.960000000000000e0,6.779428813123139e-4,2.046227832189486e-6,5.988590018069020e-3,9.510730531689621e2,1.793160520225795e-5,1.288531988056708e1,1.288533781217228e1,-1.288530194896188e1,-9.999972167427097e-1,4.748394576001599e-6,9.616020744237629e-1,3.839317718166098e-2,5.191894660187903e-1
7.083408929052118e-3,1.401749639214769e2,-4.950000000000000e0,6.885375907982147e-4,2.110162598288854e-6,6.080588233689764e-3,9.367345116453845e2,1.848677663384320e-5,1.288531823292736e1,1.288533671970399e1,-1.288529974615073e1,-9.999971305714338e-1,4.894873529370202e-6,9.619694254265851e-1,3.802567969988533e-2,5.190054975607163e-1
7.154598372314585e-3,1.387702495600029e2,-4.940000000000000e0,6.992944629071150e-4,2.176073065717234e-6,6.173984583331807e-3,9.226138299903602e2,1.905904281760941e-5,1.288531653437277e1,1.288533559341559e1,-1.288529747532996e1,-9.999970417467704e-1,5.045852586439063e-6,9.623333921988956e-1,3.766156194851786e-2,5.188232122177689e-1
7.226503281376463e-3,1.373795123399606e2,-4.930000000000000e0,7.102159600133405e-4,2.244020039035316e-6,6.268800256879668e-3,9.087076575474740e2,1.964892833032730e-5,1.288531478333638e1,1.288533443226471e1,-1.288529513440805e1,-9.999969501872951e-1,5.201469599994089e-6,9.626940030610656e-1,3.730079546933455e-2,5.186425955540628e-1
7.299130846788583e-3,1.360026131864690e2,-4.920000000000000e0,7.213045813721582e-4,2.314066114883109e-6,6.365056760692831e-3,8.950126961532856e2,2.025697378342075e-5,1.288531297820503e1,1.288533323517881e1,-1.288529272123125e1,-9.999968558090949e-1,5.361866637288662e-6,9.630512861399105e-1,3.694335199345215e-2,5.184636332220582e-1
7.372488331368012e-3,1.346394144084652e2,-4.910000000000000e0,7.325628642094728e-4,2.386275837206376e-6,6.462775926936495e-3,8.815256992926973e2,2.088373634089493e-5,1.288531111731542e1,1.288533200105176e1,-1.288529023357908e1,-9.999967585256881e-1,5.527190108709934e-6,9.634052693688304e-1,3.658920344106099e-2,5.182863109622418e-1
7.446583070924338e-3,1.332897796849355e2,-4.900000000000000e0,7.439933843241162e-4,2.460715762429379e-6,6.561979918761964e-3,8.682434712684076e2,2.152979022711764e-5,1.288530919895237e1,1.288533072874260e1,-1.288528766916214e1,-9.999966582479439e-1,5.697590900370288e-6,9.637559804879647e-1,3.623832192113499e-2,5.181106146027767e-1
7.521422474993263e-3,1.319535740512829e2,-4.890000000000001e0,7.555987561538666e-4,2.537454420369570e-6,6.662691230917181e-3,8.551628663842104e2,2.219572721927035e-5,1.288530722134985e1,1.288532941707707e1,-1.288528502562263e1,-9.999965548840080e-1,5.873224510743762e-6,9.641034470443703e-1,3.589067973111901e-2,5.179365300591441e-1
7.597014027577567e-3,1.306306638858302e2,-4.880000000000000e0,7.673816339697672e-4,2.616562495290027e-6,6.764932699972247e-3,8.422807881418969e2,2.288215721757690e-5,1.288530518268631e1,1.288532806484353e1,-1.288528230052910e1,-9.999964483392114e-1,6.054251191467130e-6,9.644476963922139e-1,3.554624935659466e-2,5.177640433337640e-1
7.673365287895489e-3,1.293209168964588e2,-4.870000000000000e0,7.793447121663558e-4,2.698112828721777e-6,6.868727506839685e-3,8.295941884515300e2,2.358970878160806e-5,1.288530308108462e1,1.288532667079340e1,-1.288527949137584e1,-9.999963385159903e-1,6.240836092436859e-6,9.647887556929827e-1,3.520500347092492e-2,5.175931405156002e-1
7.750483891136699e-3,1.280242021073781e2,-4.859999999999999e0,7.914907256805690e-4,2.782180447452233e-6,6.974099180391242e-3,8.171000668548464e2,2.431902968896690e-5,1.288530091461131e1,1.288532523364100e1,-1.288527659558162e1,-9.999962253137971e-1,6.433149411330828e-6,9.651266519157116e-1,3.486691493487720e-2,5.174238077797462e-1
7.828377549225773e-3,1.267403898460288e2,-4.850000000000000e0,8.038224512637610e-4,2.868842767293054e-6,7.081071608348874e-3,8.047954697615705e2,2.507078756128226e-5,1.288529868127136e1,1.288532375205892e1,-1.288527361048380e1,-9.999961086290040e-1,6.631366547687417e-6,9.654614118372246e-1,3.453195679622764e-2,5.172560313869996e-1
7.907054051593441e-3,1.254693517301148e2,-4.840000000000000e0,8.163427072996796e-4,2.958179494359047e-6,7.189669035776550e-3,7.926774896984061e2,2.584567042200205e-5,1.288529637901074e1,1.288532222468117e1,-1.288527053334032e1,-9.999959883548163e-1,6.835668261687036e-6,9.657930620423940e-1,3.420010228934434e-2,5.170897976834130e-1
7.986521265955502e-3,1.242109606547652e2,-4.830000000000000e0,8.290543548649524e-4,3.050272786909428e-6,7.299916074168165e-3,7.807432645704955e2,2.664438734494938e-5,1.288529400571223e1,1.288532065009957e1,-1.288526736132488e1,-9.999958643811716e-1,7.046240837772098e-6,9.661216289244101e-1,3.387132483475216e-2,5.169250930998306e-1
8.066787139099614e-3,1.229650907798240e2,-4.820000000000000e0,8.419602986672716e-4,3.145207394459446e-6,7.411837709493283e-3,7.689899769351204e2,2.746766911593332e-5,1.288529155919180e1,1.288531902686091e1,-1.288526409152268e1,-9.999957365946380e-1,7.263276253256408e-6,9.664471386850679e-1,3.354559803867876e-2,5.167619041514091e-1
8.147859697679982e-3,1.217316175172652e2,-4.810000000000000e0,8.550634869233778e-4,3.243070564898303e-6,7.525459301198708e-3,7.574148532874379e2,2.831626884699908e-5,1.288528903720108e1,1.288531735346992e1,-1.288526072093223e1,-9.999956048783171e-1,7.486972352079088e-6,9.667696173350654e-1,3.322289569258245e-2,5.166002174371223e-1
8.229747049020030e-3,1.205104175187349e2,-4.800000000000000e0,8.683669126599224e-4,3.343952264156061e-6,7.640806593348293e-3,7.460151633580425e2,2.919096269847738e-5,1.288528643742163e1,1.288531562838433e1,-1.288525724645893e1,-9.999954691117331e-1,7.717533023852026e-6,9.670890906943136e-1,3.290319177266234e-2,5.164400196392458e-1
8.312457381923119e-3,1.193013686632155e2,-4.790000000000000e0,8.818736143515601e-4,3.447945250467238e-6,7.757905720108832e-3,7.347882194221532e2,3.009255058104866e-5,1.288528375746308e1,1.288531385001366e1,-1.288525366491250e1,-9.999953291707239e-1,7.955168388368456e-6,9.674055843922599e-1,3.258646043935144e-2,5.162812975228290e-1
8.395998967491478e-3,1.181043500448138e2,-4.779999999999999e0,8.955866760694629e-4,3.555145036167701e-6,7.876783207058513e-3,7.237313756202072e2,3.102185684549949e-5,1.288528099486406e1,1.288531201672090e1,-1.288524997300721e1,-9.999951849273335e-1,8.200094985739217e-6,9.677191238682211e-1,3.227267603679311e-2,5.161240379351439e-1
8.480380159953269e-3,1.169192419606706e2,-4.770000000000000e0,9.095092288989384e-4,3.665650142052293e-6,7.997465983324258e-3,7.128420272897000e2,3.197973107721432e-5,1.288527814708569e1,1.288531012681677e1,-1.288524616735462e1,-9.999950362496887e-1,8.452535972320958e-6,9.680297343717268e-1,3.196181309230094e-2,5.159682278051263e-1
8.565609397498061e-3,1.157459258989899e2,-4.760000000000000e0,9.236444511765095e-4,3.779562076369241e-6,8.119981383645475e-3,7.021176103080301e2,3.296704883537454e-5,1.288527521151211e1,1.288530817856095e1,-1.288524224446328e1,-9.999948830018843e-1,8.712721322622610e-6,9.683374409628739e-1,3.165384631580337e-2,5.158138541427923e-1
8.651695203120634e-3,1.145842845271877e2,-4.750000000000000e0,9.379955691044754e-4,3.896985402471948e-6,8.244357153658941e-3,6.915556004462018e2,3.398471243854367e-5,1.288527218544872e1,1.288530617016116e1,-1.288523820073628e1,-9.999947250438617e-1,8.980888037365716e-6,9.686422685126899e-1,3.134875059927275e-2,5.156609040386411e-1
8.738646185473290e-3,1.134342016801587e2,-4.740000000000000e0,9.525658582230615e-4,4.018028015947567e-6,8.370621462502307e-3,6.811535127331729e2,3.503365183425213e-5,1.288526906611506e1,1.288530409976689e1,-1.288523403246322e1,-9.999945622312734e-1,9.257280357884126e-6,9.689442417035024e-1,3.104650101613958e-2,5.155093646630413e-1
8.826471039726723e-3,1.122955623486599e2,-4.730000000000000e0,9.673586431031436e-4,4.142800984406399e-6,8.498802900231939e-3,6.709089008306742e2,3.611482536849541e-5,1.288526585064892e1,1.288530196547429e1,-1.288522973582355e1,-9.999943944153633e-1,9.542149987067438e-6,9.692433850293206e-1,3.074707282069237e-2,5.153592232655995e-1
8.915178548439545e-3,1.111682526678093e2,-4.720000000000001e0,9.823772987420771e-4,4.271418808825931e-6,8.628930489775156e-3,6.608193564183180e2,3.722922069868566e-5,1.288526253609962e1,1.288529976532032e1,-1.288522530687892e1,-9.999942214428261e-1,9.835756317032307e-6,9.695397227962195e-1,3.045044144746355e-2,5.152104671745108e-1
9.004777582436559e-3,1.100521599056992e2,-4.710000000000000e0,9.976252515485511e-4,4.403999586504526e-6,8.761033695375104e-3,6.508825085888200e2,3.837785570574898e-5,1.288525911942382e1,1.288529749727953e1,-1.288522074156811e1,-9.999940431556642e-1,1.013836666373555e-5,9.698332791227343e-1,3.015658251060184e-2,5.150630837958947e-1
9.095277101695816e-3,1.089471724521235e2,-4.700000000000000e0,1.013105979261722e-3,4.540664897968816e-6,8.895142421940954e-3,6.410960232531661e2,3.956177935330679e-5,1.288525559748840e1,1.288529515926775e1,-1.288521603570905e1,-9.999938593910557e-1,1.045025650874420e-5,9.701240779402600e-1,2.986547180323140e-2,5.149170606131093e-1
9.186686156244673e-3,1.078531798074159e2,-4.690000000000000e0,1.028823012502300e-3,4.681540117320729e-6,9.031287028325031e-3,6.314576025555341e2,4.078207269399598e-5,1.288525196706249e1,1.288529274913519e1,-1.288521118498980e1,-9.999936699811965e-1,1.077170974836730e-5,9.704121429934531e-1,2.957708529679853e-2,5.147723851860542e-1
9.279013887064744e-3,1.067700725714004e2,-4.680000000000000e0,1.044779935433145e-3,4.826754490872545e-6,9.169498333000519e-3,6.219649842978388e2,4.203984983944966e-5,1.288524822481545e1,1.288529026466529e1,-1.288520618496561e1,-9.999934747531525e-1,1.110301895038518e-5,9.706974978406440e-1,2.929139914040566e-2,5.146290451504518e-1
9.372269527006058e-3,1.056977424324508e2,-4.670000000000000e0,1.060980386027028e-3,4.976441109164630e-6,9.309807616386738e-3,6.126159413736941e2,4.333625892706626e-5,1.288524436731756e1,1.288528770357649e1,-1.288520103105864e1,-9.999932735287060e-1,1.144448561860712e-5,9.709801658542477e-1,2.900838966013377e-2,5.144870282171108e-1
9.466462401710323e-3,1.046360821566595e2,-4.660000000000000e0,1.077428057746859e-3,5.130737263580282e-6,9.452246635227425e-3,6.034082812116656e2,4.467248322658409e-5,1.288524039103087e1,1.288528506351409e1,-1.288519571854764e1,-9.999930661241863e-1,1.179642046548348e-5,9.712601702211814e-1,2.872803335835323e-2,5.143463221711708e-1
9.561601930543505e-3,1.035849855771142e2,-4.650000000000000e0,1.094126699692867e-3,5.289784380050319e-6,9.596847623887966e-3,5.943398452276344e2,4.604974215806205e-5,1.288523629231086e1,1.288528234205302e1,-1.288519024256870e1,-9.999928523503117e-1,1.215914369303613e-5,9.715375339432835e-1,2.845030691302336e-2,5.142069148713362e-1
9.657697627537768e-3,1.025443475832811e2,-4.640000000000001e0,1.111080117497657e-3,5.453728161165241e-6,9.743643302033674e-3,5.854085082861267e2,4.746929239863284e-5,1.288523206740284e1,1.288527953669524e1,-1.288518459811044e1,-9.999926320120159e-1,1.253298528234628e-5,9.718122798377362e-1,2.817518717698143e-2,5.140687942490814e-1
9.754759102342903e-3,1.015140641104935e2,-4.630000000000000e0,1.128292174944315e-3,5.622718938327080e-6,9.892666888476126e-3,5.766121781704491e2,4.893242908317596e-5,1.288522771243281e1,1.288527664486189e1,-1.288517878000373e1,-9.999924049082637e-1,1.291828529185946e-5,9.720844305374871e-1,2.790265117722108e-2,5.139319483078464e-1
9.852796061187257e-3,1.004940321295456e2,-4.620000000000000e0,1.145766793648189e-3,5.796911461538140e-6,1.004395209850149e-2,5.679487950614889e2,5.044048687849624e-5,1.288522322341294e1,1.288527366389982e1,-1.288517278292606e1,-9.999921708318823e-1,1.331539416479531e-5,9.723540084916741e-1,2.763267611416103e-2,5.137963651222062e-1
9.951818307848428e-3,9.948414963638929e1,-4.609999999999999e0,1.163507954727668e-3,5.976465270678231e-6,1.019753315816565e-2,5.594163310250204e2,5.199484125594392e-5,1.288521859623195e1,1.288527059107320e1,-1.288516660139069e1,-9.999919295693656e-1,1.372467304591119e-5,9.726210359660505e-1,2.736523936090353e-2,5.136620328370287e-1
