x4,phi_mid,KE_mid,PE_mid,G0_mid,rho_mid,P_mid,w_mid,E_sheet,P_sheet,w_sheet,KE_frac,PE_frac,G0_frac,E_drift
5.900000000000000e0,9.426112930264066e-1,1.637800768659857e-1,4.442580248704571e-1,6.624987535943121e-2,6.742879770958740e-1,-3.467278233639026e-1,-5.142132666479428e-1,2.055257744693274e-1,-1.082926755848369e-1,-5.269055711598762e-1,2.365472144200619e-1,6.151425887411778e-1,1.483101968387603e-1,-2.262691145560325e-10
6.000000000000000e0,9.626863379443835e-1,1.932310739808462e-1,4.633824926323839e-1,3.622991199640296e-2,6.928434786096330e-1,-3.063813306479407e-1,-4.422085797253557e-1,2.055257744663277e-1,-9.655062435446365e-2,-4.697738013889932e-1,2.651130993055034e-1,6.589893537741704e-1,7.589754692032612e-2,-2.408643284823597e-10
6.100000000000000e0,9.486476310796850e-1,4.033859966778593e-3,4.499661639765490e-1,9.099545450311587e-2,5.449954784464435e-1,-5.369277585128863e-1,-9.851967213442672e-1,2.055257744716443e-1,-1.226534499187250e-1,-5.967789209603349e-1,2.016105395198326e-1,6.908982255625217e-1,1.074912349176458e-1,-2.149962430308960e-10
6.200000000000000e0,9.577277619468005e-1,1.095519701011396e-2,4.586212330018137e-1,3.529669583457137e-2,5.048731258464990e-1,-4.829627318262711e-1,-9.566021780551467e-1,2.055257744717726e-1,-1.839610024235176e-1,-8.950750965241261e-1,5.246245173793698e-2,7.102987752515558e-1,2.372387730105072e-1,-2.143717425795444e-10
6.300000000000000e0,9.819133914848825e-1,1.265149247974630e-1,4.820769541886721e-1,3.258887210552849e-2,6.411807510916636e-1,-3.881509014967376e-1,-6.053689241853851e-1,2.055257744722647e-1,-1.292177808885935e-1,-6.287181314382112e-1,1.856409342808943e-1,7.143144618582375e-1,1.000446038608680e-1,-2.119774356046378e-10
6.400000000000000e0,1.002019776149724e0,8.738002010376217e-2,5.020218158975720e-1,3.787909571330919e-1,9.681927931344261e-1,-7.934327529269016e-1,-8.194987181821953e-1,2.055257744696615e-1,-1.606077150405076e-1,-7.814480468687665e-1,1.092759765656168e-1,7.054011639574546e-1,1.853228594769287e-1,-2.246434149810739e-10
6.500000000000000e0,9.932094267357382e-1,4.025649290423516e-2,4.932324826783668e-1,1.974383777708236e-2,5.532328133596843e-1,-4.727198275512141e-1,-8.544681662688638e-1,2.055257744693620e-1,-1.321180499277634e-1,-6.428295928764808e-1,1.785852035617595e-1,6.817124140054548e-1,1.397023824327856e-1,-2.261008047454993e-10
6.600000000000000e0,9.242043487628565e-1,2.659374073257231e-2,4.270768391360878e-1,2.649724506148084e-2,4.801678249301410e-1,-4.269803434649964e-1,-8.892314755307005e-1,2.055257744725581e-1,-9.107176122106930e-2,-4.431160104117707e-1,2.784419947941146e-1,6.452661973401136e-1,7.629180786577179e-2,-2.105499108395747e-10
6.700000000000000e0,8.770447303641626e-1,5.299226360411340e-2,3.846037295297734e-1,1.718480923632078e-3,4.393144740575189e-1,-3.333299468492921e-1,-7.587502040864914e-1,2.055257744757543e-1,-1.012248295061399e-1,-4.925164727603606e-1,2.537417636198196e-1,5.980260747461051e-1,1.482321616340752e-1,-1.949986838667428e-10
6.800000000000000e0,8.603073764587271e-1,3.345770969027440e-3,3.700643909946490e-1,2.008036828877120e-1,5.742138448513885e-1,-5.675223029133336e-1,-9.883466029284147e-1,2.055257744779775e-1,-6.098179790211068e-2,-2.967111938003912e-1,3.516444030998044e-1,5.400683244516907e-1,1.082872724485049e-1,-1.841812258263076e-10
