a,z,N,t,s,H,K_Psi,U_Psi,rho_Psi,P_Psi,w_Psi,Omega_Psi,Omega_m,Omega_r,q_dec
1.882470656387468e-1,4.312167797181166e0,-1.670000000000000e0,7.606638262149762e-2,1.499047420707476e2,8.775219147433306e0,9.442865470607043e1,9.589847830607043e1,9.589847830607043e1,-1.469823599999998e0,-1.532687093645946e-2,4.151208233074185e-1,5.840105153737463e-1,8.686613188354059e-4,4.908905757366133e-1
1.901389801015205e-1,4.259310844446899e0,-1.660000000000000e0,7.721449200743008e-2,1.454743874115211e2,8.645373275767412e0,9.163786620556996e1,9.310768980556996e1,9.310768980556996e1,-1.469823599999998e0,-1.578627504419161e-2,4.152377200351707e-1,5.839024211508451e-1,8.598588139840835e-4,4.905973441211948e-1
1.920499086207541e-1,4.206979827179850e0,-1.650000000000000e0,7.837984325288820e-2,1.411749695198873e2,8.517474059971292e0,8.892955796983327e1,9.039938156983327e1,9.039938156983327e1,-1.469823599999998e0,-1.625922184948314e-2,4.153579865350716e-1,5.837908730211768e-1,8.511404437516348e-4,4.902954737468335e-1
1.939800422908920e-1,4.155169512234679e0,-1.640000000000000e0,7.956269171833798e-2,1.370026186294704e2,8.391492681548735e0,8.630129233859793e1,8.777111593859793e1,8.777111593859793e1,-1.469823599999998e0,-1.674609675725491e-2,4.154817240589099e-1,5.836757706305105e-1,8.425053105796571e-4,4.899847069273471e-1
1.959295741269094e-1,4.103874718536725e0,-1.630000000000000e0,8.076329638509271e-2,1.329535793430842e2,8.267400754263795e0,8.375070369554473e1,8.522052729554473e1,8.522052729554473e1,-1.469823599999998e0,-1.724729530131452e-2,4.156090367572884e-1,5.835570107180397e-1,8.339525246720270e-4,4.896647785820645e-1
1.978986990836147e-1,4.053090316563868e0,-1.620000000000000e0,8.198191989928984e-2,1.290242072529337e2,8.145170317727771e0,8.127549633927988e1,8.274531993927988e1,8.274531993927988e1,-1.469823599999998e0,-1.776322335908043e-2,4.157400317583624e-1,5.834344870377337e-1,8.254812039039385e-4,4.893354160367998e-1
1.998876140751444e-1,4.002811227833590e0,-1.610000000000000e0,8.321882861603014e-2,1.252109656581256e2,8.024773831048794e0,7.887344241561539e1,8.034326601561538e1,8.034326601561538e1,-1.469823599999998e0,-1.829429736792532e-2,4.158748192435183e-1,5.833080902827431e-1,8.170904737387493e-4,4.889963388202601e-1
2.018965179946555e-1,3.953032424395113e0,-1.600000000000000e0,8.447429264367806e-2,1.215104223838186e2,7.906184166635603e0,7.654237991387350e1,7.801220351387350e1,7.801220351387350e1,-1.469823599999998e0,-1.884094454194729e-2,4.160135125332757e-1,5.831777079995905e-1,8.087794671337913e-4,4.886472584560571e-1
2.039256117342135e-1,3.903748928326621e0,-1.590000000000000e0,8.574858588831009e-2,1.179192466912614e2,7.789374604054328e0,7.428021072044480e1,7.575003432044480e1,7.575003432044480e1,-1.469823599999998e0,-1.940360308989719e-2,4.161562281693477e-1,5.830432245061971e-1,8.005473244553013e-4,4.882878782500475e-1
2.059750982048834e-1,3.854955811237434e0,-1.580000000000000e0,8.704198609830510e-2,1.144342062799010e2,7.674318823986562e0,7.208489873034289e1,7.355472233034288e1,7.355472233034288e1,-1.469823599999998e0,-1.998272243349442e-2,4.163030859998572e-1,5.829045208067504e-1,7.923931933924452e-4,4.879178930730828e-1
