a,z,N,t,s,H,K_Psi,U_Psi,rho_Psi,P_Psi,w_Psi,Omega_Psi,Omega_m,Omega_r,q_dec
3.238694077290704e-2,2.987664274967704e1,-3.430000000000000e0,7.008745493780469e-3,2.943677511690126e4,9.438111177720458e1,-9.483750771806929e-5,1.240855019326392e0,1.240855019326392e0,-1.240949856834110e0,-1.000076429160733e0,4.643330634821814e-5,9.913826080409691e-1,8.570958652682746e-3,5.042158240435313e-1
3.271243493901982e-2,2.956941502105020e1,-3.420000000000000e0,7.115499783758889e-3,2.856678693650937e4,9.297206113757068e1,-9.772573976219728e-5,1.240857907558483e0,1.240857907558483e0,-1.240955633298245e0,-1.000078756591844e0,4.785153564773254e-5,9.914657605367100e-1,8.486387927642204e-3,5.041714110074138e-1
3.304120037588693e-2,2.926524425940009e1,-3.410000000000000e0,7.223871978746436e-3,2.772251079251831e4,9.158408725297937e1,-1.007019315625977e-4,1.240860883750334e0,1.240860883750334e0,-1.240961585681897e0,-1.000081154892447e0,4.931304230346604e-5,9.915480427195024e-1,8.402644238194028e-3,5.041273465526499e-1
3.337326996032608e-2,2.896410004739701e1,-3.400000000000000e0,7.333886550279043e-3,2.690318677940038e4,9.021687393926115e1,-1.037687618922885e-4,1.240863950580719e0,1.240863950580719e0,-1.240967719342611e0,-1.000083626220138e0,5.081914616071545e-5,9.916294612257273e-1,8.319719628111949e-3,5.040836247200955e-1
3.370867689957240e-2,2.866595227036886e1,-3.390000000000000e0,7.445568339682078e-3,2.610807745022838e4,8.887010977908740e1,-1.069289911050495e-4,1.240867110809993e0,1.240867110809993e0,-1.240974039801098e0,-1.000086172798178e0,5.237120730449720e-5,9.917100225778600e-1,8.237606214835545e-3,5.040402395270007e-1
3.404745473459934e-2,2.837077111328943e1,-3.380000000000000e0,7.558942563651963e-3,2.533646715292325e4,8.754348804954829e1,-1.101854636199275e-4,1.240870367282574e0,1.240870367282574e0,-1.240980552746194e0,-1.000088796917491e0,5.397062728635648e-5,9.917897331838746e-1,8.156296188839108e-3,5.039971849648521e-1
3.438963734347271e-2,2.807852705779708e1,-3.370000000000000e0,7.674034819922852e-3,2.458766138636896e4,8.623670665084529e1,-1.135411104802503e-4,1.240873722929507e0,1.240873722929507e0,-1.240987264039987e0,-1.000091500938719e0,5.561885038859061e-5,9.918685993366065e-1,8.075781813004871e-3,5.039544549971535e-1
3.473525894473856e-2,2.778919087924267e1,-3.360000000000000e0,7.790871093014811e-3,2.386098617468735e4,8.494946803608029e1,-1.169989519944820e-4,1.240877180771101e0,1.240877180771101e0,-1.240994179723095e0,-1.000094287294349e0,5.731736492702978e-5,9.919466272130727e-1,7.996055422000272e-3,5.039120435571607e-1
3.508435410084502e-2,2.750273364376728e1,-3.350000000000000e0,7.909477760073270e-3,2.315578746111789e4,8.368147914212342e1,-1.205621004526107e-4,1.240880743919646e0,1.240880743919646e0,-1.241001306020099e0,-1.000097158490889e0,5.906770459355282e-5,9.920238228737466e-1,7.917109421659806e-3,5.038699445455457e-1
3.543695772159864e-2,2.721912670540861e1,-3.340000000000000e0,8.029881596793829e-3,2.247143051921434e4,8.243245132154394e1,-1.242337629278353e-4,1.240884415582217e0,1.240884415582217e0,-1.241008649345145e0,-1.000100117111125e0,6.087144983954985e-5,9.921001922617896e-1,7.838936288370790e-3,5.038281518280150e-1
