a,z,N,t,phi,phidot,H,KE,PE,rho_phi,P_phi,w_phi,Omega_phi,Omega_m,Omega_r,q_dec
1.564795710394167e-3,6.380610565695528e2,-6.460000000000000e0,5.972993859022125e-5,3.000000006766045e-1,3.130697836358575e-5,9.607700923228318e3,4.900634471290130e-10,2.434025172649639e0,2.434025173139702e0,-2.434025172159575e0,-9.999999995973226e-1,8.789513949431199e-9,8.482216691115527e-1,1.517783220989333e-1,5.758891478651960e-1
1.580522168736217e-3,6.317022928122535e2,-6.450000000000000e0,6.077901369238192e-5,3.000000007097793e-1,3.193808186229786e-5,9.457511334604467e3,5.100205365214196e-10,2.434025172599682e0,2.434025173109702e0,-2.434025172089661e0,-9.999999995809242e-1,9.070893538549766e-9,8.495046073399160e-1,1.504953835891905e-1,5.752476781882552e-1
1.596406680612249e-3,6.254067998114887e2,-6.440000000000000e0,6.184474516415228e-5,3.000000007441567e-1,3.257524411580773e-5,9.309729051807830e3,5.305732646022332e-10,2.434025172547914e0,2.434025173078488e0,-2.434025172017341e0,-9.999999995640363e-1,9.361161280317813e-9,8.507786090098233e-1,1.492213816290154e-1,5.746106767727657e-1
1.612450834486684e-3,6.191739480127129e2,-6.430000000000000e0,6.292739054349086e-5,3.000000007797728e-1,3.321866822880196e-5,9.164314175084139e3,5.517399594476085e-10,2.434025172494281e0,2.434025173046021e0,-2.434025171942541e0,-9.999999995466440e-1,9.660594915993762e-9,8.520437041350231e-1,1.479562862043821e-1,5.739781286112986e-1
1.628656234788281e-3,6.130031141255517e2,-6.420000000000000e0,6.402721133907179e-5,3.000000008166652e-1,3.386855698373389e-5,9.021227493585811e3,5.735395760802148e-10,2.434025172438726e0,2.434025173012266e0,-2.434025171865187e0,-9.999999995287318e-1,9.969480795201506e-9,8.532999231954849e-1,1.467000668350344e-1,5.733500184632958e-1
1.645024502070575e-3,6.068936810614740e2,-6.410000000000000e0,6.514447302395463e-5,3.000000008548724e-1,3.452511310619487e-5,8.880430472938897e3,5.959917174977742e-10,2.434025172381191e0,2.434025172977183e0,-2.434025171785200e0,-9.999999995102831e-1,1.028811414119266e-8,8.545472971263330e-1,1.454526925855527e-1,5.727263308606048e-1
1.661557273173934e-3,6.008450378720822e2,-6.400000000000000e0,6.627944505934736e-5,3.000000008944343e-1,3.518853945025502e-5,8.741885243043786e3,6.191166543210768e-10,2.434025172321617e0,2.434025172940733e0,-2.434025171702500e0,-9.999999994912816e-1,1.061679932425068e-8,8.557858573068547e-1,1.442141320763460e-1,5.721070501129741e-1
1.678256201389248e-3,5.948565796880164e2,-6.390000000000000e0,6.743240103774707e-5,3.000000009353920e-1,3.585903888324558e-5,8.605554586105305e3,6.429353348150591e-10,2.434025172259940e0,2.434025172902875e0,-2.434025171617004e0,-9.999999994717100e-1,1.095585014348570e-8,8.570156355495859e-1,1.429843534945640e-1,5.714921603135064e-1
1.695122956623251e-3,5.889277076584686e2,-6.380000000000000e0,6.860361877428179e-5,3.000000009777881e-1,3.653681432308961e-5,8.471401924887732e3,6.674694004399630e-10,2.434025172196097e0,2.434025172863566e0,-2.434025171528628e0,-9.999999994515512e-1,1.130559011727707e-8,8.582366640894781e-1,1.417633246049319e-1,5.708816453440806e-1
1.712159225565523e-3,5.830578288912948e2,-6.370000000000000e0,6.979338021006980e-5,3.000000010216662e-1,3.722206915479362e-5,8.339391311190049e3,6.927412160821195e-10,2.434025172130022e0,2.434025172822764e0,-2.434025171437281e0,-9.999999994307853e-1,1.166635278262887e-8,8.594489755731404e-1,1.405510127605070e-1,5.702754888807238e-1
1.729366711857156e-3,5.772463563937266e2,-6.360000000000000e0,7.100197159073380e-5,3.000000010670716e-1,3.791500707596218e-5,8.209487414537747e3,7.187738807851312e-10,2.434025172061649e0,2.434025172780423e0,-2.434025171342875e0,-9.999999994093949e-1,1.203848200371000e-8,8.606526030481714e-1,1.393473849133467e-1,5.696736743989503e-1
1.746747136261120e-3,5.714927090136708e2,-6.350000000000000e0,7.222968362350190e-5,3.000000011140509e-1,3.861583206159861e-5,8.081655511086374e3,7.455912429047937e-10,2.434025171990904e0,2.434025172736495e0,-2.434025171245313e0,-9.999999993873595e-1,1.242233228986125e-8,8.618475799525691e-1,1.381524076250986e-1,5.690761851790511e-1
1.764302236834335e-3,5.657963113815958e2,-6.340000000000000e0,7.347681131126353e-5,3.000000011626522e-1,3.932474879404746e-5,7.955861472733286e3,7.732179338574687e-10,2.434025171917717e0,2.434025172690935e0,-2.434025171144499e0,-9.999999993646590e-1,1.281826912335784e-8,8.630339401042336e-1,1.369660470774973e-1,5.684830043113449e-1
1.782033769101492e-3,5.601565938529907e2,-6.330000000000000e0,7.474365416423783e-5,3.000000012129251e-1,4.004196252853075e-5,7.832071756432961e3,8.016793815681302e-10,2.434025171842012e0,2.434025172643691e0,-2.434025171040333e0,-9.999999993412729e-1,1.322666929722742e-8,8.642117176905508e-1,1.357882690827799e-1,5.678941147013865e-1
1.799943506230591e-3,5.545729924514030e2,-6.320000000000000e0,7.603051630251920e-5,3.000000012649209e-1,4.076767914835803e-5,7.710253393712527e3,8.310018315717329e-10,2.434025171763714e0,2.434025172594716e0,-2.434025170932712e0,-9.999999993171789e-1,1.364792126342977e-8,8.653809472580718e-1,1.346190390940071e-1,5.673094990751217e-1
1.818033239210271e-3,5.490449488120395e2,-6.310000000000000e0,7.733770645777693e-5,3.000000013186925e-1,4.150210532325595e-5,7.590373980383274e3,8.612123731313147e-10,2.434025171682741e0,2.434025172543954e0,-2.434025170821529e0,-9.999999992923554e-1,1.408242549171609e-8,8.665416637022806e-1,1.334583222152939e-1,5.667291399840089e-1
1.836304777028907e-3,5.435719101259290e2,-6.300000000000000e0,7.866553799506512e-5,3.000000013742942e-1,4.224544864458122e-5,7.472401666444401e3,8.923389655909744e-10,2.434025171599012e0,2.434025172491352e0,-2.434025170706673e0,-9.999999992667791e-1,1.453059483949475e-8,8.676939022574554e-1,1.323060832119499e-1,5.661530198100826e-1
1.854759946855503e-3,5.381533290846430e2,-6.290000000000000e0,8.001432907816256e-5,3.000000014317822e-1,4.299791760159613e-5,7.356305146175393e3,9.244104590368251e-10,2.434025171512443e0,2.434025172436853e0,-2.434025170588033e0,-9.999999992404266e-1,1.499285493303970e-8,8.688376984866210e-1,1.311622865205242e-1,5.655811207709796e-1
1.873400594222423e-3,5.327886638255613e2,-6.280000000000000e0,8.138440278044855e-5,3.000000014912149e-1,4.375972162522931e-5,7.242053648413224e3,9.574566183587810e-10,2.434025171422946e0,2.434025172380403e0,-2.434025170465489e0,-9.999999992132729e-1,1.546964456038935e-8,8.699730882716008e-1,1.300268962587547e-1,5.650134249249106e-1
1.892228583209940e-3,5.274773778776872e2,-6.270000000000000e0,8.277608696802857e-5,3.000000015526517e-1,4.453107135427681e-5,7.129616927011038e3,9.915081579798462e-10,2.434025171330430e0,2.434025172321939e0,-2.434025170338922e0,-9.999999991852934e-1,1.596141607629247e-8,8.711001078031638e-1,1.288998762354203e-1,5.644499141755861e-1
1.911245796632638e-3,5.222189401080007e2,-6.260000000000000e0,8.418971450915868e-5,3.000000016161545e-1,4.531217857828882e-5,7.018965251474550e3,1.026596763755368e-9,2.434025171234804e0,2.434025172261400e0,-2.434025170208207e0,-9.999999991564619e-1,1.646863581957092e-8,8.722187935712661e-1,1.277811899600981e-1,5.638905702770951e-1
1.930454136227709e-3,5.170128246683420e2,-6.250000000000000e0,8.562562345583151e-5,3.000000016817870e-1,4.610325622771935e-5,6.910069397772866e3,1.062755117399371e-9,2.434025171135970e0,2.434025172198725e0,-2.434025170073215e0,-9.999999991267509e-1,1.699178454327835e-8,8.733291823553959e-1,1.266708006528195e-1,5.633353748387326e-1
1.949855522845121e-3,5.118585109428291e2,-6.240000000000000e0,8.708415685613081e-5,3.000000017496149e-1,4.690451867654018e-5,6.802900639320428e3,1.100016936138953e-9,2.434025171033830e0,2.434025172133847e0,-2.434025169933813e0,-9.999999990961335e-1,1.753135785804605e-8,8.744313112150167e-1,1.255686712536256e-1,5.627843093297762e-1
1.969451896639701e-3,5.067554834957940e2,-6.230000000000000e0,8.856566299171519e-5,3.000000018197058e-1,4.771618167965263e-5,6.697430738126615e3,1.138416997042809e-9,2.434025170928283e0,2.434025172066700e0,-2.434025169789866e0,-9.999999990645808e-1,1.808786668902014e-8,8.755252174801089e-1,1.244747644320244e-1,5.622373550842121e-1
1.989245217265163e-3,5.017032320202389e2,-6.220000000000000e0,9.007049550054398e-5,3.000000018921298e-1,4.853846242449368e-5,6.593631936109835e3,1.177991167266993e-9,2.434025170819222e0,2.434025171997213e0,-2.434025169641231e0,-9.999999990320634e-1,1.866183774680534e-8,8.766109387418164e-1,1.233890425963458e-1,5.616944933054162e-1
