a,z,N,t,s,H,K_Psi,U_Psi,rho_Psi,P_Psi,w_Psi,Omega_Psi,Omega_m,Omega_r,q_dec
1.359905085183092e1,-9.264654562369429e-1,2.609999999999999e0,7.477893085410474e0,3.976255132112587e-4,2.353755029215602e-1,3.945883170065677e-2,1.658470118261911e-1,1.658470118261911e-1,-1.263881801255343e-1,-7.620769209757610e-1,9.978468123441272e-1,2.153143323357381e-3,4.433251534307614e-8,-6.406540173687780e-1
1.373572358507791e1,-9.271971371725644e-1,2.619999999999999e0,7.520454807814184e0,3.858739035948246e-4,2.345313503449324e-1,3.917105725927764e-2,1.646675693202514e-1,1.646675693202514e-1,-1.254965120609738e-1,-7.621203894550944e-1,9.978953801037586e-1,2.104576994857053e-3,4.290138447457933e-8,-6.407746021294816e-1
1.387376990212992e1,-9.279215377612340e-1,2.630000000000001e0,7.563169697756307e0,3.744696064786340e-4,2.336905038597951e-1,3.888559065615321e-2,1.634967253634671e-1,1.634967253634671e-1,-1.246111347073139e-1,-7.621628777597397e-1,9.979428572596986e-1,2.057101223947447e-3,4.151635400965233e-8,-6.408924791350665e-1
1.401320360773362e1,-9.286387304436140e-1,2.640000000000001e0,7.606038255909351e0,3.634023572574192e-4,2.328529433791113e-1,3.860240740614476e-2,1.623344110920228e-1,1.623344110920228e-1,-1.237320036858780e-1,-7.622044078857554e-1,9.979892680831062e-1,2.010691740949561e-3,4.017594428979620e-8,-6.410077086454613e-1
1.415403864537581e1,-9.293487869395705e-1,2.650000000000000e0,7.649060985523166e0,3.526621946896754e-4,2.320186491049733e-1,3.832148343934225e-2,1.611805583704903e-1,1.611805583704903e-1,-1.228590749311480e-1,-7.622450013403208e-1,9.980346363147522e-1,1.965324806524910e-3,3.887872285884690e-8,-6.411203496037760e-1
1.429628909867760e1,-9.300517782553447e-1,2.660000000000000e0,7.692238392419218e0,3.422394519276462e-4,2.311876015216144e-1,3.804279509085328e-2,1.600350997790488e-1,1.600350997790488e-1,-1.219923046881956e-1,-7.622846791524063e-1,9.980789851761677e-1,1.920977200529268e-3,3.762330297293359e-8,-6.412304596640099e-1
1.443996919280288e1,-9.307477746906541e-1,2.670000000000000e0,7.735570984984999e0,3.321247477218481e-4,2.303597813810927e-1,3.776631908836015e-2,1.588979685906542e-1,1.588979685906542e-1,-1.211316495022941e-1,-7.623234618835686e-1,9.981223373804551e-1,1.877626211202665e-3,3.640834215898337e-8,-6.413380952186107e-1
1.458509329588079e1,-9.314368458457221e-1,2.680000000000000e0,7.779059274168977e0,3.223089781857769e-4,2.295351697134841e-1,3.749203254816254e-2,1.577690987822601e-1,1.577690987822601e-1,-1.202770662340976e-1,-7.623613696373714e-1,9.981647151432922e-1,1.835249624167042e-3,3.523254081013676e-8,-6.414433114242349e-1
1.473167592044256e1,-9.321190606282386e-1,2.690000000000000e0,7.822703773475703e0,3.127833085002924e-4,2.287137478130890e-1,3.721991296330346e-2,1.566484250126989e-1,1.566484250126989e-1,-1.194285120493954e-1,-7.623984220697644e-1,9.982061401933172e-1,1.793825712041885e-3,3.409464083273419e-8,-6.415461622282821e-1
1.487973172487282e1,-9.327944872602502e-1,2.699999999999999e0,7.866504998960989e0,3.035391649046217e-4,2.278954972274392e-1,3.694993819289664e-2,1.555358826046794e-1,1.555358826046794e-1,-1.185859444117827e-1,-7.624346383990945e-1,9.982466337823659e-1,1.753333224209849e-3,3.299342433426525e-8,-6.416467003947449e-1
1.502927551487542e1,-9.334631932849832e-1,2.710000000000001e0,7.910463469227516e0,2.945682270074904e-4,2.270803997534287e-1,3.668208645405072e-2,1.544314075366996e-1,1.544314075366996e-1,-1.177493210826489e-1,-7.624700374155856e-1,9.982862166956175e-1,1.713751376670167e-3,3.192771234998713e-8,-6.417449775292000e-1
1.518032224495391e1,-9.341252455735971e-1,2.720000000000001e0,7.954579705420529e0,2.858624203827215e-4,2.262684374392473e-1,3.641633631588052e-2,1.533349364428370e-1,1.533349364428370e-1,-1.169186001269565e-1,-7.625046374903839e-1,9.983249092616255e-1,1.675059842010900e-3,3.089636360775926e-8,-6.418410441030524e-1
1.533288701990720e1,-9.347807103318725e-1,2.730000000000000e0,7.998854231223751e0,2.774139092546966e-4,2.254595925750365e-1,3.615266668995144e-2,1.522464065971182e-1,1.522464065971182e-1,-1.160937399071667e-1,-7.625384565849204e-1,9.983627313619710e-1,1.637238739755596e-3,2.989827333472007e-8,-6.419349494778577e-1
1.548698509633994e1,-9.354296531068316e-1,2.740000000000000e0,8.043287572855432e0,2.692150893530174e-4,2.246538476785136e-1,3.589105681929809e-2,1.511657558912732e-1,1.511657558912732e-1,-1.152746990719751e-1,-7.625715122602705e-1,9.983997024406586e-1,1.600268626969380e-3,2.893237210238684e-8,-6.420267419293796e-1
