a,z,N,t,s,H,K_Psi,U_Psi,rho_Psi,P_Psi,w_Psi,Omega_Psi,Omega_m,Omega_r,q_dec
1.243282772961240e-3,8.033222521439820e2,-6.690000000000000e0,2.364199857148375e-5,5.203436417853997e8,2.356811291177066e4,1.092590521151609e9,1.092590521151609e9,1.092590521151609e9,0.000000000000000e0,0.000000000000000e0,6.556718725598625e-1,2.810359551694465e-1,6.329217227069089e-2,5.316460861353456e-1
1.255777972562369e-3,7.953191120159054e2,-6.680000000000000e0,2.406956652518233e-5,5.049651631208255e8,2.320991754267128e4,1.060299591332627e9,1.060299591332627e9,1.060299591332627e9,0.000000000000000e0,0.000000000000000e0,6.560850537112434e-1,2.812130540352908e-1,6.270189225346581e-2,5.313509461267329e-1
1.268398751007239e-3,7.873956044626324e2,-6.670000000000000e0,2.450373243406980e-5,4.900411871868522e8,2.285723330271483e4,1.028963002713218e9,1.028963002713218e9,1.028963002713218e9,0.000000000000000e0,0.000000000000000e0,6.564946369595954e-1,2.813886107576046e-1,6.211675228279990e-2,5.310583761414001e-1
1.281146370384211e-3,7.795509371268042e2,-6.660000000000000e0,2.494459682373934e-5,4.755582813977001e8,2.250997381464873e4,9.985525502482579e8,9.985525502482579e8,9.985525502482579e8,0.000000000000000e0,0.000000000000000e0,6.569006488831689e-1,2.815626367285001e-1,6.153671438833093e-2,5.307683571941650e-1
1.294022105465848e-3,7.717843255351499e2,-6.650000000000000e0,2.539226174265723e-5,4.615034101604512e8,2.216805409155923e4,9.690408624775870e8,9.690408624775870e8,9.690408624775870e8,0.000000000000000e0,0.000000000000000e0,6.573031159527356e-1,2.817351432940524e-1,6.096174075321196e-2,5.304808703766060e-1
1.307027243836388e-3,7.640949930200377e2,-6.640000000000000e0,2.584683078519123e-5,4.478639231421463e8,2.183139051367768e4,9.404013768898755e8,9.404013768898755e8,9.404013768898755e8,0.000000000000000e0,0.000000000000000e0,6.577020645302250e-1,2.819061417537133e-1,6.039179371606168e-2,5.301958968580303e-1
1.320163086020503e-3,7.564821706418094e2,-6.630000000000000e0,2.630840911499210e-5,4.346275438836437e8,2.149990080559109e4,9.126083160145931e8,9.126083160145931e8,9.126083160145931e8,0.000000000000000e0,0.000000000000000e0,6.580975208674011e-1,2.820756433597475e-1,5.982683577285135e-2,5.299134178864260e-1
1.333430945613359e-3,7.489450971118824e2,-6.620000000000000e0,2.677710348873081e-5,4.217823587499644e8,2.117350401384903e4,8.856366642205203e8,8.856366642205203e8,8.856366642205203e8,0.000000000000000e0,0.000000000000000e0,6.584895111045860e-1,2.822436593166841e-1,5.926682957872990e-2,5.296334147893649e-1
1.346832149411974e-3,7.414830187166231e2,-6.610000000000000e0,2.725302228019334e-5,4.093168062081571e8,2.085212048497622e4,8.594621452019655e8,8.594621452019655e8,8.594621452019655e8,0.000000000000000e0,0.000000000000000e0,6.588780612699308e-1,2.824102007803714e-1,5.871173794969774e-2,5.293558689748488e-1
1.360368037547894e-3,7.340951892419727e2,-6.600000000000000e0,2.773627550473922e-5,3.972196664222689e8,2.053567184387221e4,8.340612001308264e8,8.340612001308264e8,8.340612001308264e8,0.000000000000000e0,0.000000000000000e0,6.592631972789456e-1,2.825752788568650e-1,5.816152386418941e-2,5.290807619320945e-1
1.374039963621212e-3,7.267808698988284e2,-6.590000000000000e0,2.822697484412009e-5,3.854800511475086e8,2.022408097244401e4,8.094109664368789e8,8.094109664368789e8,8.094109664368789e8,0.000000000000000e0,0.000000000000000e0,6.596449449293100e-1,2.827389046052847e-1,5.761615046540526e-2,5.288080752327027e-1
1.387849294835929e-3,7.195393292491600e2,-6.580000000000000e0,2.872523367169176e-5,3.740873939376670e8,1.991727198885571e4,7.854892572458283e8,7.854892572458283e8,7.854892572458283e8,0.000000000000000e0,0.000000000000000e0,6.600233299038819e-1,2.829010890339351e-1,5.707558106218310e-2,5.285377905310917e-1
