a,z,N,t,phi,phidot,H,KE,PE,rho_phi,P_phi,w_phi,w_cpl,Omega_phi_test,Omega_DE_cpl
1.782033769101492e-3,5.601565938529907e2,-6.330000000000000e0,7.474365583509993e-5,2.191492261632062e-9,7.234704860992920e-5,7.832071704679354e3,2.617047721283729e-9,2.720766852362210e0,2.720766854979258e0,-2.720766849745162e0,-9.999999980762424e-1,-1.459930779738539e0,1.478484458818270e-8,1.085541273278444e-11
1.799943506230591e-3,5.545729924514030e2,-6.320000000000000e0,7.603051801578335e-5,2.285437363560417e-9,7.365825918114903e-5,7.710253341141843e3,2.712769572798662e-9,2.720766852106607e0,2.720766854819377e0,-2.720766849393838e0,-9.999999980058787e-1,-1.459920033896262e0,1.525572238741642e-8,1.135676517359019e-11
1.818033239210271e-3,5.490449488120395e2,-6.310000000000000e0,7.733770822878488e-5,2.382590841626486e-9,7.498520597618405e-5,7.590373926982933e3,2.811390557645374e-9,2.720766851842276e0,2.720766854653666e0,-2.720766849030885e0,-9.999999979333836e-1,-1.459909180056474e0,1.574141363955509e-8,1.188113009345504e-11
1.836304777028907e-3,5.435719101259290e2,-6.300000000000000e0,7.866553982186908e-5,2.483051037404795e-9,7.632826412171844e-5,7.472401612201623e3,2.913001951917405e-9,2.720766851568947e0,2.720766854481949e0,-2.720766848655945e0,-9.999999978586905e-1,-1.459898217133783e0,1.624237983894991e-8,1.242955819377921e-11
1.854759946855503e-3,5.381533290846430e2,-6.290000000000000e0,8.001433092309369e-5,2.586919440347319e-9,7.768781039013765e-5,7.356305091077211e3,3.017697941606990e-9,2.720766851286345e0,2.720766854304043e0,-2.720766848268647e0,-9.999999977817298e-1,-1.459887144031887e0,1.675909675306394e-8,1.300314793365461e-11
1.873400594222423e-3,5.327886638255613e2,-6.280000000000000e0,8.138440468006068e-5,2.694301202591110e-9,7.906422301594209e-5,7.242053592446488e3,3.125575680557313e-9,2.720766850994184e0,2.720766854119760e0,-2.720766847868608e0,-9.999999977024303e-1,-1.459875959643467e0,1.729205486165667e-8,1.360304769243599e-11
1.892228583209940e-3,5.274773778776872e2,-6.270000000000000e0,8.277608892981240e-5,2.805304239379106e-9,8.045788264624063e-5,7.129616870162376e3,3.236735439958115e-9,2.720766850692171e0,2.720766853928906e0,-2.720766847455436e0,-9.999999976207183e-1,-1.459864662850074e0,1.784175980943540e-8,1.423045802992861e-11
1.911245796632638e-3,5.222189401080007e2,-6.260000000000000e0,8.418971654291154e-5,2.920039997425806e-9,8.186917193495534e-5,7.018965193730398e3,3.351280656657640e-9,2.720766850380002e0,2.720766853731282e0,-2.720766847028721e0,-9.999999975365176e-1,-1.459853252522020e0,1.840873287258537e-8,1.488663404858742e-11
1.930454136227709e-3,5.170128246683420e2,-6.250000000000000e0,8.562562548574570e-5,3.038623536084393e-9,8.329847573464778e-5,6.910069339119465e3,3.469318029857852e-9,2.720766850057363e0,2.720766853526682e0,-2.720766846588045e0,-9.999999974497498e-1,-1.459841727518263e0,1.899351143960402e-8,1.557288786232048e-11
1.949855522845121e-3,5.118585109428291e2,-6.240000000000000e0,8.708415894919477e-5,3.161173772590983e-9,8.474618115449732e-5,6.802900579743802e3,3.590957610135438e-9,2.720766849723933e0,2.720766853314891e0,-2.720766846132975e0,-9.999999973603341e-1,-1.459830086686293e0,1.959664950687569e-8,1.629059117669336e-11
1.969451896639701e-3,5.067554834957940e2,-6.230000000000000e0,8.856566516820722e-5,3.287812912595602e-9,8.621267808506755e-5,6.697430677612565e3,3.716312931299744e-9,2.720766849379377e0,2.720766853095690e0,-2.720766845663064e0,-9.999999972681871e-1,-1.459818328862016e0,2.021871818943878e-8,1.704117798554939e-11
1.989245217265163e-3,5.017032320202389e2,-6.220000000000000e0,9.007049770510171e-5,3.418667102994001e-9,8.769835902275933e-5,6.593631874643957e3,3.845501087642396e-9,2.720766849023354e0,2.720766852868855e0,-2.720766845177852e0,-9.999999971732225e-1,-1.459806452869641e0,2.086030624740947e-8,1.782614738928413e-11
2.009237464070060e-3,4.967012512868071e2,-6.210000000000000e0,9.159901561885930e-5,3.553866805788990e-9,8.920361912935604e-5,6.491476884140742e3,3.978642832887608e-9,2.720766848655507e0,2.720766852634150e0,-2.720766844676864e0,-9.999999970753519e-1,-1.459794457521558e0,2.152202062854068e-8,1.864706654024760e-11
2.029430636295734e-3,4.917490410932563e2,-6.200000000000000e0,9.315158334743549e-5,3.693546367445299e-9,9.072885658452842e-5,6.390938882423869e3,4.115862708567964e-9,2.720766848275471e0,2.720766852391334e0,-2.720766844159609e0,-9.999999969744833e-1,-1.459782341618223e0,2.220448702741087e-8,1.950557372099521e-11
2.049826753276237e-3,4.868461062144401e2,-6.190000000000000e0,9.472857079784231e-5,3.837844164991842e-9,9.227447270957369e-5,6.291991500621378e3,4.257289156914930e-9,2.720766847882870e0,2.720766852140160e0,-2.720766843625581e0,-9.999999968705225e-1,-1.459770103948034e0,2.290835046174978e-8,2.040338156136264e-11
2.070427854640261e-3,4.819919563527855e2,-6.180000000000000e0,9.633035351839490e-5,3.986902982347936e-9,9.384087200557973e-5,6.194608816609494e3,4.403054629383799e-9,2.720766847477316e0,2.720766851880371e0,-2.720766843074261e0,-9.999999967633723e-1,-1.459757743287216e0,2.363427586642599e-8,2.134228040060971e-11
2.091236000515110e-3,4.771861060892608e2,-6.170000000000000e0,9.795731295810042e-5,4.140870656635005e-9,9.542846215975789e-5,6.098765347102893e3,4.553295695088171e-9,2.720766847058406e0,2.720766851611702e0,-2.720766842505111e0,-9.999999966529323e-1,-1.459745258399691e0,2.438294870563696e-8,2.232414180115946e-11
