a,z,N,t,phi,phidot,H,KE,PE,rho_phi,P_phi,w_phi,Omega_phi,Omega_m,Omega_r,q_dec
1.320163086020503e-3,7.564821706418094e2,-6.630000000000000e0,4.419074865714040e-5,5.299570782900926e-4,4.238451986328135e1,1.258475529561964e4,8.982237620204459e2,9.984113919408838e5,9.993096157029043e5,-9.975131681788634e5,-9.982023113799647e-1,2.103242074143135e-3,8.232826234915246e-1,1.746141344343320e-1,5.841578755674639e-1
1.333430945613359e-3,7.489450971118824e2,-6.620000000000000e0,4.499168706744039e-5,5.643501443168360e-4,4.349520984971776e1,1.238701479711087e4,9.459166399354924e2,9.983083819684437e5,9.992542986083792e5,-9.973624653285083e5,-9.981067549246417e-1,2.170808221407151e-3,8.246627017855593e-1,1.731664899930334e-1,5.833331974723679e-1
1.346832149411974e-3,7.414830187166231e2,-6.610000000000000e0,4.580540792096109e-5,6.001977548786475e-4,4.461053831770546e1,1.219248179596514e4,9.950500644977336e2,9.982010268308929e5,9.991960768953906e5,-9.972059767663951e5,-9.980082986963090e-1,2.240501473236108e-3,8.260314811720083e-1,1.717280173547556e-1,5.825099500820814e-1
1.360368037547894e-3,7.340951892419727e2,-6.600000000000000e0,4.663210841110416e-5,6.375412812746205e-4,4.573093120231041e1,1.200110257392879e4,1.045659034315224e3,9.980892040556130e5,9.991348630899283e5,-9.970435450212978e5,-9.979068710882905e-1,2.312387233910793e-3,8.273889205335242e-1,1.702986922325650e-1,5.816880254522780e-1
1.374039963621212e-3,7.267808698988284e2,-6.590000000000000e0,4.747198867238899e-5,6.764234368428701e-4,4.685680951818749e1,1.181282435421496e4,1.097780299111853e3,9.979727872664393e5,9.990705675655511e5,-9.968750069673274e5,-9.978023968781569e-1,2.386532853319946e-3,8.287349775426408e-1,1.688784896040393e-1,5.808673125001134e-1
1.387849294835929e-3,7.195393292491600e2,-6.580000000000000e0,4.832525182195529e-5,7.168883164980304e-4,4.798858957821442e1,1.162759528430505e4,1.151452364853155e3,9.978516460733262e5,9.990030984381794e5,-9.967001937084731e5,-9.976947972100322e-1,2.463007681463120e-3,8.300696085962763e-1,1.674673837222604e-1,5.800476969372039e-1
1.401797412136674e-3,7.123698431328683e2,-6.570000000000000e0,4.919210400155581e-5,7.589814374027900e-4,4.912668320480924e1,1.144536441907689e4,1.206715501352843e3,9.977256459591512e5,9.989323614605040e5,-9.965189304577984e5,-9.975839895714491e-1,2.541883124282853e-3,8.313927687489333e-1,1.660653481267837e-1,5.792290612011721e-1
1.415885710346803e-3,7.052716945953658e2,-6.560000000000000e0,5.007275442004188e-5,8.027497808022918e-4,5.027149793405007e1,1.126608170425283e4,1.263611752266600e3,9.975946481636016e5,9.988582599158683e5,-9.963310364113350e5,-9.974698877649105e-1,2.623232700846135e-3,8.327044116445655e-1,1.646723556545883e-1,5.784112843857530e-1
1.430115598307874e-3,6.982441738158852e2,-6.550000000000000e0,5.096741539634174e-5,8.482418350504096e-4,5.142343721270775e1,1.108969796016147e4,1.322184947384648e3,9.974585095640942e5,9.987806945114789e5,-9.961363246167096e5,-9.973524018743046e-1,2.707132101894288e-3,8.340044894470967e-1,1.632883784510090e-1,5.775942421694817e-1
1.444488499020543e-3,6.912865780364916e2,-6.540000000000000e0,5.187630240293365e-5,8.955076398576179e-4,5.258290058829389e1,1.091616486580698e4,1.382480717139199e3,9.973170825536744e5,9.986995632708136e5,-9.959346018365351e5,-9.972314382263041e-1,2.793659249779706e-3,8.352929527695823e-1,1.619133879806381e-1,5.767778067429605e-1
